 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,23,9,15,35,439,0.667,6,2,2.660
2,15,7,9,22,191,0.468,7,0,1.598
3,3,1,3,4,134,1.409,1,0,3.167
4,96,47,50,144,2402,0.872,46,1,2.993
5,33,15,19,52,753,0.760,14,0,2.700
6,9,4,6,11,198,0.756,4,0,1.548
7,5,2,4,5,118,0.750,2,0,1.265
8,5,2,4,4,105,0.674,2,0,1.243
9,10,4,7,15,185,0.645,3,1,1.151
10,5,2,4,8,122,0.774,2,0,1.966
11,13,6,8,20,222,0.614,6,0,1.247
12,78,38,41,123,1724,0.743,37,1,2.661
13,5,2,4,7,133,0.868,2,0,1.625
14,5,2,4,2,70,0.454,2,0,0.841
15,12,5,8,19,144,0.436,4,1,1.192
16,69,32,38,96,1459,0.723,29,2,2.479
17,3,1,3,1,129,1.397,1,0,2.012
18,12,5,8,17,141,0.439,4,1,1.151
19,5,2,4,8,78,0.539,2,0,1.033
20,15,7,9,23,238,0.546,7,0,1.535
21,19,9,11,28,299,0.557,9,0,1.813
22,9,4,6,15,249,0.937,4,0,1.407
23,7,3,5,9,104,0.524,3,0,1.895
