 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,23,11,13,33,234,0.372,11,0,1.192
2,11,5,7,18,140,0.442,5,0,1.394
3,219,107,113,311,5050,0.803,103,4,3.692
4,10,4,7,16,121,0.433,3,1,0.959
5,25,12,14,33,449,0.622,12,0,1.374
6,80,39,42,113,1399,0.615,38,1,1.697
7,17,7,11,26,139,0.318,5,2,0.922
8,93,45,48,127,1590,0.597,42,3,2.367
9,25,12,14,37,332,0.473,12,0,0.961
10,36,17,20,56,393,0.402,16,1,1.636
11,21,10,12,26,269,0.449,10,0,0.959
12,17,8,10,19,226,0.467,8,0,2.692
13,43,20,24,60,557,0.465,18,2,1.765
14,27,13,15,29,429,0.557,13,0,2.509
15,32,15,18,50,490,0.529,14,1,1.664
16,7,3,5,8,62,0.345,3,0,0.692
17,5,2,4,7,88,0.623,2,0,0.970
