 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,332,160,173,499,9512,1.001,150,9,4.678
2,27,13,15,45,618,0.797,13,0,2.453
3,13,6,8,24,115,0.335,6,0,0.668
4,15,7,9,20,208,0.482,7,0,1.171
5,35,16,20,56,890,0.897,15,0,2.546
6,3,1,3,3,58,0.638,1,0,0.928
7,10,4,7,14,115,0.426,3,1,0.908
8,9,4,6,12,158,0.595,4,0,1.039
9,3,1,3,4,33,0.383,1,0,0.485
10,14,5,10,24,248,0.617,3,1,1.120
11,7,3,5,11,145,0.689,3,0,1.623
