 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,49,23,27,71,904,0.647,21,2,1.778
2,25,12,14,36,364,0.517,12,0,1.769
3,14,6,9,19,187,0.474,5,1,0.950
4,17,8,10,24,270,0.534,8,0,1.295
5,172,83,90,253,3399,0.687,79,3,2.886
6,23,11,13,34,279,0.445,11,0,1.057
7,49,22,27,72,663,0.478,18,3,1.747
8,74,35,40,104,1882,0.866,32,3,2.617
9,16,6,11,24,244,0.573,3,3,1.072
10,31,14,18,50,633,0.717,12,2,2.412
11,15,7,9,23,211,0.495,7,0,1.038
12,19,9,11,28,294,0.531,9,0,0.857
13,17,7,11,23,254,0.548,5,2,1.157
14,24,11,13,35,279,0.411,9,2,1.116
15,13,6,8,19,186,0.513,6,0,1.029
16,17,8,10,22,228,0.485,8,0,1.330
