 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,10,0.365,0,0,0.365
2,1,0,2,0,0,0.026,0,0,0.026
3,1,0,2,0,10,0.321,0,0,0.321
4,11,5,7,12,222,0.659,5,0,1.464
5,1,0,2,0,0,0.037,0,0,0.037
6,1,0,2,0,0,0.026,0,0,0.026
7,11,5,7,16,121,0.394,5,0,1.160
8,3,1,3,4,37,0.448,1,0,0.707
9,1,0,2,0,0,0.026,0,0,0.026
10,1,0,2,0,134,4.302,0,0,4.302
11,3,1,2,2,5,0.081,0,1,0.142
12,1,0,2,0,6,0.227,0,0,0.227
13,9,4,6,13,109,0.426,4,0,1.408
14,1,0,2,0,4,0.153,0,0,0.153
15,1,0,2,0,4,0.164,0,0,0.164
16,1,0,2,0,0,0.037,0,0,0.037
17,0,0,1,0,0,0.000,0,0,0.000
18,1,0,2,0,8,0.323,0,0,0.323
19,25,12,14,37,455,0.606,12,0,1.713
20,1,0,2,0,1,0.074,0,0,0.074
21,1,0,2,0,1,0.052,0,0,0.052
22,26,12,15,37,506,0.646,11,1,2.647
23,1,0,2,0,1,0.063,0,0,0.063
24,21,10,12,25,319,0.530,10,0,1.284
25,5,2,4,7,56,0.404,2,0,0.985
26,1,0,2,0,0,0.037,0,0,0.037
27,1,0,2,0,1,0.052,0,0,0.052
28,1,0,2,0,0,0.026,0,0,0.026
29,1,0,2,0,1,0.052,0,0,0.052
30,1,0,2,0,0,0.026,0,0,0.026
31,3,1,3,3,54,0.621,1,0,0.896
32,1,0,2,0,2,0.111,0,0,0.111
33,1,0,2,0,0,0.026,0,0,0.026
34,1,0,2,0,2,0.111,0,0,0.111
35,1,0,2,0,0,0.026,0,0,0.026
36,1,0,2,0,0,0.037,0,0,0.037
37,1,0,2,0,1,0.063,0,0,0.063
38,1,0,2,0,0,0.026,0,0,0.026
39,1,0,2,0,0,0.037,0,0,0.037
40,1,0,2,0,2,0.090,0,0,0.090
41,1,0,2,0,0,0.026,0,0,0.026
42,0,0,1,0,0,0.000,0,0,0.000
43,1,0,2,0,5,0.179,0,0,0.179
44,1,0,2,0,0,0.026,0,0,0.026
45,1,0,2,0,4,0.153,0,0,0.153
46,1,0,2,0,0,0.037,0,0,0.037
47,18,8,11,23,354,0.681,7,1,1.265
48,3,1,3,4,10,0.149,1,0,0.216
49,17,8,10,16,367,0.711,8,0,1.636
50,3,1,3,3,13,0.183,1,0,0.269
51,7,3,5,11,80,0.399,3,0,0.675
52,1,0,2,0,0,0.026,0,0,0.026
53,1,0,2,0,2,0.111,0,0,0.111
54,0,0,1,0,0,0.000,0,0,0.000
55,8,3,6,14,146,0.642,2,1,1.822
56,1,0,2,0,1,0.052,0,0,0.052
57,1,0,2,0,0,0.026,0,0,0.026
58,4,1,4,4,102,0.861,0,1,1.275
59,1,0,2,0,1,0.052,0,0,0.052
60,1,0,2,0,1,0.074,0,0,0.074
61,1,0,2,0,4,0.153,0,0,0.153
62,1,0,2,0,7,0.275,0,0,0.275
63,1,0,2,0,0,0.037,0,0,0.037
64,1,0,2,0,6,0.205,0,0,0.205
65,1,0,2,0,1,0.063,0,0,0.063
66,1,0,2,0,6,0.205,0,0,0.205
67,1,0,2,0,0,0.037,0,0,0.037
68,1,0,2,0,0,0.026,0,0,0.026
69,7,3,5,12,69,0.346,3,0,0.673
70,1,0,2,0,0,0.026,0,0,0.026
71,1,0,2,0,16,0.511,0,0,0.511
72,1,0,2,0,0,0.026,0,0,0.026
73,1,0,2,0,0,0.026,0,0,0.026
74,1,0,2,0,1,0.052,0,0,0.052
75,25,11,15,42,447,0.602,10,0,1.485
76,11,5,7,14,201,0.629,5,0,1.780
77,1,0,2,0,1,0.063,0,0,0.063
78,1,0,2,0,2,0.100,0,0,0.100
79,1,0,2,0,13,0.476,0,0,0.476
80,41,19,23,52,627,0.521,17,2,1.686
81,23,11,13,30,400,0.597,11,0,1.323
82,1,0,2,0,8,0.269,0,0,0.269
83,1,0,2,0,1,0.052,0,0,0.052
84,1,0,2,0,2,0.100,0,0,0.100
85,1,0,2,0,28,0.891,0,0,0.891
86,1,0,2,0,1,0.063,0,0,0.063
87,1,0,2,0,1,0.052,0,0,0.052
88,1,0,2,0,1,0.074,0,0,0.074
89,3,1,3,3,4,0.093,1,0,0.164
90,0,0,1,0,0,0.000,0,0,0.000
91,1,0,2,0,5,0.179,0,0,0.179
