 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,13,5,9,20,270,0.704,3,2,1.483
2,1,0,2,0,0,0.026,0,0,0.026
3,1,0,2,0,8,0.247,0,0,0.247
4,1,0,2,0,0,0.026,0,0,0.026
5,3,1,3,1,13,0.158,1,0,0.258
6,11,5,7,11,242,0.716,5,0,1.732
7,1,0,2,0,3,0.127,0,0,0.127
8,1,0,2,0,25,0.801,0,0,0.801
9,1,0,2,0,0,0.026,0,0,0.026
10,1,0,2,0,2,0.100,0,0,0.100
11,1,0,2,0,5,0.212,0,0,0.212
12,1,0,2,0,0,0.037,0,0,0.037
13,1,0,2,0,1,0.052,0,0,0.052
14,1,0,2,0,31,0.894,0,0,0.894
15,1,0,2,0,2,0.079,0,0,0.079
16,15,7,9,21,215,0.487,7,0,1.322
17,5,2,4,5,85,0.554,2,0,1.204
18,1,0,2,0,3,0.127,0,0,0.127
19,3,1,3,3,24,0.308,1,0,0.469
20,15,7,9,23,320,0.739,7,0,2.070
21,1,0,2,0,3,0.105,0,0,0.105
22,19,9,11,27,328,0.575,9,0,1.359
23,1,0,2,0,0,0.026,0,0,0.026
24,9,4,6,11,106,0.424,4,0,0.869
25,1,0,2,0,1,0.063,0,0,0.063
26,1,0,2,0,1,0.063,0,0,0.063
27,0,0,1,0,0,0.000,0,0,0.000
28,1,0,2,0,2,0.079,0,0,0.079
29,1,0,2,0,0,0.026,0,0,0.026
30,1,0,2,0,1,0.063,0,0,0.063
31,1,0,2,0,2,0.090,0,0,0.090
32,1,0,2,0,3,0.138,0,0,0.138
33,1,0,2,0,12,0.374,0,0,0.374
34,11,5,7,15,308,0.956,5,0,1.812
35,1,0,2,0,0,0.037,0,0,0.037
36,1,0,2,0,1,0.074,0,0,0.074
37,25,11,15,36,590,0.804,9,2,1.725
38,1,0,2,0,4,0.153,0,0,0.153
39,1,0,2,0,0,0.037,0,0,0.037
40,18,8,11,27,415,0.771,7,1,1.908
41,3,1,3,4,60,0.660,1,0,1.422
42,1,0,2,0,0,0.037,0,0,0.037
43,5,2,4,5,47,0.336,2,0,0.664
44,1,0,2,0,0,0.037,0,0,0.037
45,1,0,2,0,4,0.164,0,0,0.164
