 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.026,0,0,0.026
2,1,0,2,0,11,0.391,0,0,0.391
3,1,0,2,0,0,0.026,0,0,0.026
4,1,0,2,0,0,0.026,0,0,0.026
5,1,0,2,0,0,0.026,0,0,0.026
6,1,0,2,0,0,0.026,0,0,0.026
7,0,0,1,0,0,0.000,0,0,0.000
8,1,0,2,0,5,0.190,0,0,0.190
9,0,0,1,0,0,0.000,0,0,0.000
10,1,0,2,0,5,0.190,0,0,0.190
11,1,0,2,0,0,0.037,0,0,0.037
12,1,0,2,0,1,0.074,0,0,0.074
13,1,0,2,0,1,0.063,0,0,0.063
14,1,0,2,0,1,0.063,0,0,0.063
15,0,0,1,0,0,0.000,0,0,0.000
16,1,0,2,0,0,0.037,0,0,0.037
17,0,0,1,0,0,0.000,0,0,0.000
18,0,0,1,0,0,0.000,0,0,0.000
19,1,0,2,0,0,0.037,0,0,0.037
20,0,0,1,0,0,0.000,0,0,0.000
21,1,0,2,0,0,0.037,0,0,0.037
22,1,0,2,0,1,0.063,0,0,0.063
23,1,0,2,0,0,0.037,0,0,0.037
24,1,0,2,0,1,0.052,0,0,0.052
25,1,0,2,0,1,0.052,0,0,0.052
26,1,0,2,0,0,0.037,0,0,0.037
27,1,0,2,0,0,0.026,0,0,0.026
28,1,0,2,0,7,0.253,0,0,0.253
29,1,0,2,0,0,0.026,0,0,0.026
30,0,0,1,0,0,0.000,0,0,0.000
31,1,0,2,0,0,0.037,0,0,0.037
32,1,0,2,0,18,0.585,0,0,0.585
33,1,0,2,0,0,0.037,0,0,0.037
34,1,0,2,0,0,0.037,0,0,0.037
35,1,0,2,0,1,0.074,0,0,0.074
36,1,0,2,0,0,0.026,0,0,0.026
37,1,0,2,0,0,0.037,0,0,0.037
38,1,0,2,0,4,0.164,0,0,0.164
39,1,0,2,0,0,0.026,0,0,0.026
40,1,0,2,0,0,0.026,0,0,0.026
41,1,0,2,0,2,0.079,0,0,0.079
42,1,0,2,0,1,0.063,0,0,0.063
43,1,0,2,0,1,0.074,0,0,0.074
44,1,0,2,0,0,0.037,0,0,0.037
45,1,0,2,0,0,0.026,0,0,0.026
46,1,0,2,0,0,0.026,0,0,0.026
47,1,0,2,0,0,0.026,0,0,0.026
48,1,0,2,0,0,0.026,0,0,0.026
49,1,0,2,0,1,0.052,0,0,0.052
50,1,0,2,0,1,0.063,0,0,0.063
51,1,0,2,0,0,0.037,0,0,0.037
52,1,0,2,0,4,0.164,0,0,0.164
53,1,0,2,0,1,0.063,0,0,0.063
54,1,0,2,0,3,0.127,0,0,0.127
55,1,0,2,0,0,0.037,0,0,0.037
56,1,0,2,0,1,0.063,0,0,0.063
57,1,0,2,0,0,0.026,0,0,0.026
58,1,0,2,0,2,0.100,0,0,0.100
59,1,0,2,0,3,0.127,0,0,0.127
60,1,0,2,0,10,0.354,0,0,0.354
61,1,0,2,0,7,0.242,0,0,0.242
62,1,0,2,0,3,0.127,0,0,0.127
63,1,0,2,0,3,0.127,0,0,0.127
64,1,0,2,0,0,0.037,0,0,0.037
65,1,0,2,0,1,0.052,0,0,0.052
66,1,0,2,0,2,0.090,0,0,0.090
67,1,0,2,0,2,0.090,0,0,0.090
68,0,0,1,0,0,0.000,0,0,0.000
69,1,0,2,0,0,0.026,0,0,0.026
70,0,0,1,0,0,0.000,0,0,0.000
71,1,0,2,0,5,0.168,0,0,0.168
72,3,1,3,4,20,0.260,1,0,0.485
73,1,0,2,0,4,0.164,0,0,0.164
74,1,0,2,0,1,0.074,0,0,0.074
75,1,0,2,0,1,0.052,0,0,0.052
76,1,0,2,0,1,0.063,0,0,0.063
77,1,0,2,0,0,0.026,0,0,0.026
78,1,0,2,0,16,0.500,0,0,0.500
79,1,0,2,0,0,0.026,0,0,0.026
80,1,0,2,0,1,0.052,0,0,0.052
81,1,0,2,0,0,0.026,0,0,0.026
82,1,0,2,0,0,0.026,0,0,0.026
83,0,0,1,0,0,0.000,0,0,0.000
84,0,0,1,0,0,0.000,0,0,0.000
85,0,0,1,0,0,0.000,0,0,0.000
86,1,0,2,0,3,0.127,0,0,0.127
87,1,0,2,0,2,0.090,0,0,0.090
88,1,0,2,0,5,0.190,0,0,0.190
89,1,0,2,0,0,0.037,0,0,0.037
90,1,0,2,0,1,0.052,0,0,0.052
91,0,0,1,0,0,0.000,0,0,0.000
92,1,0,2,0,3,0.116,0,0,0.116
93,0,0,1,0,0,0.000,0,0,0.000
94,1,0,2,0,5,0.179,0,0,0.179
95,1,0,2,0,0,0.037,0,0,0.037
96,1,0,2,0,0,0.026,0,0,0.026
97,0,0,1,0,0,0.000,0,0,0.000
98,1,0,2,0,2,0.100,0,0,0.100
99,1,0,2,0,0,0.037,0,0,0.037
100,1,0,2,0,6,0.227,0,0,0.227
101,1,0,2,0,7,0.275,0,0,0.275
102,0,0,1,0,0,0.000,0,0,0.000
103,1,0,2,0,3,0.105,0,0,0.105
104,1,0,2,0,0,0.037,0,0,0.037
105,0,0,1,0,0,0.000,0,0,0.000
106,1,0,2,0,0,0.026,0,0,0.026
107,1,0,2,0,6,0.238,0,0,0.238
108,1,0,2,0,2,0.090,0,0,0.090
109,1,0,2,0,1,0.074,0,0,0.074
110,1,0,2,0,0,0.037,0,0,0.037
111,1,0,2,0,0,0.037,0,0,0.037
112,1,0,2,0,16,0.489,0,0,0.489
113,1,0,2,0,5,0.179,0,0,0.179
114,1,0,2,0,6,0.227,0,0,0.227
115,1,0,2,0,1,0.074,0,0,0.074
116,1,0,2,0,0,0.026,0,0,0.026
117,0,0,1,0,0,0.000,0,0,0.000
118,1,0,2,0,0,0.026,0,0,0.026
119,1,0,2,0,0,0.026,0,0,0.026
120,1,0,2,0,0,0.026,0,0,0.026
121,1,0,2,0,8,0.280,0,0,0.280
122,1,0,2,0,2,0.079,0,0,0.079
123,1,0,2,0,1,0.074,0,0,0.074
124,1,0,2,0,4,0.153,0,0,0.153
125,1,0,2,0,3,0.138,0,0,0.138
126,1,0,2,0,1,0.052,0,0,0.052
127,1,0,2,0,2,0.111,0,0,0.111
128,1,0,2,0,10,0.332,0,0,0.332
129,1,0,2,0,1,0.052,0,0,0.052
130,1,0,2,0,5,0.201,0,0,0.201
131,1,0,2,0,1,0.063,0,0,0.063
132,1,0,2,0,0,0.026,0,0,0.026
133,1,0,2,0,9,0.295,0,0,0.295
134,1,0,2,0,4,0.142,0,0,0.142
135,1,0,2,0,14,0.513,0,0,0.513
136,0,0,1,0,0,0.000,0,0,0.000
137,5,2,4,4,28,0.232,2,0,0.411
138,1,0,2,0,0,0.037,0,0,0.037
139,1,0,2,0,1,0.074,0,0,0.074
140,1,0,2,0,0,0.026,0,0,0.026
141,1,0,2,0,4,0.175,0,0,0.175
142,1,0,2,0,0,0.026,0,0,0.026
143,1,0,2,0,13,0.422,0,0,0.422
144,0,0,1,0,0,0.000,0,0,0.000
145,0,0,1,0,0,0.000,0,0,0.000
146,1,0,2,0,0,0.037,0,0,0.037
147,1,0,2,0,1,0.052,0,0,0.052
148,1,0,2,0,0,0.037,0,0,0.037
149,1,0,2,0,0,0.026,0,0,0.026
150,1,0,2,0,1,0.063,0,0,0.063
151,1,0,2,0,1,0.063,0,0,0.063
152,1,0,2,0,0,0.037,0,0,0.037
153,1,0,2,0,0,0.026,0,0,0.026
154,1,0,2,0,4,0.131,0,0,0.131
155,1,0,2,0,0,0.037,0,0,0.037
156,1,0,2,0,2,0.090,0,0,0.090
157,1,0,2,0,0,0.037,0,0,0.037
158,1,0,2,0,0,0.026,0,0,0.026
159,1,0,2,0,13,0.432,0,0,0.432
160,1,0,2,0,0,0.026,0,0,0.026
161,1,0,2,0,6,0.216,0,0,0.216
