 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,9,4,6,15,133,0.511,4,0,1.079
2,1,0,2,0,5,0.179,0,0,0.179
3,1,0,2,0,29,0.874,0,0,0.874
4,5,2,4,6,18,0.159,2,0,0.205
5,3,1,3,3,11,0.154,1,0,0.336
6,1,0,2,0,4,0.153,0,0,0.153
7,23,11,13,34,307,0.474,11,0,1.730
8,1,0,2,0,24,0.786,0,0,0.786
9,1,0,2,0,4,0.164,0,0,0.164
10,1,0,2,0,0,0.037,0,0,0.037
11,23,11,13,33,336,0.498,11,0,0.985
12,1,0,2,0,8,0.290,0,0,0.290
13,1,0,2,0,4,0.153,0,0,0.153
14,1,0,2,0,2,0.090,0,0,0.090
15,1,0,2,0,5,0.201,0,0,0.201
16,1,0,2,0,1,0.052,0,0,0.052
17,13,6,8,15,133,0.370,6,0,1.013
18,10,4,7,14,99,0.361,3,1,0.863
19,3,1,3,4,12,0.194,1,0,0.253
20,1,0,2,0,20,0.692,0,0,0.692
21,1,0,2,0,3,0.127,0,0,0.127
22,5,2,3,3,16,0.136,1,1,0.365
23,1,0,2,0,2,0.100,0,0,0.100
24,1,0,2,0,1,0.063,0,0,0.063
25,0,0,1,0,0,0.000,0,0,0.000
26,7,3,5,8,120,0.589,3,0,1.258
27,3,1,3,1,23,0.260,1,0,0.395
28,1,0,2,0,5,0.190,0,0,0.190
29,1,0,2,0,5,0.157,0,0,0.157
30,5,2,4,5,77,0.537,2,0,0.668
31,1,0,2,0,0,0.037,0,0,0.037
32,1,0,2,0,1,0.063,0,0,0.063
33,3,1,3,1,15,0.194,1,0,0.428
34,1,0,2,0,1,0.063,0,0,0.063
35,11,5,7,12,171,0.545,5,0,0.974
36,1,0,2,0,11,0.358,0,0,0.358
37,1,0,2,0,1,0.063,0,0,0.063
38,3,1,3,3,25,0.306,1,0,0.354
39,1,0,2,0,0,0.037,0,0,0.037
40,5,2,4,7,43,0.308,2,0,0.710
41,1,0,2,0,0,0.037,0,0,0.037
42,1,0,2,0,13,0.422,0,0,0.422
43,1,0,2,0,0,0.026,0,0,0.026
44,3,1,3,3,17,0.229,1,0,0.380
45,1,0,2,0,0,0.026,0,0,0.026
46,1,0,2,0,7,0.242,0,0,0.242
47,1,0,2,0,27,0.843,0,0,0.843
48,1,0,2,0,2,0.100,0,0,0.100
49,35,17,19,52,499,0.510,17,0,1.114
50,1,0,2,0,22,0.745,0,0,0.745
51,39,19,21,59,634,0.565,19,0,1.562
52,1,0,2,0,6,0.227,0,0,0.227
53,1,0,2,0,10,0.299,0,0,0.299
54,9,4,6,11,95,0.369,4,0,0.621
55,13,6,8,23,170,0.486,6,0,0.880
56,1,0,2,0,0,0.037,0,0,0.037
57,11,5,7,9,177,0.554,5,0,1.249
58,1,0,2,0,6,0.205,0,0,0.205
59,3,1,3,3,42,0.472,1,0,0.817
60,1,0,2,0,11,0.391,0,0,0.391
61,1,0,2,0,2,0.090,0,0,0.090
62,1,0,2,0,3,0.127,0,0,0.127
63,15,7,9,21,231,0.518,7,0,1.237
64,1,0,2,0,1,0.052,0,0,0.052
65,1,0,2,0,7,0.264,0,0,0.264
66,1,0,2,0,0,0.037,0,0,0.037
67,1,0,2,0,3,0.127,0,0,0.127
68,1,0,2,0,0,0.026,0,0,0.026
69,1,0,2,0,4,0.153,0,0,0.153
70,3,1,3,1,65,0.700,1,0,1.330
71,1,0,2,0,12,0.406,0,0,0.406
72,1,0,2,0,6,0.216,0,0,0.216
73,1,0,2,0,16,0.478,0,0,0.478
74,9,4,6,15,143,0.527,4,0,1.051
75,1,0,2,0,9,0.284,0,0,0.284
76,1,0,2,0,5,0.179,0,0,0.179
77,0,0,1,0,0,0.000,0,0,0.000
78,1,0,2,0,2,0.100,0,0,0.100
79,1,0,2,0,1,0.052,0,0,0.052
80,1,0,2,0,10,0.343,0,0,0.343
81,3,1,3,4,14,0.195,1,0,0.253
82,1,0,2,0,6,0.205,0,0,0.205
83,1,0,2,0,14,0.437,0,0,0.437
84,1,0,2,0,3,0.116,0,0,0.116
85,3,1,3,1,4,0.084,1,0,0.116
86,1,0,2,0,0,0.026,0,0,0.026
87,5,2,4,7,22,0.180,2,0,0.389
88,0,0,1,0,0,0.000,0,0,0.000
89,5,2,4,7,40,0.292,2,0,0.354
90,0,0,1,0,0,0.000,0,0,0.000
91,1,0,2,0,0,0.026,0,0,0.026
92,1,0,2,0,2,0.079,0,0,0.079
93,1,0,2,0,0,0.026,0,0,0.026
94,3,1,3,3,27,0.323,1,0,0.638
95,1,0,2,0,22,0.755,0,0,0.755
96,1,0,2,0,3,0.127,0,0,0.127
97,5,2,4,6,35,0.268,2,0,0.517
98,1,0,2,0,1,0.052,0,0,0.052
99,1,0,2,0,15,0.463,0,0,0.463
100,3,1,3,1,10,0.144,1,0,0.258
101,1,0,2,0,7,0.232,0,0,0.232
102,3,1,3,3,18,0.234,1,0,0.317
103,3,1,2,2,15,0.183,0,1,0.269
104,5,2,4,6,84,0.562,2,0,0.823
105,11,5,7,16,236,0.728,5,0,1.387
106,1,0,2,0,0,0.026,0,0,0.026
107,39,18,22,58,557,0.515,16,2,1.439
108,4,1,4,7,37,0.346,0,1,0.638
109,21,10,12,32,339,0.564,10,0,1.952
110,1,0,2,0,0,0.037,0,0,0.037
111,1,0,2,0,2,0.100,0,0,0.100
112,3,1,3,3,28,0.346,1,0,0.496
113,1,0,2,0,1,0.063,0,0,0.063
114,5,2,4,5,104,0.681,2,0,1.029
115,3,1,3,4,21,0.269,1,0,0.332
116,1,0,2,0,22,0.723,0,0,0.723
117,1,0,2,0,1,0.063,0,0,0.063
118,1,0,2,0,2,0.100,0,0,0.100
119,1,0,2,0,2,0.111,0,0,0.111
120,1,0,2,0,3,0.138,0,0,0.138
121,1,0,2,0,1,0.063,0,0,0.063
122,1,0,2,0,9,0.327,0,0,0.327
123,1,0,2,0,1,0.063,0,0,0.063
124,37,18,20,51,468,0.456,18,0,1.389
125,1,0,2,0,11,0.358,0,0,0.358
126,1,0,2,0,0,0.026,0,0,0.026
127,1,0,2,0,10,0.321,0,0,0.321
128,1,0,2,0,29,0.961,0,0,0.961
129,0,0,1,0,0,0.000,0,0,0.000
130,21,10,12,34,258,0.438,10,0,1.110
131,1,0,2,0,8,0.290,0,0,0.290
132,1,0,2,0,5,0.179,0,0,0.179
133,1,0,2,0,8,0.269,0,0,0.269
134,1,0,2,0,11,0.380,0,0,0.380
135,19,9,11,26,271,0.501,9,0,1.101
136,1,0,2,0,11,0.347,0,0,0.347
137,30,14,17,46,505,0.600,13,1,1.470
138,3,1,3,3,8,0.128,1,0,0.242
139,1,0,2,0,6,0.227,0,0,0.227
140,1,0,2,0,0,0.026,0,0,0.026
141,0,0,1,0,0,0.000,0,0,0.000
142,1,0,2,0,1,0.063,0,0,0.063
143,1,0,2,0,0,0.037,0,0,0.037
144,1,0,2,0,5,0.190,0,0,0.190
145,1,0,2,0,11,0.402,0,0,0.402
146,1,0,2,0,12,0.395,0,0,0.395
147,1,0,2,0,0,0.026,0,0,0.026
148,3,1,3,4,39,0.443,1,0,0.686
149,3,1,3,4,8,0.141,1,0,0.216
150,1,0,2,0,1,0.063,0,0,0.063
151,3,1,3,4,46,0.515,1,0,0.747
152,9,4,6,14,47,0.227,4,0,0.553
153,1,0,2,0,1,0.052,0,0,0.052
154,1,0,2,0,0,0.026,0,0,0.026
155,3,1,3,4,7,0.135,1,0,0.253
156,1,0,2,0,4,0.131,0,0,0.131
157,3,1,3,1,8,0.107,1,0,0.131
158,1,0,2,0,1,0.074,0,0,0.074
159,3,1,3,4,54,0.612,1,0,1.271
160,1,0,2,0,1,0.074,0,0,0.074
161,1,0,2,0,7,0.264,0,0,0.264
162,1,0,2,0,3,0.127,0,0,0.127
163,3,1,3,3,20,0.251,1,0,0.290
164,1,0,2,0,3,0.116,0,0,0.116
165,5,2,4,8,62,0.431,2,0,0.819
166,4,1,4,8,35,0.352,0,1,0.622
167,9,4,6,15,114,0.467,4,0,1.039
168,9,4,6,14,170,0.651,4,0,1.083
169,3,1,3,3,35,0.415,1,0,0.775
170,1,0,2,0,1,0.052,0,0,0.052
171,5,2,4,4,52,0.355,2,0,0.480
172,3,1,3,3,7,0.141,1,0,0.185
173,1,0,2,0,0,0.037,0,0,0.037
174,1,0,2,0,1,0.063,0,0,0.063
175,1,0,2,0,4,0.185,0,0,0.185
176,9,4,6,13,99,0.403,4,0,0.727
177,3,1,3,3,11,0.165,1,0,0.253
178,14,6,9,22,209,0.515,5,1,1.217
179,3,1,3,3,25,0.291,1,0,0.489
180,7,3,5,8,77,0.369,3,0,0.614
181,1,0,2,0,42,1.421,0,0,1.421
182,1,0,2,0,4,0.142,0,0,0.142
183,3,1,3,3,22,0.287,1,0,0.375
184,1,0,2,0,0,0.026,0,0,0.026
185,7,3,5,11,27,0.167,3,0,0.352
186,12,5,8,22,206,0.584,4,1,1.042
187,63,30,34,94,804,0.456,28,2,1.295
188,1,0,2,0,0,0.026,0,0,0.026
189,1,0,2,0,24,0.732,0,0,0.732
190,1,0,2,0,11,0.358,0,0,0.358
191,1,0,2,0,4,0.164,0,0,0.164
192,1,0,2,0,1,0.074,0,0,0.074
193,1,0,2,0,5,0.179,0,0,0.179
194,1,0,2,0,8,0.269,0,0,0.269
195,7,3,5,10,57,0.303,3,0,1.116
196,5,2,4,6,51,0.360,2,0,0.644
197,1,0,2,0,0,0.037,0,0,0.037
198,3,1,3,4,35,0.426,1,0,0.638
199,1,0,2,0,0,0.026,0,0,0.026
200,1,0,2,0,25,0.801,0,0,0.801
201,5,2,4,4,25,0.200,2,0,0.485
202,1,0,2,0,8,0.258,0,0,0.258
203,1,0,2,0,4,0.131,0,0,0.131
204,1,0,2,0,1,0.052,0,0,0.052
205,11,5,7,19,100,0.342,5,0,0.791
206,3,1,3,3,28,0.343,1,0,0.474
207,1,0,2,0,12,0.417,0,0,0.417
208,4,1,4,4,24,0.258,0,1,0.327
209,21,10,12,29,305,0.506,10,0,1.391
210,1,0,2,0,11,0.358,0,0,0.358
211,1,0,2,0,10,0.397,0,0,0.397
212,1,0,2,0,0,0.026,0,0,0.026
213,1,0,2,0,10,0.343,0,0,0.343
214,1,0,2,0,3,0.116,0,0,0.116
215,3,1,3,1,22,0.237,1,0,0.295
216,3,1,3,4,26,0.325,1,0,0.469
217,3,1,3,4,16,0.225,1,0,0.511
218,1,0,2,0,2,0.090,0,0,0.090
219,52,25,28,82,673,0.455,24,1,1.464
220,1,0,2,0,0,0.026,0,0,0.026
221,3,1,3,4,18,0.232,1,0,0.284
222,7,3,5,9,80,0.408,3,0,0.679
223,1,0,2,0,1,0.063,0,0,0.063
224,1,0,2,0,1,0.063,0,0,0.063
225,1,0,2,0,5,0.179,0,0,0.179
226,1,0,2,0,9,0.295,0,0,0.295
227,21,10,12,26,325,0.547,10,0,1.306
228,7,3,5,9,129,0.611,3,0,0.906
229,1,0,2,0,0,0.037,0,0,0.037
230,1,0,2,0,3,0.138,0,0,0.138
231,1,0,2,0,1,0.063,0,0,0.063
232,3,1,3,3,7,0.123,1,0,0.190
233,1,0,2,0,4,0.153,0,0,0.153
234,1,0,2,0,1,0.052,0,0,0.052
235,1,0,2,0,9,0.295,0,0,0.295
236,1,0,2,0,1,0.063,0,0,0.063
237,1,0,2,0,3,0.138,0,0,0.138
238,1,0,2,0,2,0.079,0,0,0.079
239,1,0,2,0,3,0.138,0,0,0.138
240,1,0,2,0,2,0.090,0,0,0.090
241,7,3,5,11,111,0.530,3,0,1.277
242,5,2,4,7,57,0.406,2,0,0.564
243,1,0,2,0,0,0.026,0,0,0.026
244,1,0,2,0,1,0.063,0,0,0.063
245,1,0,2,0,2,0.079,0,0,0.079
