 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,33,1.022,0,0,1.022
2,86,42,45,134,1551,0.608,41,1,2.024
3,3,1,3,3,33,0.387,1,0,0.590
4,7,3,5,9,132,0.636,3,0,1.210
5,1,0,2,0,25,0.801,0,0,0.801
6,1,0,2,0,0,0.026,0,0,0.026
7,5,2,4,7,16,0.145,2,0,0.179
8,3,1,3,4,74,0.819,1,0,1.172
9,1,0,2,0,0,0.037,0,0,0.037
10,0,0,1,0,0,0.000,0,0,0.000
11,3,1,2,2,15,0.172,0,1,0.253
12,3,1,3,4,35,0.406,1,0,0.585
13,1,0,2,0,0,0.037,0,0,0.037
14,1,0,2,0,0,0.037,0,0,0.037
15,1,0,2,0,20,0.659,0,0,0.659
16,1,0,2,0,2,0.090,0,0,0.090
17,1,0,2,0,1,0.063,0,0,0.063
18,1,0,2,0,7,0.286,0,0,0.286
19,3,1,3,4,24,0.320,1,0,0.782
20,1,0,2,0,4,0.164,0,0,0.164
21,12,5,8,19,309,0.852,4,1,2.699
22,6,2,5,10,60,0.353,1,1,0.673
23,1,0,2,0,0,0.026,0,0,0.026
24,9,4,6,10,150,0.552,4,0,1.575
25,1,0,2,0,7,0.253,0,0,0.253
26,1,0,2,0,13,0.454,0,0,0.454
27,1,0,2,0,2,0.100,0,0,0.100
28,7,3,5,10,67,0.349,3,0,0.670
29,6,2,5,7,76,0.449,1,1,0.581
30,15,7,9,25,216,0.498,7,0,1.309
31,1,0,2,0,10,0.343,0,0,0.343
32,3,1,3,3,43,0.485,1,0,0.747
33,3,1,3,3,73,0.765,1,0,1.271
34,1,0,2,0,2,0.079,0,0,0.079
35,1,0,2,0,10,0.354,0,0,0.354
36,1,0,2,0,3,0.105,0,0,0.105
37,1,0,2,0,1,0.063,0,0,0.063
38,3,1,3,4,36,0.438,1,0,0.539
39,7,3,5,10,77,0.390,3,0,0.703
40,5,2,4,8,108,0.722,2,0,1.157
41,49,23,27,76,942,0.630,21,2,2.457
42,1,0,2,0,1,0.063,0,0,0.063
43,1,0,2,0,8,0.269,0,0,0.269
44,1,0,2,0,1,0.074,0,0,0.074
45,3,1,3,4,18,0.223,1,0,0.332
46,1,0,2,0,1,0.063,0,0,0.063
47,1,0,2,0,15,0.420,0,0,0.420
