 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,2,0.100,0,0,0.100
2,3,1,3,4,15,0.213,1,0,0.310
3,1,0,2,0,3,0.116,0,0,0.116
4,1,0,2,0,54,1.660,0,0,1.660
5,1,0,2,0,0,0.026,0,0,0.026
6,1,0,2,0,41,1.210,0,0,1.210
7,5,2,4,8,61,0.403,2,0,0.557
8,1,0,2,0,0,0.026,0,0,0.026
9,1,0,2,0,0,0.037,0,0,0.037
10,1,0,2,0,1,0.052,0,0,0.052
11,1,0,2,0,8,0.301,0,0,0.301
12,1,0,2,0,4,0.142,0,0,0.142
13,1,0,2,0,11,0.391,0,0,0.391
14,1,0,2,0,10,0.332,0,0,0.332
15,1,0,2,0,5,0.201,0,0,0.201
16,1,0,2,0,1,0.052,0,0,0.052
17,1,0,2,0,5,0.190,0,0,0.190
18,3,1,3,5,42,0.504,1,0,0.771
19,1,0,2,0,0,0.026,0,0,0.026
20,1,0,2,0,7,0.253,0,0,0.253
21,1,0,2,0,7,0.264,0,0,0.264
22,1,0,2,0,23,0.706,0,0,0.706
23,1,0,2,0,6,0.227,0,0,0.227
24,3,1,3,4,40,0.451,1,0,1.059
25,0,0,1,0,0,0.000,0,0,0.000
26,1,0,2,0,23,0.727,0,0,0.727
27,1,0,2,0,17,0.516,0,0,0.516
28,1,0,2,0,1,0.063,0,0,0.063
29,1,0,2,0,3,0.127,0,0,0.127
30,7,3,5,9,87,0.451,3,0,0.764
31,1,0,2,0,9,0.284,0,0,0.284
32,1,0,2,0,1,0.063,0,0,0.063
33,1,0,2,0,30,0.976,0,0,0.976
34,1,0,2,0,4,0.153,0,0,0.153
35,4,1,4,5,49,0.422,0,1,0.695
36,11,5,7,10,262,0.790,5,0,1.625
37,5,2,4,8,32,0.268,2,0,0.459
38,1,0,2,0,18,0.607,0,0,0.607
39,1,0,2,0,5,0.168,0,0,0.168
40,1,0,2,0,0,0.026,0,0,0.026
41,1,0,2,0,2,0.100,0,0,0.100
42,1,0,2,0,11,0.336,0,0,0.336
43,9,4,6,12,110,0.432,4,0,0.865
44,0,0,1,0,0,0.000,0,0,0.000
45,1,0,2,0,18,0.553,0,0,0.553
46,1,0,2,0,23,0.760,0,0,0.760
47,3,1,3,3,14,0.184,1,0,0.310
48,3,1,3,1,46,0.486,1,0,0.826
49,1,0,2,0,3,0.127,0,0,0.127
50,1,0,2,0,3,0.116,0,0,0.116
51,1,0,2,0,13,0.422,0,0,0.422
52,1,0,2,0,19,0.633,0,0,0.633
53,1,0,2,0,4,0.153,0,0,0.153
54,1,0,2,0,13,0.465,0,0,0.465
55,3,1,3,3,49,0.563,1,0,0.679
56,1,0,2,0,14,0.459,0,0,0.459
