 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.026,0,0,0.026
2,3,1,3,3,16,0.213,1,0,0.306
3,1,0,2,0,1,0.052,0,0,0.052
4,1,0,2,0,4,0.153,0,0,0.153
5,0,0,1,0,0,0.000,0,0,0.000
6,5,2,4,6,84,0.560,2,0,0.970
7,1,0,2,0,4,0.175,0,0,0.175
8,3,1,3,4,34,0.404,1,0,0.511
9,1,0,2,0,11,0.369,0,0,0.369
10,1,0,2,0,14,0.448,0,0,0.448
11,1,0,2,0,22,0.679,0,0,0.679
12,3,1,3,3,18,0.248,1,0,0.312
13,1,0,2,0,11,0.369,0,0,0.369
14,11,5,7,14,66,0.246,5,0,0.463
15,1,0,2,0,5,0.212,0,0,0.212
16,9,4,6,11,96,0.393,4,0,0.721
17,1,0,2,0,1,0.052,0,0,0.052
18,14,6,9,16,333,0.808,5,1,1.435
19,1,0,2,0,3,0.105,0,0,0.105
20,5,2,4,7,55,0.384,2,0,0.505
21,1,0,2,0,5,0.201,0,0,0.201
22,3,1,3,3,3,0.081,1,0,0.090
23,1,0,2,0,7,0.253,0,0,0.253
24,1,0,2,0,2,0.079,0,0,0.079
25,5,2,4,6,81,0.550,2,0,0.806
26,23,11,13,41,308,0.478,11,0,1.114
27,1,0,2,0,10,0.299,0,0,0.299
28,7,2,6,12,129,0.665,0,2,1.158
29,3,1,3,5,16,0.234,1,0,0.295
30,1,0,2,0,1,0.074,0,0,0.074
31,13,6,8,22,112,0.329,6,0,0.539
32,1,0,2,0,1,0.052,0,0,0.052
33,1,0,2,0,16,0.555,0,0,0.555
34,3,1,3,4,13,0.177,1,0,0.363
35,1,0,2,0,1,0.063,0,0,0.063
36,1,0,2,0,23,0.760,0,0,0.760
37,4,1,4,5,32,0.310,0,1,0.564
38,5,2,4,7,88,0.612,2,0,0.869
39,3,1,3,4,20,0.264,1,0,0.374
40,1,0,2,0,0,0.037,0,0,0.037
41,1,0,2,0,10,0.321,0,0,0.321
42,9,4,6,13,91,0.378,4,0,0.773
43,1,0,2,0,2,0.100,0,0,0.100
44,1,0,2,0,3,0.127,0,0,0.127
45,1,0,2,0,14,0.448,0,0,0.448
46,3,1,3,3,14,0.181,1,0,0.363
47,1,0,2,0,10,0.365,0,0,0.365
48,9,4,6,13,86,0.354,4,0,0.513
49,1,0,2,0,6,0.205,0,0,0.205
50,1,0,2,0,23,0.738,0,0,0.738
51,1,0,2,0,13,0.422,0,0,0.422
52,5,2,4,7,139,0.923,2,0,1.266
53,1,0,2,0,3,0.138,0,0,0.138
54,5,2,4,8,72,0.498,2,0,0.906
55,1,0,2,0,1,0.052,0,0,0.052
56,3,1,3,4,27,0.317,1,0,0.489
57,1,0,2,0,0,0.026,0,0,0.026
58,1,0,2,0,0,0.037,0,0,0.037
59,1,0,2,0,1,0.063,0,0,0.063
60,1,0,2,0,1,0.074,0,0,0.074
61,5,2,4,6,105,0.705,2,0,1.177
62,8,3,6,8,127,0.553,2,1,1.190
63,1,0,2,0,1,0.063,0,0,0.063
64,1,0,2,0,4,0.153,0,0,0.153
65,1,0,2,0,2,0.100,0,0,0.100
66,15,7,9,25,337,0.759,7,0,1.540
67,1,0,2,0,8,0.280,0,0,0.280
68,1,0,2,0,3,0.127,0,0,0.127
69,1,0,2,0,1,0.052,0,0,0.052
70,5,2,4,6,42,0.298,2,0,0.474
71,1,0,2,0,23,0.695,0,0,0.695
72,3,1,3,4,23,0.301,1,0,0.354
73,1,0,2,0,1,0.052,0,0,0.052
74,3,1,3,3,51,0.584,1,0,0.832
75,3,1,3,3,29,0.362,1,0,0.596
76,1,0,2,0,0,0.026,0,0,0.026
77,1,0,2,0,6,0.194,0,0,0.194
78,1,0,2,0,12,0.417,0,0,0.417
79,3,1,3,4,27,0.307,1,0,0.441
80,11,5,7,16,77,0.269,5,0,0.559
81,1,0,2,0,0,0.037,0,0,0.037
82,21,10,12,35,394,0.639,10,0,1.584
83,1,0,2,0,19,0.601,0,0,0.601
84,1,0,2,0,0,0.037,0,0,0.037
85,1,0,2,0,30,0.889,0,0,0.889
86,33,16,18,56,818,0.840,16,0,2.365
87,1,0,2,0,8,0.312,0,0,0.312
88,1,0,2,0,9,0.284,0,0,0.284
89,1,0,2,0,5,0.190,0,0,0.190
90,1,0,2,0,1,0.074,0,0,0.074
91,1,0,2,0,2,0.100,0,0,0.100
92,1,0,2,0,0,0.026,0,0,0.026
93,5,2,4,2,37,0.272,2,0,0.428
94,1,0,2,0,26,0.860,0,0,0.860
95,27,13,15,35,583,0.754,13,0,2.117
96,13,6,8,21,251,0.686,6,0,1.162
97,1,0,2,0,13,0.432,0,0,0.432
98,1,0,2,0,3,0.127,0,0,0.127
99,1,0,2,0,0,0.026,0,0,0.026
100,1,0,2,0,5,0.190,0,0,0.190
101,3,1,3,3,31,0.351,1,0,0.448
102,0,0,1,0,0,0.000,0,0,0.000
103,1,0,2,0,21,0.697,0,0,0.697
104,1,0,2,0,1,0.074,0,0,0.074
105,21,10,12,26,292,0.491,10,0,0.956
106,3,1,3,4,46,0.536,1,0,0.928
107,1,0,2,0,1,0.052,0,0,0.052
108,1,0,2,0,3,0.138,0,0,0.138
109,1,0,2,0,20,0.692,0,0,0.692
110,0,0,1,0,0,0.000,0,0,0.000
111,1,0,2,0,29,0.917,0,0,0.917
112,3,1,3,1,17,0.209,1,0,0.452
113,3,1,3,4,8,0.128,1,0,0.184
114,12,5,8,17,222,0.631,4,1,1.175
115,17,8,10,29,201,0.444,8,0,0.684
116,1,0,2,0,4,0.131,0,0,0.131
117,1,0,2,0,1,0.074,0,0,0.074
118,13,6,8,17,111,0.326,6,0,0.681
119,1,0,2,0,0,0.026,0,0,0.026
120,1,0,2,0,3,0.138,0,0,0.138
121,1,0,2,0,3,0.105,0,0,0.105
122,1,0,2,0,23,0.716,0,0,0.716
123,1,0,2,0,11,0.391,0,0,0.391
124,1,0,2,0,6,0.227,0,0,0.227
125,3,1,3,3,17,0.203,1,0,0.378
126,1,0,2,0,7,0.242,0,0,0.242
127,1,0,2,0,26,0.817,0,0,0.817
128,1,0,2,0,2,0.090,0,0,0.090
129,1,0,2,0,7,0.242,0,0,0.242
130,1,0,2,0,15,0.507,0,0,0.507
131,1,0,2,0,14,0.426,0,0,0.426
132,1,0,2,0,2,0.090,0,0,0.090
133,1,0,2,0,4,0.153,0,0,0.153
134,1,0,2,0,0,0.026,0,0,0.026
135,1,0,2,0,10,0.365,0,0,0.365
136,5,2,4,7,38,0.293,2,0,0.712
137,5,2,4,5,16,0.140,2,0,0.321
138,1,0,2,0,3,0.116,0,0,0.116
139,1,0,2,0,6,0.216,0,0,0.216
140,3,1,3,5,31,0.383,1,0,0.489
141,1,0,2,0,1,0.063,0,0,0.063
142,1,0,2,0,3,0.127,0,0,0.127
143,1,0,2,0,10,0.365,0,0,0.365
144,1,0,2,0,1,0.063,0,0,0.063
145,1,0,2,0,8,0.280,0,0,0.280
146,9,4,6,11,76,0.318,4,0,0.607
147,1,0,2,0,3,0.148,0,0,0.148
148,1,0,2,0,9,0.306,0,0,0.306
149,3,1,3,3,2,0.076,1,0,0.127
150,9,4,6,14,185,0.698,4,0,1.553
151,1,0,2,0,2,0.079,0,0,0.079
152,3,1,3,1,40,0.419,1,0,0.579
153,1,0,2,0,0,0.026,0,0,0.026
154,15,7,9,20,254,0.591,7,0,1.662
155,1,0,2,0,0,0.037,0,0,0.037
156,1,0,2,0,4,0.142,0,0,0.142
157,3,1,3,1,4,0.084,1,0,0.116
158,3,1,3,4,24,0.306,1,0,0.642
159,5,2,4,8,52,0.385,2,0,0.865
160,1,0,2,0,10,0.332,0,0,0.332
161,1,0,2,0,6,0.194,0,0,0.194
162,1,0,2,0,1,0.063,0,0,0.063
163,1,0,2,0,6,0.238,0,0,0.238
164,1,0,2,0,4,0.164,0,0,0.164
165,14,6,9,21,312,0.764,5,1,1.366
166,5,2,4,6,21,0.175,2,0,0.336
167,1,0,2,0,0,0.026,0,0,0.026
168,1,0,2,0,0,0.026,0,0,0.026
169,5,2,4,7,35,0.264,2,0,0.384
170,3,1,3,4,59,0.648,1,0,0.996
