 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,36,1.133,0,0,1.133
2,1,0,2,0,2,0.079,0,0,0.079
3,1,0,2,0,2,0.100,0,0,0.100
4,5,2,4,6,88,0.639,2,0,1.247
5,1,0,2,0,1,0.052,0,0,0.052
6,1,0,2,0,1,0.052,0,0,0.052
7,1,0,2,0,11,0.369,0,0,0.369
8,1,0,2,0,3,0.127,0,0,0.127
9,1,0,2,0,9,0.317,0,0,0.317
10,36,17,20,50,629,0.605,16,1,1.717
11,1,0,2,0,1,0.052,0,0,0.052
12,1,0,2,0,2,0.090,0,0,0.090
13,1,0,2,0,1,0.052,0,0,0.052
14,1,0,2,0,25,0.812,0,0,0.812
15,18,8,11,32,277,0.545,7,1,1.512
16,1,0,2,0,0,0.026,0,0,0.026
17,1,0,2,0,4,0.153,0,0,0.153
18,1,0,2,0,24,0.786,0,0,0.786
19,1,0,2,0,13,0.411,0,0,0.411
20,1,0,2,0,0,0.026,0,0,0.026
21,1,0,2,0,0,0.026,0,0,0.026
22,1,0,2,0,12,0.374,0,0,0.374
23,115,56,60,166,2253,0.670,54,2,2.948
24,1,0,2,0,0,0.026,0,0,0.026
25,1,0,2,0,12,0.406,0,0,0.406
26,1,0,2,0,2,0.100,0,0,0.100
27,5,2,4,7,145,0.939,2,0,1.186
28,3,1,3,4,8,0.141,1,0,0.258
29,0,0,1,0,0,0.000,0,0,0.000
30,3,1,3,4,8,0.132,1,0,0.153
31,1,0,2,0,0,0.026,0,0,0.026
32,1,0,2,0,0,0.026,0,0,0.026
33,3,1,3,5,5,0.119,1,0,0.164
34,1,0,2,0,1,0.063,0,0,0.063
35,11,5,6,17,164,0.509,4,1,1.173
36,3,1,3,3,12,0.178,1,0,0.242
37,1,0,2,0,12,0.395,0,0,0.395
38,1,0,2,0,7,0.242,0,0,0.242
39,1,0,2,0,0,0.037,0,0,0.037
40,1,0,2,0,0,0.026,0,0,0.026
41,1,0,2,0,7,0.242,0,0,0.242
42,6,2,5,8,118,0.666,1,1,1.011
43,3,1,3,4,19,0.255,1,0,0.391
44,1,0,2,0,23,0.727,0,0,0.727
45,1,0,2,0,13,0.476,0,0,0.476
46,1,0,2,0,5,0.223,0,0,0.223
47,1,0,2,0,2,0.100,0,0,0.100
48,1,0,2,0,0,0.037,0,0,0.037
49,1,0,2,0,6,0.205,0,0,0.205
50,1,0,2,0,15,0.474,0,0,0.474
51,3,1,3,1,34,0.405,1,0,1.050
52,1,0,2,0,1,0.063,0,0,0.063
53,7,3,5,12,58,0.311,3,0,0.431
54,1,0,2,0,19,0.622,0,0,0.622
55,1,0,2,0,0,0.037,0,0,0.037
56,3,1,3,4,1,0.068,1,0,0.100
57,1,0,2,0,1,0.063,0,0,0.063
58,1,0,2,0,8,0.312,0,0,0.312
59,7,3,5,8,33,0.201,3,0,0.670
60,1,0,2,0,1,0.052,0,0,0.052
61,5,2,4,7,49,0.357,2,0,1.055
62,5,2,4,6,78,0.550,2,0,1.273
63,1,0,2,0,0,0.037,0,0,0.037
64,1,0,2,0,3,0.116,0,0,0.116
65,7,3,5,11,84,0.439,3,0,0.959
66,1,0,2,0,2,0.090,0,0,0.090
67,5,2,4,4,39,0.285,2,0,0.526
68,1,0,2,0,5,0.179,0,0,0.179
69,9,4,6,14,170,0.662,4,0,1.083
70,20,9,12,23,289,0.527,8,1,1.131
71,1,0,2,0,2,0.090,0,0,0.090
72,1,0,2,0,3,0.105,0,0,0.105
73,1,0,2,0,0,0.026,0,0,0.026
74,1,0,2,0,3,0.127,0,0,0.127
75,3,1,3,4,20,0.264,1,0,0.469
76,3,1,3,4,94,1.008,1,0,1.195
77,1,0,2,0,5,0.190,0,0,0.190
78,1,0,2,0,1,0.052,0,0,0.052
79,1,0,2,0,1,0.063,0,0,0.063
80,31,15,17,44,637,0.688,15,0,1.868
81,1,0,2,0,2,0.100,0,0,0.100
82,1,0,2,0,7,0.232,0,0,0.232
83,7,3,5,10,220,1.023,3,0,4.315
84,7,3,5,11,121,0.607,3,0,1.452
85,1,0,2,0,0,0.026,0,0,0.026
86,1,0,2,0,6,0.216,0,0,0.216
87,1,0,2,0,0,0.026,0,0,0.026
88,1,0,2,0,0,0.037,0,0,0.037
89,1,0,2,0,0,0.026,0,0,0.026
90,1,0,2,0,20,0.649,0,0,0.649
91,1,0,2,0,1,0.052,0,0,0.052
92,9,4,6,11,110,0.431,4,0,0.948
93,1,0,2,0,4,0.164,0,0,0.164
94,1,0,2,0,0,0.026,0,0,0.026
95,34,15,20,59,652,0.685,12,3,1.554
