 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,34,1.070,0,0,1.070
2,5,2,4,4,92,0.604,2,0,1.293
3,1,0,2,0,2,0.079,0,0,0.079
4,1,0,2,0,11,0.336,0,0,0.336
5,1,0,2,0,3,0.138,0,0,0.138
6,1,0,2,0,1,0.063,0,0,0.063
7,3,1,3,4,34,0.390,1,0,0.706
8,1,0,2,0,11,0.347,0,0,0.347
9,1,0,2,0,1,0.052,0,0,0.052
10,1,0,2,0,3,0.105,0,0,0.105
11,3,1,3,4,5,0.114,1,0,0.253
12,3,1,3,3,16,0.223,1,0,0.253
13,1,0,2,0,2,0.090,0,0,0.090
14,1,0,2,0,1,0.052,0,0,0.052
15,3,1,3,1,64,0.687,1,0,0.987
16,1,0,2,0,6,0.194,0,0,0.194
17,1,0,2,0,8,0.290,0,0,0.290
18,1,0,2,0,2,0.100,0,0,0.100
19,1,0,2,0,2,0.100,0,0,0.100
20,1,0,2,0,32,0.942,0,0,0.942
21,1,0,2,0,11,0.347,0,0,0.347
22,5,2,4,7,32,0.253,2,0,0.564
23,1,0,2,0,18,0.553,0,0,0.553
24,1,0,2,0,15,0.485,0,0,0.485
25,1,0,2,0,19,0.590,0,0,0.590
26,1,0,2,0,5,0.179,0,0,0.179
27,1,0,2,0,11,0.391,0,0,0.391
28,1,0,2,0,2,0.100,0,0,0.100
29,3,1,3,4,26,0.338,1,0,0.454
30,1,0,2,0,3,0.127,0,0,0.127
31,1,0,2,0,1,0.063,0,0,0.063
32,1,0,2,0,1,0.074,0,0,0.074
33,1,0,2,0,10,0.332,0,0,0.332
34,0,0,1,0,0,0.000,0,0,0.000
35,1,0,2,0,8,0.269,0,0,0.269
36,1,0,2,0,17,0.570,0,0,0.570
37,1,0,2,0,14,0.426,0,0,0.426
38,3,1,3,3,19,0.246,1,0,0.369
39,1,0,2,0,5,0.168,0,0,0.168
40,3,1,3,3,59,0.679,1,0,1.171
41,0,0,1,0,0,0.000,0,0,0.000
42,1,0,2,0,14,0.426,0,0,0.426
43,1,0,2,0,4,0.185,0,0,0.185
44,1,0,2,0,3,0.116,0,0,0.116
45,1,0,2,0,3,0.116,0,0,0.116
46,1,0,2,0,9,0.327,0,0,0.327
47,1,0,2,0,9,0.327,0,0,0.327
48,1,0,2,0,17,0.603,0,0,0.603
49,1,0,2,0,14,0.437,0,0,0.437
50,3,1,3,4,22,0.277,1,0,0.601
51,11,5,7,18,152,0.488,5,0,0.998
52,1,0,2,0,3,0.127,0,0,0.127
53,1,0,2,0,0,0.037,0,0,0.037
54,1,0,2,0,2,0.100,0,0,0.100
55,1,0,2,0,7,0.232,0,0,0.232
56,1,0,2,0,1,0.063,0,0,0.063
57,1,0,2,0,3,0.138,0,0,0.138
58,1,0,2,0,5,0.212,0,0,0.212
59,1,0,2,0,29,0.896,0,0,0.896
60,1,0,2,0,31,0.926,0,0,0.926
61,1,0,2,0,0,0.037,0,0,0.037
62,1,0,2,0,3,0.127,0,0,0.127
63,1,0,2,0,2,0.100,0,0,0.100
64,1,0,2,0,4,0.142,0,0,0.142
65,1,0,2,0,20,0.681,0,0,0.681
66,4,1,4,7,10,0.167,0,1,0.227
67,15,7,9,18,139,0.331,7,0,0.649
68,1,0,2,0,4,0.175,0,0,0.175
69,1,0,2,0,9,0.306,0,0,0.306
70,9,4,6,11,69,0.282,4,0,0.590
71,1,0,2,0,4,0.153,0,0,0.153
72,1,0,2,0,0,0.026,0,0,0.026
73,1,0,2,0,7,0.264,0,0,0.264
74,3,1,3,4,20,0.271,1,0,0.365
75,1,0,2,0,9,0.317,0,0,0.317
76,1,0,2,0,3,0.138,0,0,0.138
77,1,0,2,0,8,0.290,0,0,0.290
78,1,0,2,0,8,0.280,0,0,0.280
79,1,0,2,0,47,1.444,0,0,1.444
80,1,0,2,0,1,0.074,0,0,0.074
81,0,0,1,0,0,0.000,0,0,0.000
82,1,0,2,0,1,0.063,0,0,0.063
83,3,1,3,4,39,0.468,1,0,0.675
84,1,0,2,0,7,0.232,0,0,0.232
85,1,0,2,0,18,0.596,0,0,0.596
86,1,0,2,0,0,0.026,0,0,0.026
87,1,0,2,0,3,0.138,0,0,0.138
88,1,0,2,0,5,0.190,0,0,0.190
