 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,13,6,8,18,112,0.312,6,0,0.701
2,1,0,2,0,9,0.338,0,0,0.338
3,5,2,4,6,66,0.466,2,0,0.668
4,1,0,2,0,9,0.338,0,0,0.338
5,1,0,2,0,12,0.384,0,0,0.384
6,5,2,4,7,52,0.361,2,0,0.773
7,3,1,3,3,27,0.330,1,0,0.596
8,1,0,2,0,14,0.491,0,0,0.491
9,1,0,2,0,9,0.317,0,0,0.317
10,1,0,2,0,12,0.395,0,0,0.395
11,1,0,2,0,8,0.301,0,0,0.301
12,3,1,3,4,43,0.483,1,0,0.664
13,0,0,1,0,0,0.000,0,0,0.000
14,1,0,2,0,0,0.026,0,0,0.026
15,0,0,1,0,0,0.000,0,0,0.000
16,1,0,2,0,7,0.232,0,0,0.232
17,6,2,5,11,159,0.860,1,1,1.815
18,1,0,2,0,3,0.116,0,0,0.116
19,11,5,7,14,136,0.424,5,0,1.002
20,1,0,2,0,5,0.190,0,0,0.190
21,1,0,2,0,3,0.116,0,0,0.116
22,5,2,4,7,83,0.559,2,0,1.197
23,4,1,4,5,58,0.522,0,1,0.817
24,1,0,2,0,3,0.127,0,0,0.127
25,1,0,2,0,9,0.327,0,0,0.327
26,1,0,2,0,4,0.153,0,0,0.153
27,1,0,2,0,12,0.374,0,0,0.374
28,1,0,2,0,9,0.317,0,0,0.317
29,3,1,3,1,16,0.217,1,0,0.275
30,1,0,2,0,8,0.301,0,0,0.301
31,1,0,2,0,33,1.022,0,0,1.022
32,1,0,2,0,5,0.201,0,0,0.201
33,1,0,2,0,15,0.496,0,0,0.496
34,1,0,2,0,0,0.026,0,0,0.026
35,1,0,2,0,3,0.138,0,0,0.138
36,1,0,2,0,1,0.063,0,0,0.063
37,3,1,3,3,5,0.106,1,0,0.127
38,1,0,2,0,3,0.127,0,0,0.127
39,0,0,1,0,0,0.000,0,0,0.000
40,1,0,2,0,3,0.127,0,0,0.127
41,1,0,2,0,0,0.037,0,0,0.037
42,0,0,1,0,0,0.000,0,0,0.000
43,1,0,2,0,17,0.592,0,0,0.592
44,1,0,2,0,5,0.201,0,0,0.201
45,1,0,2,0,4,0.153,0,0,0.153
46,1,0,2,0,0,0.037,0,0,0.037
47,8,3,6,13,97,0.464,2,1,1.611
48,1,0,2,0,7,0.242,0,0,0.242
49,0,0,1,0,0,0.000,0,0,0.000
50,19,9,10,26,173,0.320,8,1,0.789
51,7,3,5,8,128,0.622,3,0,1.094
52,5,2,4,7,55,0.380,2,0,0.526
53,1,0,2,0,0,0.037,0,0,0.037
54,1,0,2,0,6,0.227,0,0,0.227
55,3,1,3,3,20,0.255,1,0,0.306
56,1,0,2,0,12,0.395,0,0,0.395
57,1,0,2,0,3,0.105,0,0,0.105
58,0,0,1,0,0,0.000,0,0,0.000
59,3,1,2,2,5,0.088,0,1,0.164
60,5,2,4,8,43,0.310,2,0,0.574
61,3,1,3,3,48,0.561,1,0,0.828
62,3,1,3,5,63,0.677,1,0,0.928
63,1,0,2,0,5,0.168,0,0,0.168
64,1,0,2,0,1,0.074,0,0,0.074
65,1,0,2,0,6,0.194,0,0,0.194
66,19,8,12,32,246,0.447,6,2,1.769
67,1,0,2,0,1,0.052,0,0,0.052
68,3,1,3,1,24,0.287,1,0,0.469
69,1,0,2,0,35,1.086,0,0,1.086
70,1,0,2,0,20,0.670,0,0,0.670
71,1,0,2,0,0,0.026,0,0,0.026
72,1,0,2,0,4,0.142,0,0,0.142
73,1,0,2,0,5,0.179,0,0,0.179
74,1,0,2,0,3,0.127,0,0,0.127
75,3,1,3,4,25,0.325,1,0,0.480
76,1,0,2,0,0,0.037,0,0,0.037
77,1,0,2,0,4,0.153,0,0,0.153
78,3,1,3,4,36,0.443,1,0,0.701
79,1,0,2,0,18,0.531,0,0,0.531
80,1,0,2,0,0,0.037,0,0,0.037
81,3,1,3,4,19,0.255,1,0,0.406
82,5,2,4,6,49,0.359,2,0,0.655
83,3,1,3,5,5,0.134,1,0,0.175
84,1,0,2,0,10,0.332,0,0,0.332
85,1,0,2,0,9,0.317,0,0,0.317
86,6,2,5,10,63,0.392,1,1,0.786
87,3,1,3,3,15,0.200,1,0,0.343
88,0,0,1,0,0,0.000,0,0,0.000
89,0,0,1,0,0,0.000,0,0,0.000
90,1,0,2,0,4,0.185,0,0,0.185
91,1,0,2,0,5,0.168,0,0,0.168
92,27,12,16,45,293,0.383,10,2,1.745
93,1,0,2,0,0,0.026,0,0,0.026
94,3,1,3,3,17,0.225,1,0,0.343
95,1,0,2,0,3,0.116,0,0,0.116
96,1,0,2,0,0,0.037,0,0,0.037
97,1,0,2,0,31,1.013,0,0,1.013
98,6,2,5,11,70,0.432,1,1,1.103
99,1,0,2,0,0,0.037,0,0,0.037
100,0,0,1,0,0,0.000,0,0,0.000
101,8,3,6,13,84,0.395,2,1,1.277
102,1,0,2,0,4,0.164,0,0,0.164
103,1,0,2,0,3,0.116,0,0,0.116
104,1,0,2,0,0,0.026,0,0,0.026
105,1,0,2,0,17,0.581,0,0,0.581
106,7,3,5,9,37,0.208,3,0,0.581
107,1,0,2,0,0,0.026,0,0,0.026
108,5,2,4,8,76,0.516,2,0,0.810
109,1,0,2,0,0,0.026,0,0,0.026
110,3,1,2,2,3,0.063,0,1,0.090
111,1,0,2,0,1,0.063,0,0,0.063
112,1,0,2,0,2,0.090,0,0,0.090
113,1,0,2,0,15,0.474,0,0,0.474
114,1,0,2,0,36,1.123,0,0,1.123
115,7,3,4,7,32,0.169,2,1,0.343
116,3,1,3,3,31,0.391,1,0,0.904
117,1,0,2,0,2,0.090,0,0,0.090
118,1,0,2,0,2,0.090,0,0,0.090
119,1,0,2,0,2,0.100,0,0,0.100
120,1,0,2,0,22,0.679,0,0,0.679
121,3,1,3,4,12,0.175,1,0,0.242
122,3,1,3,4,43,0.494,1,0,0.902
123,1,0,2,0,1,0.063,0,0,0.063
124,1,0,2,0,5,0.201,0,0,0.201
125,1,0,2,0,2,0.090,0,0,0.090
126,17,8,10,19,356,0.684,8,0,1.550
127,1,0,2,0,3,0.105,0,0,0.105
128,1,0,2,0,17,0.505,0,0,0.505
129,1,0,2,0,7,0.242,0,0,0.242
130,1,0,2,0,0,0.037,0,0,0.037
131,5,2,4,7,44,0.308,2,0,0.432
132,7,3,5,7,81,0.408,3,0,0.710
133,1,0,2,0,1,0.063,0,0,0.063
134,5,2,4,7,42,0.308,2,0,0.642
135,3,1,3,4,45,0.493,1,0,0.773
136,1,0,2,0,2,0.100,0,0,0.100
137,1,0,2,0,4,0.153,0,0,0.153
138,1,0,2,0,1,0.052,0,0,0.052
139,1,0,2,0,3,0.127,0,0,0.127
140,0,0,1,0,0,0.000,0,0,0.000
141,1,0,2,0,6,0.205,0,0,0.205
142,1,0,2,0,3,0.116,0,0,0.116
143,1,0,2,0,10,0.343,0,0,0.343
144,3,1,3,4,76,0.840,1,0,1.334
145,1,0,2,0,25,0.791,0,0,0.791
146,5,2,3,6,27,0.208,1,1,0.596
147,1,0,2,0,2,0.111,0,0,0.111
148,8,3,6,13,114,0.490,2,1,0.959
149,8,3,6,11,121,0.524,2,1,1.135
150,1,0,2,0,12,0.439,0,0,0.439
151,1,0,2,0,7,0.253,0,0,0.253
152,1,0,2,0,7,0.242,0,0,0.242
153,1,0,2,0,20,0.649,0,0,0.649
154,9,4,6,17,92,0.364,4,0,1.155
155,1,0,2,0,0,0.037,0,0,0.037
156,1,0,2,0,6,0.194,0,0,0.194
157,1,0,2,0,2,0.090,0,0,0.090
158,3,1,3,4,13,0.195,1,0,0.354
159,1,0,2,0,3,0.116,0,0,0.116
160,1,0,2,0,3,0.127,0,0,0.127
161,3,1,3,4,9,0.153,1,0,0.194
162,1,0,2,0,3,0.138,0,0,0.138
163,1,0,2,0,13,0.443,0,0,0.443
164,1,0,2,0,0,0.026,0,0,0.026
165,1,0,2,0,40,1.173,0,0,1.173
166,3,1,3,1,13,0.172,1,0,0.190
167,1,0,2,0,1,0.063,0,0,0.063
168,1,0,2,0,14,0.480,0,0,0.480
169,1,0,2,0,4,0.175,0,0,0.175
170,1,0,2,0,4,0.164,0,0,0.164
171,6,2,5,11,31,0.217,1,1,0.352
172,3,1,3,4,27,0.328,1,0,0.448
173,1,0,2,0,20,0.605,0,0,0.605
174,0,0,1,0,0,0.000,0,0,0.000
175,1,0,2,0,9,0.338,0,0,0.338
176,9,4,6,11,87,0.332,4,0,0.701
177,1,0,2,0,1,0.063,0,0,0.063
178,3,1,3,1,13,0.176,1,0,0.264
179,1,0,2,0,3,0.116,0,0,0.116
180,25,12,14,40,394,0.535,12,0,1.756
181,1,0,2,0,0,0.026,0,0,0.026
182,3,1,3,3,52,0.571,1,0,0.638
183,1,0,2,0,4,0.153,0,0,0.153
184,1,0,2,0,2,0.079,0,0,0.079
185,3,1,3,3,53,0.598,1,0,1.030
186,0,0,1,0,0,0.000,0,0,0.000
187,1,0,2,0,1,0.063,0,0,0.063
188,1,0,2,0,11,0.358,0,0,0.358
189,1,0,2,0,2,0.111,0,0,0.111
190,1,0,2,0,11,0.358,0,0,0.358
191,3,1,3,3,23,0.281,1,0,0.548
192,1,0,2,0,14,0.459,0,0,0.459
193,1,0,2,0,5,0.179,0,0,0.179
194,1,0,2,0,2,0.090,0,0,0.090
195,1,0,2,0,2,0.090,0,0,0.090
196,1,0,2,0,2,0.100,0,0,0.100
197,5,2,4,8,29,0.226,2,0,0.463
198,3,1,3,3,7,0.119,1,0,0.142
199,1,0,2,0,7,0.232,0,0,0.232
200,1,0,2,0,3,0.127,0,0,0.127
201,1,0,2,0,1,0.063,0,0,0.063
202,7,3,5,7,90,0.443,3,0,0.867
203,1,0,2,0,3,0.148,0,0,0.148
204,1,0,2,0,1,0.063,0,0,0.063
205,7,3,5,11,88,0.432,3,0,1.328
206,1,0,2,0,12,0.395,0,0,0.395
207,7,3,4,4,59,0.306,2,1,0.650
208,1,0,2,0,1,0.063,0,0,0.063
209,1,0,2,0,1,0.052,0,0,0.052
210,1,0,2,0,1,0.052,0,0,0.052
211,1,0,2,0,7,0.232,0,0,0.232
212,11,5,7,14,163,0.490,5,0,1.064
213,1,0,2,0,5,0.168,0,0,0.168
214,17,8,10,19,231,0.451,8,0,1.149
215,1,0,2,0,0,0.026,0,0,0.026
216,1,0,2,0,2,0.090,0,0,0.090
217,1,0,2,0,3,0.127,0,0,0.127
218,1,0,2,0,3,0.116,0,0,0.116
219,1,0,2,0,14,0.459,0,0,0.459
220,1,0,2,0,2,0.090,0,0,0.090
221,1,0,2,0,31,0.981,0,0,0.981
222,1,0,2,0,3,0.127,0,0,0.127
223,5,2,4,6,34,0.233,2,0,0.341
224,1,0,2,0,4,0.142,0,0,0.142
225,3,1,3,3,22,0.269,1,0,0.411
226,3,1,3,3,45,0.491,1,0,1.038
227,3,1,3,1,34,0.389,1,0,0.406
228,3,1,3,4,38,0.428,1,0,0.616
229,1,0,2,0,1,0.074,0,0,0.074
230,1,0,2,0,1,0.063,0,0,0.063
231,9,4,6,12,135,0.511,4,0,0.797
232,1,0,2,0,8,0.280,0,0,0.280
233,1,0,2,0,1,0.063,0,0,0.063
234,1,0,2,0,2,0.111,0,0,0.111
235,1,0,2,0,0,0.026,0,0,0.026
236,1,0,2,0,0,0.026,0,0,0.026
237,1,0,2,0,0,0.037,0,0,0.037
238,1,0,2,0,1,0.063,0,0,0.063
239,1,0,2,0,6,0.205,0,0,0.205
240,1,0,2,0,2,0.090,0,0,0.090
241,3,1,3,1,18,0.239,1,0,0.581
