 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,8,0.280,0,0,0.280
2,1,0,2,0,4,0.142,0,0,0.142
3,1,0,2,0,9,0.327,0,0,0.327
4,1,0,2,0,12,0.384,0,0,0.384
5,1,0,2,0,4,0.164,0,0,0.164
6,3,1,3,4,3,0.084,1,0,0.138
7,3,1,3,1,8,0.118,1,0,0.238
8,13,6,8,18,210,0.567,6,0,0.795
9,1,0,2,0,5,0.179,0,0,0.179
10,1,0,2,0,2,0.090,0,0,0.090
11,3,1,3,4,23,0.288,1,0,0.317
12,15,7,9,21,143,0.343,7,0,1.016
13,1,0,2,0,0,0.026,0,0,0.026
14,3,1,3,3,11,0.154,1,0,0.258
15,1,0,2,0,1,0.074,0,0,0.074
16,1,0,2,0,1,0.052,0,0,0.052
17,1,0,2,0,8,0.269,0,0,0.269
18,5,2,4,4,60,0.421,2,0,0.954
19,1,0,2,0,9,0.349,0,0,0.349
20,1,0,2,0,8,0.280,0,0,0.280
21,1,0,2,0,2,0.100,0,0,0.100
22,1,0,2,0,3,0.138,0,0,0.138
23,7,3,5,7,86,0.418,3,0,0.839
24,1,0,2,0,2,0.079,0,0,0.079
25,1,0,2,0,2,0.100,0,0,0.100
26,1,0,2,0,8,0.258,0,0,0.258
27,1,0,2,0,4,0.164,0,0,0.164
28,1,0,2,0,26,0.828,0,0,0.828
29,1,0,2,0,4,0.153,0,0,0.153
30,1,0,2,0,3,0.127,0,0,0.127
31,3,1,3,3,5,0.116,1,0,0.212
32,3,1,3,1,29,0.323,1,0,0.400
33,1,0,2,0,14,0.437,0,0,0.437
34,1,0,2,0,6,0.194,0,0,0.194
35,1,0,2,0,0,0.037,0,0,0.037
36,1,0,2,0,10,0.321,0,0,0.321
37,15,7,9,19,256,0.616,7,0,1.107
38,11,5,7,14,109,0.378,5,0,0.653
39,3,1,3,3,14,0.199,1,0,0.253
40,1,0,2,0,8,0.258,0,0,0.258
41,1,0,2,0,22,0.690,0,0,0.690
42,1,0,2,0,1,0.063,0,0,0.063
43,3,1,3,1,9,0.127,1,0,0.212
44,1,0,2,0,21,0.653,0,0,0.653
45,0,0,1,0,0,0.000,0,0,0.000
46,1,0,2,0,5,0.179,0,0,0.179
47,1,0,2,0,0,0.026,0,0,0.026
48,5,2,4,7,23,0.217,2,0,0.290
49,1,0,2,0,6,0.227,0,0,0.227
50,1,0,2,0,17,0.570,0,0,0.570
51,1,0,2,0,0,0.026,0,0,0.026
52,1,0,2,0,2,0.100,0,0,0.100
53,1,0,2,0,4,0.175,0,0,0.175
54,23,11,13,33,390,0.580,11,0,1.339
55,1,0,2,0,4,0.164,0,0,0.164
56,1,0,2,0,6,0.238,0,0,0.238
57,5,2,4,2,75,0.507,2,0,0.867
