 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,15,7,9,21,256,0.586,7,0,1.555
2,1,0,2,0,1,0.063,0,0,0.063
3,1,0,2,0,3,0.138,0,0,0.138
4,1,0,2,0,2,0.079,0,0,0.079
5,1,0,2,0,19,0.579,0,0,0.579
6,3,1,3,3,17,0.218,1,0,0.395
7,1,0,2,0,9,0.306,0,0,0.306
8,1,0,2,0,0,0.026,0,0,0.026
9,1,0,2,0,19,0.601,0,0,0.601
10,22,10,13,36,201,0.337,9,1,0.642
11,1,0,2,0,2,0.079,0,0,0.079
12,5,2,4,7,16,0.158,2,0,0.216
13,0,0,1,0,0,0.000,0,0,0.000
14,1,0,2,0,8,0.247,0,0,0.247
15,1,0,2,0,1,0.063,0,0,0.063
16,1,0,2,0,0,0.026,0,0,0.026
17,1,0,2,0,5,0.157,0,0,0.157
18,1,0,2,0,19,0.666,0,0,0.666
19,1,0,2,0,15,0.496,0,0,0.496
20,1,0,2,0,5,0.201,0,0,0.201
21,9,4,5,7,53,0.229,3,1,0.423
22,1,0,2,0,0,0.026,0,0,0.026
23,1,0,2,0,0,0.026,0,0,0.026
24,1,0,2,0,3,0.138,0,0,0.138
25,1,0,2,0,0,0.026,0,0,0.026
26,1,0,2,0,0,0.026,0,0,0.026
27,3,1,3,1,101,1.105,1,0,1.830
28,5,2,4,7,53,0.383,2,0,0.658
29,1,0,2,0,11,0.369,0,0,0.369
30,1,0,2,0,8,0.269,0,0,0.269
31,1,0,2,0,14,0.491,0,0,0.491
32,9,4,6,14,86,0.362,4,0,0.621
33,3,1,3,1,39,0.432,1,0,0.732
34,0,0,1,0,0,0.000,0,0,0.000
35,3,1,3,4,29,0.357,1,0,0.616
36,45,22,23,64,1169,0.867,21,1,2.582
37,1,0,2,0,3,0.127,0,0,0.127
38,1,0,2,0,0,0.026,0,0,0.026
39,1,0,2,0,18,0.596,0,0,0.596
40,3,1,3,3,6,0.111,1,0,0.216
41,9,4,6,11,140,0.539,4,0,1.090
42,3,1,2,2,14,0.181,0,1,0.391
43,1,0,2,0,6,0.216,0,0,0.216
44,3,1,3,4,24,0.284,1,0,0.336
45,1,0,2,0,2,0.100,0,0,0.100
46,1,0,2,0,5,0.179,0,0,0.179
47,3,1,3,4,19,0.277,1,0,0.480
48,3,1,3,4,22,0.281,1,0,0.389
49,1,0,2,0,12,0.428,0,0,0.428
50,1,0,2,0,2,0.079,0,0,0.079
51,1,0,2,0,1,0.052,0,0,0.052
52,1,0,2,0,4,0.153,0,0,0.153
53,1,0,2,0,6,0.238,0,0,0.238
54,1,0,2,0,5,0.190,0,0,0.190
55,1,0,2,0,17,0.526,0,0,0.526
56,7,3,5,9,122,0.602,3,0,1.029
57,1,0,2,0,11,0.336,0,0,0.336
58,0,0,1,0,0,0.000,0,0,0.000
59,1,0,2,0,24,0.786,0,0,0.786
60,1,0,2,0,2,0.090,0,0,0.090
61,5,2,4,7,56,0.390,2,0,0.627
62,1,0,2,0,2,0.100,0,0,0.100
63,1,0,2,0,4,0.142,0,0,0.142
64,1,0,2,0,4,0.164,0,0,0.164
65,1,0,2,0,21,0.686,0,0,0.686
66,1,0,2,0,8,0.312,0,0,0.312
67,1,0,2,0,2,0.079,0,0,0.079
68,1,0,2,0,5,0.190,0,0,0.190
69,9,4,6,12,99,0.396,4,0,0.791
70,3,1,2,2,14,0.174,0,1,0.253
71,1,0,2,0,0,0.026,0,0,0.026
72,1,0,2,0,12,0.374,0,0,0.374
73,3,1,3,4,48,0.545,1,0,1.444
74,1,0,2,0,3,0.127,0,0,0.127
