 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,1,0.127,0,0,0.127
2,1,0,2,0,7,0.530,0,0,0.530
3,1,0,2,0,3,0.232,0,0,0.232
4,1,0,2,0,5,0.359,0,0,0.359
5,5,2,4,5,30,0.474,2,0,0.710
6,1,0,2,0,1,0.105,0,0,0.105
7,1,0,2,0,2,0.201,0,0,0.201
8,1,0,2,0,14,1.029,0,0,1.029
9,1,0,2,0,7,0.552,0,0,0.552
10,1,0,2,0,0,0.074,0,0,0.074
11,0,0,1,0,0,0.000,0,0,0.000
12,5,2,4,8,93,1.283,2,0,2.296
13,5,2,4,5,99,1.287,2,0,2.091
14,1,0,2,0,0,0.053,0,0,0.053
15,1,0,2,0,9,0.592,0,0,0.592
16,1,0,2,0,6,0.434,0,0,0.434
17,1,0,2,0,7,0.486,0,0,0.486
18,1,0,2,0,21,1.398,0,0,1.398
19,1,0,2,0,3,0.232,0,0,0.232
20,1,0,2,0,4,0.329,0,0,0.329
21,1,0,2,0,0,0.053,0,0,0.053
22,1,0,2,0,1,0.127,0,0,0.127
23,1,0,2,0,11,0.719,0,0,0.719
24,7,3,5,9,100,0.981,3,0,1.568
25,8,3,6,10,64,0.608,2,1,1.407
26,5,2,4,7,49,0.706,2,0,1.100
27,7,3,5,7,48,0.508,3,0,1.047
28,1,0,2,0,0,0.053,0,0,0.053
29,1,0,2,0,5,0.403,0,0,0.403
30,1,0,2,0,2,0.180,0,0,0.180
31,1,0,2,0,1,0.127,0,0,0.127
32,1,0,2,0,4,0.307,0,0,0.307
33,1,0,2,0,6,0.456,0,0,0.456
34,1,0,2,0,0,0.053,0,0,0.053
35,3,1,3,3,7,0.247,1,0,0.412
36,1,0,2,0,3,0.232,0,0,0.232
37,5,2,4,7,65,0.918,2,0,2.200
38,1,0,2,0,18,1.153,0,0,1.153
39,3,1,3,3,18,0.476,1,0,1.196
40,3,1,3,3,19,0.494,1,0,0.697
41,8,3,6,10,65,0.590,2,1,1.183
42,5,2,3,3,14,0.244,1,1,0.359
43,1,0,2,0,1,0.105,0,0,0.105
44,1,0,2,0,0,0.053,0,0,0.053
45,1,0,2,0,23,1.438,0,0,1.438
46,1,0,2,0,8,0.539,0,0,0.539
47,1,0,2,0,0,0.074,0,0,0.074
48,6,2,5,7,61,0.743,1,1,1.534
49,1,0,2,0,6,0.456,0,0,0.456
50,3,1,3,3,30,0.730,1,0,1.683
51,3,1,3,4,49,1.067,1,0,1.171
52,1,0,2,0,0,0.053,0,0,0.053
53,3,1,3,3,43,0.995,1,0,1.797
54,1,0,2,0,19,1.314,0,0,1.314
55,1,0,2,0,1,0.105,0,0,0.105
56,0,0,1,0,0,0.000,0,0,0.000
57,1,0,2,0,19,1.205,0,0,1.205
58,1,0,2,0,2,0.180,0,0,0.180
59,11,4,8,19,137,0.898,3,0,2.020
60,1,0,2,0,3,0.298,0,0,0.298
61,3,1,3,1,32,0.759,1,0,1.187
62,1,0,2,0,13,0.868,0,0,0.868
63,1,0,2,0,2,0.158,0,0,0.158
64,3,1,3,4,21,0.551,1,0,0.837
65,3,1,3,3,38,0.842,1,0,1.468
66,1,0,2,0,2,0.201,0,0,0.201
67,1,0,2,0,5,0.338,0,0,0.338
68,1,0,2,0,15,1.104,0,0,1.104
69,1,0,2,0,7,0.486,0,0,0.486
70,1,0,2,0,3,0.254,0,0,0.254
71,1,0,2,0,8,0.583,0,0,0.583
72,1,0,2,0,22,1.407,0,0,1.407
73,1,0,2,0,16,1.069,0,0,1.069
74,1,0,2,0,1,0.127,0,0,0.127
75,1,0,2,0,0,0.074,0,0,0.074
76,5,2,4,6,30,0.470,2,0,1.056
77,13,6,8,11,177,0.903,6,0,2.356
78,5,2,4,5,65,0.882,2,0,1.420
79,1,0,2,0,15,0.973,0,0,0.973
80,3,1,3,3,17,0.444,1,0,0.793
81,1,0,2,0,6,0.412,0,0,0.412
82,1,0,2,0,1,0.105,0,0,0.105
83,3,1,3,1,22,0.519,1,0,0.753
84,1,0,2,0,5,0.381,0,0,0.381
85,3,1,3,3,20,0.526,1,0,1.113
86,3,1,3,1,21,0.479,1,0,0.771
87,0,0,1,0,0,0.000,0,0,0.000
88,7,3,5,7,62,0.614,3,0,1.051
89,1,0,2,0,0,0.053,0,0,0.053
90,1,0,2,0,8,0.561,0,0,0.561
91,1,0,2,0,15,0.995,0,0,0.995
92,1,0,2,0,0,0.053,0,0,0.053
93,9,4,6,7,109,0.790,4,0,1.363
