 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,5,0.168,0,0,0.168
2,1,0,2,0,0,0.037,0,0,0.037
3,1,0,2,0,0,0.026,0,0,0.026
4,1,0,2,0,8,0.280,0,0,0.280
5,1,0,2,0,1,0.052,0,0,0.052
6,3,1,3,4,33,0.395,1,0,0.839
7,5,2,4,6,47,0.339,2,0,0.658
8,5,2,4,5,25,0.201,2,0,0.306
9,1,0,2,0,0,0.026,0,0,0.026
10,1,0,2,0,14,0.491,0,0,0.491
11,1,0,2,0,2,0.111,0,0,0.111
12,0,0,1,0,0,0.000,0,0,0.000
13,12,5,8,16,119,0.370,4,1,0.896
14,1,0,2,0,3,0.116,0,0,0.116
15,3,1,3,1,72,0.786,1,0,1.055
16,1,0,2,0,2,0.100,0,0,0.100
17,1,0,2,0,1,0.063,0,0,0.063
18,7,3,5,7,121,0.592,3,0,1.038
19,7,3,5,9,70,0.373,3,0,0.607
20,3,1,3,3,13,0.194,1,0,0.327
21,3,1,2,2,1,0.039,0,1,0.063
22,1,0,2,0,5,0.179,0,0,0.179
23,1,0,2,0,5,0.168,0,0,0.168
24,7,3,5,10,40,0.232,3,0,0.568
25,1,0,2,0,0,0.037,0,0,0.037
26,1,0,2,0,12,0.395,0,0,0.395
27,1,0,2,0,13,0.432,0,0,0.432
28,1,0,2,0,0,0.026,0,0,0.026
29,1,0,2,0,2,0.079,0,0,0.079
30,1,0,2,0,0,0.026,0,0,0.026
31,1,0,2,0,2,0.100,0,0,0.100
32,3,1,3,3,36,0.424,1,0,0.795
33,1,0,2,0,0,0.026,0,0,0.026
34,1,0,2,0,5,0.157,0,0,0.157
35,1,0,2,0,4,0.175,0,0,0.175
36,5,2,4,8,34,0.269,2,0,0.500
37,3,1,3,3,9,0.155,1,0,0.175
38,9,4,6,11,138,0.514,4,0,1.175
39,1,0,2,0,5,0.168,0,0,0.168
40,1,0,2,0,10,0.343,0,0,0.343
41,1,0,2,0,2,0.090,0,0,0.090
42,5,2,4,6,45,0.340,2,0,0.476
43,1,0,2,0,1,0.052,0,0,0.052
44,1,0,2,0,3,0.127,0,0,0.127
45,3,1,3,3,50,0.582,1,0,0.823
46,1,0,2,0,6,0.238,0,0,0.238
47,1,0,2,0,7,0.221,0,0,0.221
48,1,0,2,0,0,0.026,0,0,0.026
49,1,0,2,0,2,0.090,0,0,0.090
50,1,0,2,0,16,0.533,0,0,0.533
51,1,0,2,0,0,0.026,0,0,0.026
52,1,0,2,0,5,0.190,0,0,0.190
53,1,0,2,0,3,0.148,0,0,0.148
54,1,0,2,0,1,0.063,0,0,0.063
55,0,0,1,0,0,0.000,0,0,0.000
56,3,1,3,1,17,0.207,1,0,0.443
57,1,0,2,0,0,0.026,0,0,0.026
58,1,0,2,0,1,0.063,0,0,0.063
59,1,0,2,0,6,0.194,0,0,0.194
60,3,1,3,1,13,0.158,1,0,0.284
61,3,1,3,4,11,0.163,1,0,0.205
62,1,0,2,0,8,0.269,0,0,0.269
63,1,0,2,0,3,0.127,0,0,0.127
64,1,0,2,0,4,0.131,0,0,0.131
65,1,0,2,0,5,0.190,0,0,0.190
66,7,3,5,5,81,0.402,3,0,0.618
67,1,0,2,0,0,0.026,0,0,0.026
68,1,0,2,0,4,0.153,0,0,0.153
69,3,1,3,3,37,0.403,1,0,0.763
70,1,0,2,0,3,0.116,0,0,0.116
71,3,1,3,3,16,0.205,1,0,0.269
72,15,7,9,22,230,0.544,7,0,0.982
73,1,0,2,0,11,0.347,0,0,0.347
74,1,0,2,0,14,0.469,0,0,0.469
75,1,0,2,0,10,0.343,0,0,0.343
76,1,0,2,0,12,0.417,0,0,0.417
77,1,0,2,0,2,0.100,0,0,0.100
78,1,0,2,0,14,0.480,0,0,0.480
79,3,1,3,3,12,0.163,1,0,0.247
80,1,0,2,0,1,0.063,0,0,0.063
81,1,0,2,0,0,0.037,0,0,0.037
82,18,8,11,25,314,0.600,7,1,1.284
83,3,1,3,3,13,0.183,1,0,0.264
84,3,1,3,3,16,0.209,1,0,0.395
85,1,0,2,0,8,0.280,0,0,0.280
86,1,0,2,0,2,0.100,0,0,0.100
87,1,0,2,0,30,0.922,0,0,0.922
88,1,0,2,0,3,0.127,0,0,0.127
89,1,0,2,0,16,0.511,0,0,0.511
90,3,1,3,3,1,0.063,1,0,0.090
91,1,0,2,0,3,0.127,0,0,0.127
92,1,0,2,0,8,0.247,0,0,0.247
93,1,0,2,0,1,0.052,0,0,0.052
94,1,0,2,0,22,0.668,0,0,0.668
95,3,1,3,3,6,0.114,1,0,0.153
96,1,0,2,0,1,0.063,0,0,0.063
97,3,1,3,4,60,0.649,1,0,0.817
98,1,0,2,0,3,0.138,0,0,0.138
99,1,0,2,0,0,0.026,0,0,0.026
100,12,5,8,20,154,0.452,4,1,0.965
101,1,0,2,0,1,0.063,0,0,0.063
102,3,1,3,3,9,0.141,1,0,0.168
103,5,2,4,8,49,0.376,2,0,0.839
104,1,0,2,0,2,0.090,0,0,0.090
105,1,0,2,0,2,0.100,0,0,0.100
106,1,0,2,0,15,0.485,0,0,0.485
107,0,0,1,0,0,0.000,0,0,0.000
108,3,1,3,3,20,0.255,1,0,0.574
109,1,0,2,0,4,0.142,0,0,0.142
110,1,0,2,0,3,0.138,0,0,0.138
111,1,0,2,0,6,0.238,0,0,0.238
112,1,0,2,0,7,0.242,0,0,0.242
113,1,0,2,0,1,0.052,0,0,0.052
114,1,0,2,0,7,0.242,0,0,0.242
115,1,0,2,0,0,0.037,0,0,0.037
116,1,0,2,0,0,0.026,0,0,0.026
117,1,0,2,0,4,0.142,0,0,0.142
118,3,1,3,3,13,0.197,1,0,0.249
119,1,0,2,0,1,0.052,0,0,0.052
120,1,0,2,0,3,0.116,0,0,0.116
121,1,0,2,0,9,0.295,0,0,0.295
122,5,2,4,5,68,0.460,2,0,0.743
123,1,0,2,0,1,0.052,0,0,0.052
124,3,1,3,3,23,0.281,1,0,0.459
125,1,0,2,0,6,0.205,0,0,0.205
126,1,0,2,0,2,0.090,0,0,0.090
127,3,1,3,4,20,0.248,1,0,0.564
128,1,0,2,0,10,0.332,0,0,0.332
129,1,0,2,0,0,0.037,0,0,0.037
130,5,2,4,8,34,0.268,2,0,0.347
