 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,3,0.116,0,0,0.116
2,1,0,2,0,23,0.716,0,0,0.716
3,1,0,2,0,0,0.026,0,0,0.026
4,1,0,2,0,1,0.063,0,0,0.063
5,3,1,3,3,24,0.293,1,0,0.564
6,1,0,2,0,5,0.179,0,0,0.179
7,21,10,12,29,781,1.206,10,0,2.561
8,1,0,2,0,45,1.435,0,0,1.435
9,7,3,5,10,311,1.474,3,0,2.744
10,3,1,3,4,126,1.324,1,0,1.662
11,1,0,2,0,1,0.074,0,0,0.074
12,1,0,2,0,13,0.422,0,0,0.422
13,1,0,2,0,2,0.100,0,0,0.100
14,20,9,12,32,396,0.661,8,1,1.920
15,1,0,2,0,8,0.258,0,0,0.258
16,1,0,2,0,1,0.063,0,0,0.063
17,1,0,2,0,47,1.585,0,0,1.585
18,9,4,6,12,136,0.533,4,0,1.273
19,5,2,4,4,157,0.945,2,0,1.995
20,1,0,2,0,5,0.179,0,0,0.179
21,7,3,5,11,161,0.779,3,0,1.384
22,14,6,9,21,299,0.729,5,1,1.237
23,1,0,2,0,0,0.037,0,0,0.037
24,3,1,3,4,4,0.102,1,0,0.153
25,1,0,2,0,8,0.290,0,0,0.290
26,3,1,3,4,81,0.858,1,0,1.426
27,1,0,2,0,0,0.026,0,0,0.026
28,1,0,2,0,10,0.343,0,0,0.343
29,33,16,18,46,703,0.719,16,0,2.715
30,1,0,2,0,0,0.026,0,0,0.026
31,7,3,5,11,131,0.615,3,0,0.876
32,33,16,18,49,815,0.820,16,0,4.313
33,3,1,3,4,10,0.160,1,0,0.354
34,3,1,2,2,4,0.072,0,1,0.127
35,1,0,2,0,1,0.063,0,0,0.063
36,1,0,2,0,3,0.127,0,0,0.127
37,1,0,2,0,1,0.052,0,0,0.052
38,3,1,3,5,97,1.061,1,0,1.236
39,17,8,10,24,407,0.816,8,0,1.598
40,1,0,2,0,2,0.090,0,0,0.090
41,1,0,2,0,7,0.242,0,0,0.242
42,13,6,8,18,265,0.671,6,0,1.365
43,1,0,2,0,2,0.100,0,0,0.100
44,1,0,2,0,4,0.131,0,0,0.131
45,23,11,13,36,620,0.910,11,0,2.205
46,3,1,2,2,19,0.229,0,1,0.517
47,1,0,2,0,5,0.168,0,0,0.168
48,3,1,3,4,30,0.362,1,0,0.732
49,1,0,2,0,2,0.090,0,0,0.090
50,1,0,2,0,7,0.242,0,0,0.242
51,1,0,2,0,3,0.116,0,0,0.116
52,3,1,3,4,9,0.141,1,0,0.247
53,3,1,3,1,17,0.211,1,0,0.306
54,1,0,2,0,1,0.063,0,0,0.063
