 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.026,0,0,0.026
2,1,0,2,0,2,0.111,0,0,0.111
3,1,0,2,0,3,0.138,0,0,0.138
4,1,0,2,0,1,0.074,0,0,0.074
5,1,0,2,0,0,0.037,0,0,0.037
6,1,0,2,0,2,0.090,0,0,0.090
7,1,0,2,0,2,0.079,0,0,0.079
8,0,0,1,0,0,0.000,0,0,0.000
9,1,0,2,0,5,0.201,0,0,0.201
10,1,0,2,0,4,0.164,0,0,0.164
11,1,0,2,0,0,0.026,0,0,0.026
12,1,0,2,0,0,0.026,0,0,0.026
13,1,0,2,0,3,0.138,0,0,0.138
14,1,0,2,0,4,0.164,0,0,0.164
15,1,0,2,0,10,0.354,0,0,0.354
16,5,2,4,6,38,0.297,2,0,0.754
17,0,0,1,0,0,0.000,0,0,0.000
18,3,1,3,4,13,0.179,1,0,0.247
19,1,0,2,0,11,0.358,0,0,0.358
20,5,2,4,6,36,0.271,2,0,0.590
21,1,0,2,0,0,0.037,0,0,0.037
22,3,1,3,4,17,0.237,1,0,0.306
23,1,0,2,0,6,0.227,0,0,0.227
24,1,0,2,0,0,0.037,0,0,0.037
25,1,0,2,0,5,0.179,0,0,0.179
26,1,0,2,0,1,0.063,0,0,0.063
27,3,1,3,4,32,0.379,1,0,0.754
28,1,0,2,0,6,0.205,0,0,0.205
29,1,0,2,0,1,0.074,0,0,0.074
30,0,0,1,0,0,0.000,0,0,0.000
31,1,0,2,0,10,0.332,0,0,0.332
32,1,0,2,0,13,0.454,0,0,0.454
33,1,0,2,0,4,0.175,0,0,0.175
34,3,1,3,3,31,0.355,1,0,0.605
35,1,0,2,0,5,0.179,0,0,0.179
36,1,0,2,0,12,0.417,0,0,0.417
37,1,0,2,0,1,0.052,0,0,0.052
38,3,1,3,3,24,0.293,1,0,0.437
39,1,0,2,0,11,0.369,0,0,0.369
40,1,0,2,0,4,0.164,0,0,0.164
41,1,0,2,0,2,0.090,0,0,0.090
42,1,0,2,0,4,0.153,0,0,0.153
