 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,9,4,6,14,96,0.384,4,0,0.806
2,3,1,3,4,50,0.573,1,0,0.972
3,1,0,2,0,1,0.063,0,0,0.063
4,3,1,3,3,30,0.386,1,0,0.650
5,1,0,2,0,0,0.026,0,0,0.026
6,16,7,10,25,161,0.388,6,1,0.697
7,6,2,5,7,105,0.608,1,1,0.902
8,1,0,2,0,2,0.090,0,0,0.090
9,1,0,2,0,6,0.205,0,0,0.205
10,1,0,2,0,1,0.052,0,0,0.052
11,1,0,2,0,0,0.026,0,0,0.026
12,1,0,2,0,20,0.670,0,0,0.670
13,1,0,2,0,3,0.138,0,0,0.138
14,1,0,2,0,10,0.310,0,0,0.310
15,1,0,2,0,0,0.026,0,0,0.026
16,1,0,2,0,0,0.026,0,0,0.026
17,1,0,2,0,5,0.190,0,0,0.190
18,1,0,2,0,6,0.249,0,0,0.249
19,5,2,4,6,9,0.100,2,0,0.205
20,1,0,2,0,13,0.422,0,0,0.422
21,1,0,2,0,3,0.116,0,0,0.116
22,1,0,2,0,1,0.074,0,0,0.074
23,8,3,6,11,118,0.510,2,1,0.965
24,1,0,2,0,1,0.063,0,0,0.063
25,5,2,4,7,19,0.160,2,0,0.367
26,96,47,50,145,2203,0.781,46,1,2.480
27,1,0,2,0,3,0.127,0,0,0.127
28,5,2,4,8,55,0.380,2,0,0.638
29,1,0,2,0,7,0.242,0,0,0.242
30,45,22,24,64,744,0.555,22,0,1.603
31,1,0,2,0,0,0.037,0,0,0.037
32,3,1,3,3,37,0.425,1,0,0.917
33,7,3,5,11,192,0.935,3,0,2.009
34,0,0,1,0,0,0.000,0,0,0.000
35,1,0,2,0,0,0.026,0,0,0.026
36,7,3,5,9,56,0.292,3,0,0.570
37,1,0,2,0,0,0.026,0,0,0.026
38,9,4,6,16,101,0.401,4,0,1.042
39,3,1,3,4,21,0.258,1,0,0.363
40,1,0,2,0,3,0.116,0,0,0.116
