 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,7,3,5,7,82,0.420,3,0,1.033
2,3,1,3,3,34,0.370,1,0,0.531
3,1,0,2,0,5,0.179,0,0,0.179
4,3,1,3,3,92,1.018,1,0,1.489
5,1,0,2,0,38,1.197,0,0,1.197
6,1,0,2,0,0,0.026,0,0,0.026
7,1,0,2,0,11,0.380,0,0,0.380
8,1,0,2,0,18,0.574,0,0,0.574
9,22,10,13,36,494,0.775,9,1,2.431
10,13,6,7,20,208,0.576,5,1,1.769
11,1,0,2,0,6,0.238,0,0,0.238
12,1,0,2,0,2,0.079,0,0,0.079
13,1,0,2,0,0,0.026,0,0,0.026
14,1,0,2,0,23,0.749,0,0,0.749
15,3,1,3,4,9,0.144,1,0,0.306
16,3,1,3,3,41,0.482,1,0,0.749
17,1,0,2,0,5,0.190,0,0,0.190
18,27,12,16,46,779,0.965,11,0,2.355
19,22,11,12,35,511,0.772,10,0,2.186
20,1,0,2,0,13,0.443,0,0,0.443
21,18,8,11,25,358,0.691,7,1,1.867
22,3,1,3,4,23,0.299,1,0,0.428
23,15,7,9,21,305,0.692,7,0,1.533
24,1,0,2,0,45,1.402,0,0,1.402
25,1,0,2,0,6,0.238,0,0,0.238
26,1,0,2,0,3,0.127,0,0,0.127
27,51,25,26,65,1233,0.802,24,1,3.679
28,1,0,2,0,20,0.692,0,0,0.692
29,1,0,2,0,10,0.321,0,0,0.321
30,1,0,2,0,4,0.164,0,0,0.164
31,7,3,5,11,122,0.592,3,0,1.217
32,3,1,2,2,13,0.151,0,1,0.232
33,1,0,2,0,22,0.745,0,0,0.745
34,3,1,3,3,96,0.999,1,0,1.322
35,1,0,2,0,3,0.105,0,0,0.105
36,1,0,2,0,99,2.873,0,0,2.873
37,1,0,2,0,0,0.026,0,0,0.026
38,4,1,4,6,165,1.371,0,1,2.153
39,1,0,2,0,102,3.321,0,0,3.321
40,5,2,4,7,62,0.428,2,0,0.933
41,5,2,4,6,73,0.484,2,0,0.952
42,15,7,9,20,377,0.844,7,0,1.607
43,0,0,1,0,0,0.000,0,0,0.000
44,1,0,2,0,4,0.153,0,0,0.153
45,1,0,2,0,5,0.168,0,0,0.168
