 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,5,0.381,0,0,0.381
2,1,0,2,0,4,0.329,0,0,0.329
3,0,0,1,0,0,0.000,0,0,0.000
4,1,0,2,0,0,0.053,0,0,0.053
5,1,0,2,0,2,0.158,0,0,0.158
6,1,0,2,0,21,1.354,0,0,1.354
7,5,2,4,7,28,0.436,2,0,0.793
8,3,1,3,3,8,0.279,1,0,0.403
9,7,3,5,9,56,0.602,3,0,1.082
10,1,0,2,0,0,0.074,0,0,0.074
11,0,0,1,0,0,0.000,0,0,0.000
12,7,3,4,6,66,0.667,2,1,1.131
13,1,0,2,0,1,0.127,0,0,0.127
14,3,1,3,4,19,0.548,1,0,0.911
15,1,0,2,0,11,0.784,0,0,0.784
16,1,0,2,0,5,0.359,0,0,0.359
17,3,1,3,3,35,0.825,1,0,1.810
18,1,0,2,0,0,0.074,0,0,0.074
19,3,1,3,1,15,0.374,1,0,0.592
20,1,0,2,0,16,1.047,0,0,1.047
21,5,2,4,8,66,0.898,2,0,1.113
22,1,0,2,0,4,0.285,0,0,0.285
23,1,0,2,0,14,1.007,0,0,1.007
24,1,0,2,0,7,0.508,0,0,0.508
25,1,0,2,0,6,0.456,0,0,0.456
26,1,0,2,0,5,0.381,0,0,0.381
27,1,0,2,0,3,0.211,0,0,0.211
28,3,1,3,3,9,0.275,1,0,0.465
29,1,0,2,0,2,0.223,0,0,0.223
30,1,0,2,0,10,0.710,0,0,0.710
31,1,0,2,0,1,0.149,0,0,0.149
32,1,0,2,0,8,0.539,0,0,0.539
33,1,0,2,0,7,0.508,0,0,0.508
34,3,1,3,4,34,0.742,1,0,1.131
35,1,0,2,0,0,0.053,0,0,0.053
36,5,2,4,7,70,0.958,2,0,1.837
37,5,2,4,7,55,0.785,2,0,1.187
38,3,1,3,3,8,0.272,1,0,0.350
39,7,3,5,9,42,0.464,3,0,1.017
40,3,1,3,1,31,0.727,1,0,0.859
41,11,5,7,18,106,0.694,5,0,1.385
42,7,3,5,10,43,0.498,3,0,0.859
43,7,3,5,5,22,0.259,3,0,0.570
44,32,15,18,54,431,0.952,14,1,3.913
45,1,0,2,0,3,0.254,0,0,0.254
46,0,0,1,0,0,0.000,0,0,0.000
47,1,0,2,0,0,0.074,0,0,0.074
48,1,0,2,0,3,0.211,0,0,0.211
49,3,1,3,1,21,0.523,1,0,0.719
50,1,0,2,0,1,0.149,0,0,0.149
51,5,2,4,7,91,1.244,2,0,2.708
52,3,1,3,3,23,0.607,1,0,0.828
53,1,0,2,0,1,0.127,0,0,0.127
54,1,0,2,0,2,0.180,0,0,0.180
55,3,1,3,4,14,0.424,1,0,0.635
56,1,0,2,0,10,0.666,0,0,0.666
57,1,0,2,0,2,0.158,0,0,0.158
58,1,0,2,0,4,0.285,0,0,0.285
59,13,6,8,17,88,0.512,6,0,1.214
60,20,9,12,30,330,1.121,8,1,3.071
61,1,0,2,0,0,0.074,0,0,0.074
62,1,0,2,0,4,0.329,0,0,0.329
63,1,0,2,0,0,0.053,0,0,0.053
64,3,1,3,3,10,0.299,1,0,0.381
