 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,13,0.911,0,0,0.911
2,3,1,3,3,11,0.339,1,0,0.456
3,9,4,6,14,131,1.032,4,0,3.474
4,0,0,1,0,0,0.000,0,0,0.000
5,1,0,2,0,0,0.053,0,0,0.053
6,1,0,2,0,1,0.127,0,0,0.127
7,1,0,2,0,2,0.201,0,0,0.201
8,3,1,3,4,56,1.248,1,0,1.639
9,15,7,9,22,180,0.825,7,0,2.498
10,1,0,2,0,12,0.880,0,0,0.880
11,3,1,3,3,28,0.695,1,0,0.986
12,1,0,2,0,6,0.456,0,0,0.456
13,1,0,2,0,10,0.688,0,0,0.688
14,4,1,4,7,79,1.374,0,1,1.468
15,1,0,2,0,0,0.074,0,0,0.074
16,1,0,2,0,0,0.053,0,0,0.053
17,1,0,2,0,9,0.635,0,0,0.635
18,1,0,2,0,8,0.539,0,0,0.539
19,0,0,1,0,0,0.000,0,0,0.000
20,8,3,6,11,70,0.681,2,1,0.995
21,1,0,2,0,0,0.074,0,0,0.074
22,1,0,2,0,14,0.964,0,0,0.964
23,10,4,7,13,125,0.867,3,1,1.673
24,1,0,2,0,5,0.381,0,0,0.381
25,3,1,3,3,13,0.359,1,0,0.898
26,1,0,2,0,1,0.127,0,0,0.127
27,1,0,2,0,12,0.771,0,0,0.771
28,1,0,2,0,30,1.762,0,0,1.762
29,1,0,2,0,3,0.254,0,0,0.254
30,21,10,12,33,301,0.964,10,0,2.104
31,3,1,3,3,29,0.698,1,0,1.187
32,1,0,2,0,1,0.127,0,0,0.127
33,1,0,2,0,0,0.053,0,0,0.053
34,0,0,1,0,0,0.000,0,0,0.000
35,18,8,11,28,237,0.913,7,1,2.924
36,33,14,20,56,397,0.840,10,4,2.376
37,3,1,3,4,12,0.374,1,0,0.530
38,1,0,2,0,24,1.512,0,0,1.512
39,1,0,2,0,8,0.517,0,0,0.517
40,0,0,1,0,0,0.000,0,0,0.000
41,1,0,2,0,14,0.964,0,0,0.964
42,1,0,2,0,22,1.385,0,0,1.385
43,1,0,2,0,1,0.149,0,0,0.149
44,0,0,1,0,0,0.000,0,0,0.000
45,30,14,17,48,469,1.070,13,1,2.453
46,1,0,2,0,7,0.443,0,0,0.443
47,1,0,2,0,4,0.307,0,0,0.307
48,4,1,4,7,75,1.341,0,1,1.675
49,0,0,1,0,0,0.000,0,0,0.000
50,36,17,20,54,363,0.713,16,1,2.962
51,1,0,2,0,19,1.205,0,0,1.205
52,1,0,2,0,4,0.307,0,0,0.307
53,25,12,14,35,359,0.960,12,0,2.069
54,1,0,2,0,2,0.201,0,0,0.201
55,1,0,2,0,7,0.530,0,0,0.530
56,3,1,3,4,11,0.349,1,0,0.666
57,1,0,2,0,8,0.583,0,0,0.583
58,1,0,2,0,2,0.223,0,0,0.223
59,3,1,2,2,3,0.127,0,1,0.201
60,1,0,2,0,10,0.644,0,0,0.644
61,1,0,2,0,1,0.149,0,0,0.149
62,17,8,10,24,181,0.735,8,0,1.850
63,0,0,1,0,0,0.000,0,0,0.000
64,21,10,12,29,266,0.852,10,0,2.209
65,1,0,2,0,1,0.149,0,0,0.149
66,3,1,3,3,46,0.967,1,0,1.223
67,1,0,2,0,0,0.053,0,0,0.053
68,1,0,2,0,1,0.127,0,0,0.127
69,1,0,2,0,18,1.283,0,0,1.283
70,1,0,2,0,0,0.074,0,0,0.074
71,1,0,2,0,0,0.053,0,0,0.053
72,1,0,2,0,1,0.127,0,0,0.127
73,15,6,10,23,151,0.688,4,2,1.719
74,1,0,2,0,30,1.871,0,0,1.871
75,1,0,2,0,1,0.127,0,0,0.127
76,11,5,7,18,124,0.779,5,0,1.679
77,1,0,2,0,10,0.688,0,0,0.688
78,7,3,5,9,34,0.404,3,0,0.732
79,0,0,1,0,0,0.000,0,0,0.000
80,5,2,4,7,37,0.513,2,0,1.254
81,1,0,2,0,11,0.741,0,0,0.741
82,1,0,2,0,1,0.105,0,0,0.105
83,10,4,7,17,94,0.715,3,1,1.415
84,1,0,2,0,2,0.201,0,0,0.201
85,1,0,2,0,0,0.053,0,0,0.053
86,1,0,2,0,4,0.285,0,0,0.285
87,1,0,2,0,0,0.074,0,0,0.074
88,7,3,5,8,101,1.015,3,0,2.659
89,1,0,2,0,0,0.074,0,0,0.074
90,32,15,18,49,349,0.778,14,1,2.107
91,3,1,3,3,28,0.659,1,0,1.162
92,9,4,6,11,124,0.931,4,0,1.741
93,1,0,2,0,0,0.053,0,0,0.053
94,1,0,2,0,16,1.004,0,0,1.004
95,8,3,6,11,60,0.559,2,1,0.973
96,7,2,6,11,203,1.962,1,0,2.871
97,1,0,2,0,0,0.074,0,0,0.074
98,1,0,2,0,7,0.508,0,0,0.508
99,3,1,3,4,45,0.993,1,0,1.320
100,5,2,4,6,79,1.068,2,0,2.516
101,3,1,3,3,33,0.812,1,0,1.100
102,27,12,16,37,257,0.683,10,2,2.213
103,1,0,2,0,6,0.456,0,0,0.456
104,1,0,2,0,3,0.232,0,0,0.232
105,1,0,2,0,8,0.495,0,0,0.495
