 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,1,0.063,0,0,0.063
2,15,7,9,22,274,0.641,7,0,1.461
3,14,6,9,18,209,0.526,5,1,1.854
4,1,0,2,0,0,0.026,0,0,0.026
5,1,0,2,0,7,0.253,0,0,0.253
6,7,3,5,11,34,0.208,3,0,0.332
7,9,4,6,12,146,0.573,4,0,1.039
8,1,0,2,0,13,0.454,0,0,0.454
9,3,1,3,1,59,0.654,1,0,1.810
10,1,0,2,0,0,0.037,0,0,0.037
11,1,0,2,0,0,0.037,0,0,0.037
12,8,3,6,14,161,0.661,2,1,2.263
13,1,0,2,0,0,0.026,0,0,0.026
14,1,0,2,0,1,0.052,0,0,0.052
15,1,0,2,0,2,0.100,0,0,0.100
16,1,0,2,0,1,0.063,0,0,0.063
17,16,7,10,26,375,0.788,6,1,1.762
18,1,0,2,0,22,0.679,0,0,0.679
19,1,0,2,0,1,0.063,0,0,0.063
20,1,0,2,0,8,0.247,0,0,0.247
21,1,0,2,0,3,0.116,0,0,0.116
22,5,2,3,5,18,0.159,1,1,0.264
23,157,77,81,232,5046,1.115,75,2,6.143
24,1,0,2,0,1,0.063,0,0,0.063
25,1,0,2,0,0,0.037,0,0,0.037
26,5,2,4,4,54,0.385,2,0,0.607
27,5,2,4,4,64,0.442,2,0,1.186
28,1,0,2,0,5,0.179,0,0,0.179
29,1,0,2,0,0,0.026,0,0,0.026
30,1,0,2,0,14,0.459,0,0,0.459
31,1,0,2,0,1,0.052,0,0,0.052
32,7,3,5,8,116,0.563,3,0,1.132
33,1,0,2,0,1,0.063,0,0,0.063
34,1,0,2,0,4,0.185,0,0,0.185
35,1,0,2,0,0,0.026,0,0,0.026
36,1,0,2,0,0,0.037,0,0,0.037
37,1,0,2,0,7,0.264,0,0,0.264
38,0,0,1,0,0,0.000,0,0,0.000
39,5,2,4,9,57,0.423,2,0,0.913
40,1,0,2,0,0,0.026,0,0,0.026
41,13,6,8,16,298,0.799,6,0,2.262
42,1,0,2,0,15,0.539,0,0,0.539
43,1,0,2,0,2,0.090,0,0,0.090
44,1,0,2,0,8,0.280,0,0,0.280
45,1,0,2,0,0,0.026,0,0,0.026
46,1,0,2,0,0,0.026,0,0,0.026
47,1,0,2,0,0,0.037,0,0,0.037
48,3,1,3,4,59,0.659,1,0,0.985
49,1,0,2,0,11,0.391,0,0,0.391
50,1,0,2,0,0,0.037,0,0,0.037
51,1,0,2,0,0,0.026,0,0,0.026
52,1,0,2,0,2,0.111,0,0,0.111
53,3,1,3,4,14,0.207,1,0,0.295
54,5,2,4,7,50,0.368,2,0,0.496
55,1,0,2,0,11,0.347,0,0,0.347
56,11,5,7,16,179,0.577,5,0,1.219
57,1,0,2,0,0,0.037,0,0,0.037
58,1,0,2,0,13,0.443,0,0,0.443
59,1,0,2,0,9,0.327,0,0,0.327
60,1,0,2,0,0,0.026,0,0,0.026
61,1,0,2,0,15,0.463,0,0,0.463
62,3,1,3,4,39,0.473,1,0,0.751
63,1,0,2,0,0,0.026,0,0,0.026
64,1,0,2,0,2,0.100,0,0,0.100
65,0,0,1,0,0,0.000,0,0,0.000
66,0,0,1,0,0,0.000,0,0,0.000
67,1,0,2,0,0,0.037,0,0,0.037
68,1,0,2,0,3,0.116,0,0,0.116
69,1,0,2,0,0,0.037,0,0,0.037
70,1,0,2,0,7,0.275,0,0,0.275
71,1,0,2,0,7,0.242,0,0,0.242
72,5,2,4,4,5,0.078,2,0,0.100
73,3,1,3,1,19,0.239,1,0,0.391
74,23,11,13,33,359,0.558,11,0,1.031
75,1,0,2,0,3,0.127,0,0,0.127
76,1,0,2,0,0,0.037,0,0,0.037
77,5,2,4,4,19,0.165,2,0,0.290
78,1,0,2,0,1,0.052,0,0,0.052
79,1,0,2,0,5,0.190,0,0,0.190
80,1,0,2,0,5,0.179,0,0,0.179
81,1,0,2,0,5,0.190,0,0,0.190
82,1,0,2,0,13,0.422,0,0,0.422
83,26,12,15,38,391,0.548,11,1,1.124
84,1,0,2,0,0,0.026,0,0,0.026
85,1,0,2,0,12,0.395,0,0,0.395
86,3,1,3,4,59,0.659,1,0,0.963
87,1,0,2,0,1,0.052,0,0,0.052
88,1,0,2,0,0,0.026,0,0,0.026
89,1,0,2,0,1,0.063,0,0,0.063
90,0,0,1,0,0,0.000,0,0,0.000
91,1,0,2,0,1,0.063,0,0,0.063
92,10,4,7,14,274,0.930,3,1,1.869
93,1,0,2,0,0,0.026,0,0,0.026
94,1,0,2,0,2,0.100,0,0,0.100
95,1,0,2,0,3,0.138,0,0,0.138
96,1,0,2,0,0,0.026,0,0,0.026
97,1,0,2,0,0,0.026,0,0,0.026
98,1,0,2,0,2,0.100,0,0,0.100
99,1,0,2,0,7,0.221,0,0,0.221
100,1,0,2,0,14,0.448,0,0,0.448
101,1,0,2,0,3,0.138,0,0,0.138
102,1,0,2,0,3,0.116,0,0,0.116
103,1,0,2,0,8,0.258,0,0,0.258
104,1,0,2,0,2,0.100,0,0,0.100
105,8,3,6,12,205,0.872,2,1,1.758
106,1,0,2,0,0,0.037,0,0,0.037
107,1,0,2,0,0,0.026,0,0,0.026
108,1,0,2,0,14,0.448,0,0,0.448
109,7,3,5,6,122,0.568,3,0,1.186
110,1,0,2,0,3,0.116,0,0,0.116
111,15,7,9,17,221,0.516,7,0,0.961
112,0,0,1,0,0,0.000,0,0,0.000
113,0,0,1,0,0,0.000,0,0,0.000
114,1,0,2,0,26,0.784,0,0,0.784
115,1,0,2,0,1,0.074,0,0,0.074
116,0,0,1,0,0,0.000,0,0,0.000
117,1,0,2,0,1,0.063,0,0,0.063
118,8,3,6,10,71,0.332,2,1,0.655
119,1,0,2,0,0,0.037,0,0,0.037
120,1,0,2,0,11,0.380,0,0,0.380
121,1,0,2,0,1,0.063,0,0,0.063
122,1,0,2,0,1,0.052,0,0,0.052
123,9,4,6,12,102,0.412,4,0,1.000
124,1,0,2,0,0,0.037,0,0,0.037
125,1,0,2,0,6,0.227,0,0,0.227
126,1,0,2,0,1,0.063,0,0,0.063
127,1,0,2,0,5,0.201,0,0,0.201
128,1,0,2,0,1,0.063,0,0,0.063
129,1,0,2,0,3,0.127,0,0,0.127
130,1,0,2,0,1,0.052,0,0,0.052
131,1,0,2,0,8,0.301,0,0,0.301
132,1,0,2,0,0,0.037,0,0,0.037
133,0,0,1,0,0,0.000,0,0,0.000
