 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,3,0.116,0,0,0.116
2,1,0,2,0,3,0.127,0,0,0.127
3,3,1,3,3,53,0.616,1,0,1.456
4,1,0,2,0,5,0.212,0,0,0.212
5,1,0,2,0,6,0.184,0,0,0.184
6,1,0,2,0,4,0.153,0,0,0.153
7,7,3,5,9,61,0.318,3,0,0.990
8,1,0,2,0,2,0.090,0,0,0.090
9,0,0,1,0,0,0.000,0,0,0.000
10,1,0,2,0,1,0.063,0,0,0.063
11,0,0,1,0,0,0.000,0,0,0.000
12,5,2,4,7,110,0.723,2,0,0.996
13,1,0,2,0,3,0.127,0,0,0.127
14,3,1,3,3,66,0.762,1,0,1.642
15,1,0,2,0,0,0.026,0,0,0.026
16,3,1,3,4,28,0.370,1,0,0.773
17,1,0,2,0,4,0.142,0,0,0.142
18,1,0,2,0,3,0.116,0,0,0.116
19,11,5,7,17,158,0.523,5,0,0.777
20,1,0,2,0,4,0.164,0,0,0.164
21,1,0,2,0,1,0.063,0,0,0.063
22,1,0,2,0,1,0.052,0,0,0.052
23,17,8,10,19,209,0.430,8,0,1.470
24,1,0,2,0,7,0.232,0,0,0.232
25,1,0,2,0,19,0.579,0,0,0.579
26,81,39,43,112,2326,0.977,38,0,4.166
27,0,0,1,0,0,0.000,0,0,0.000
28,4,1,4,5,55,0.514,0,1,1.146
29,1,0,2,0,0,0.026,0,0,0.026
30,1,0,2,0,10,0.321,0,0,0.321
31,0,0,1,0,0,0.000,0,0,0.000
32,3,1,3,3,13,0.175,1,0,0.400
33,3,1,3,4,63,0.678,1,0,0.952
34,1,0,2,0,0,0.026,0,0,0.026
35,1,0,2,0,0,0.026,0,0,0.026
36,11,5,7,14,171,0.554,5,0,1.597
37,1,0,2,0,0,0.037,0,0,0.037
38,1,0,2,0,1,0.052,0,0,0.052
39,8,3,6,8,62,0.289,2,1,1.151
40,1,0,2,0,4,0.164,0,0,0.164
41,1,0,2,0,0,0.037,0,0,0.037
42,1,0,2,0,2,0.100,0,0,0.100
43,1,0,2,0,0,0.037,0,0,0.037
44,15,7,9,17,247,0.562,7,0,1.380
45,7,3,5,11,85,0.450,3,0,0.673
46,1,0,2,0,2,0.079,0,0,0.079
47,3,1,3,3,68,0.736,1,0,0.959
48,1,0,2,0,6,0.205,0,0,0.205
49,1,0,2,0,27,0.843,0,0,0.843
50,1,0,2,0,2,0.100,0,0,0.100
51,5,2,4,7,50,0.357,2,0,0.764
52,1,0,2,0,12,0.395,0,0,0.395
53,9,4,6,11,183,0.683,4,0,2.195
54,1,0,2,0,0,0.037,0,0,0.037
55,1,0,2,0,2,0.090,0,0,0.090
56,1,0,2,0,5,0.168,0,0,0.168
57,1,0,2,0,0,0.037,0,0,0.037
58,1,0,2,0,6,0.205,0,0,0.205
59,1,0,2,0,43,1.382,0,0,1.382
60,1,0,2,0,0,0.037,0,0,0.037
61,1,0,2,0,5,0.190,0,0,0.190
62,1,0,2,0,1,0.052,0,0,0.052
63,1,0,2,0,0,0.037,0,0,0.037
64,1,0,2,0,1,0.063,0,0,0.063
65,1,0,2,0,33,1.011,0,0,1.011
66,8,3,6,9,118,0.513,2,1,1.275
67,1,0,2,0,0,0.026,0,0,0.026
68,1,0,2,0,2,0.090,0,0,0.090
69,1,0,2,0,1,0.063,0,0,0.063
70,1,0,2,0,1,0.063,0,0,0.063
71,1,0,2,0,9,0.295,0,0,0.295
72,0,0,1,0,0,0.000,0,0,0.000
73,1,0,2,0,7,0.242,0,0,0.242
74,3,1,3,4,7,0.132,1,0,0.227
75,1,0,2,0,14,0.502,0,0,0.502
76,1,0,2,0,2,0.090,0,0,0.090
77,1,0,2,0,8,0.280,0,0,0.280
78,1,0,2,0,1,0.074,0,0,0.074
79,5,2,4,7,71,0.488,2,0,0.780
80,5,2,4,7,48,0.356,2,0,0.775
81,3,1,3,3,8,0.132,1,0,0.153
82,1,0,2,0,5,0.190,0,0,0.190
83,1,0,2,0,40,1.195,0,0,1.195
84,7,3,5,11,70,0.373,3,0,0.572
85,1,0,2,0,3,0.138,0,0,0.138
86,1,0,2,0,26,0.795,0,0,0.795
87,1,0,2,0,6,0.216,0,0,0.216
88,1,0,2,0,20,0.616,0,0,0.616
89,3,1,3,3,17,0.229,1,0,0.443
90,7,3,5,9,42,0.236,3,0,0.432
91,18,8,11,27,435,0.793,7,1,2.989
92,1,0,2,0,2,0.090,0,0,0.090
93,1,0,2,0,0,0.037,0,0,0.037
94,1,0,2,0,0,0.026,0,0,0.026
95,3,1,3,3,24,0.293,1,0,0.400
96,5,2,4,6,26,0.214,2,0,0.391
97,1,0,2,0,0,0.026,0,0,0.026
98,1,0,2,0,0,0.026,0,0,0.026
99,1,0,2,0,5,0.201,0,0,0.201
100,1,0,2,0,14,0.459,0,0,0.459
101,11,5,7,15,120,0.392,5,0,0.897
102,1,0,2,0,1,0.063,0,0,0.063
103,5,2,4,7,26,0.210,2,0,0.369
104,9,4,6,14,158,0.602,4,0,1.634
105,1,0,2,0,0,0.037,0,0,0.037
106,1,0,2,0,30,0.922,0,0,0.922
107,7,3,5,5,76,0.374,3,0,1.607
108,9,4,6,12,88,0.350,4,0,1.199
109,17,8,10,25,129,0.299,8,0,0.734
110,13,6,8,19,145,0.403,6,0,0.828
111,1,0,2,0,13,0.454,0,0,0.454
112,3,1,3,3,19,0.253,1,0,0.365
113,9,4,6,10,123,0.472,4,0,1.011
114,3,1,3,3,19,0.239,1,0,0.358
115,3,1,3,4,18,0.242,1,0,0.395
116,1,0,2,0,15,0.517,0,0,0.517
117,1,0,2,0,18,0.618,0,0,0.618
118,11,4,8,16,225,0.699,2,2,1.837
119,1,0,2,0,1,0.063,0,0,0.063
120,15,7,9,21,267,0.624,7,0,1.570
121,1,0,2,0,8,0.280,0,0,0.280
122,1,0,2,0,17,0.559,0,0,0.559
123,1,0,2,0,10,0.354,0,0,0.354
124,1,0,2,0,3,0.138,0,0,0.138
125,1,0,2,0,62,1.837,0,0,1.837
126,1,0,2,0,5,0.190,0,0,0.190
127,5,2,4,8,13,0.136,2,0,0.205
128,1,0,2,0,6,0.216,0,0,0.216
129,3,1,3,4,55,0.624,1,0,1.018
130,1,0,2,0,5,0.179,0,0,0.179
131,1,0,2,0,2,0.100,0,0,0.100
132,1,0,2,0,0,0.026,0,0,0.026
133,1,0,2,0,1,0.052,0,0,0.052
134,13,6,8,17,224,0.572,6,0,1.721
135,1,0,2,0,0,0.037,0,0,0.037
136,1,0,2,0,0,0.026,0,0,0.026
137,7,3,5,11,123,0.598,3,0,1.105
138,1,0,2,0,20,0.670,0,0,0.670
139,1,0,2,0,4,0.164,0,0,0.164
140,3,1,3,1,42,0.466,1,0,0.642
141,3,1,3,4,69,0.743,1,0,0.860
142,9,4,6,6,112,0.437,4,0,0.670
143,1,0,2,0,11,0.347,0,0,0.347
144,0,0,1,0,0,0.000,0,0,0.000
145,1,0,2,0,8,0.269,0,0,0.269
146,1,0,2,0,2,0.100,0,0,0.100
147,3,1,3,4,25,0.340,1,0,0.581
148,9,4,6,10,84,0.350,4,0,0.755
149,3,1,3,4,6,0.119,1,0,0.216
150,0,0,1,0,0,0.000,0,0,0.000
151,3,1,3,4,59,0.652,1,0,1.359
152,3,1,3,1,23,0.278,1,0,0.443
153,3,1,3,3,25,0.288,1,0,0.468
154,1,0,2,0,8,0.290,0,0,0.290
155,3,1,3,4,31,0.374,1,0,0.642
156,3,1,3,3,18,0.234,1,0,0.422
157,1,0,2,0,2,0.090,0,0,0.090
158,7,3,5,10,128,0.603,3,0,1.064
159,0,0,1,0,0,0.000,0,0,0.000
160,1,0,2,0,5,0.190,0,0,0.190
161,3,1,3,4,22,0.280,1,0,0.327
162,1,0,2,0,2,0.100,0,0,0.100
163,7,3,5,9,134,0.633,3,0,1.547
164,5,2,4,6,129,0.850,2,0,1.998
165,1,0,2,0,2,0.100,0,0,0.100
166,1,0,2,0,5,0.190,0,0,0.190
167,1,0,2,0,9,0.295,0,0,0.295
168,13,6,8,19,191,0.515,6,0,1.728
169,5,2,4,7,41,0.322,2,0,0.411
170,8,3,6,11,171,0.731,2,1,1.070
171,1,0,2,0,7,0.275,0,0,0.275
172,6,2,5,5,76,0.449,1,1,0.675
173,3,1,3,1,22,0.262,1,0,0.312
174,1,0,2,0,1,0.074,0,0,0.074
175,1,0,2,0,1,0.052,0,0,0.052
176,1,0,2,0,5,0.179,0,0,0.179
177,1,0,2,0,12,0.406,0,0,0.406
178,1,0,2,0,0,0.026,0,0,0.026
179,1,0,2,0,23,0.825,0,0,0.825
180,3,1,3,3,19,0.246,1,0,0.485
181,1,0,2,0,10,0.321,0,0,0.321
