 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,5,0.190,0,0,0.190
2,1,0,2,0,0,0.026,0,0,0.026
3,1,0,2,0,0,0.026,0,0,0.026
4,1,0,2,0,3,0.105,0,0,0.105
5,49,23,27,71,904,0.630,21,2,1.778
6,25,12,14,36,364,0.505,12,0,1.731
7,1,0,2,0,4,0.153,0,0,0.153
8,1,0,2,0,0,0.037,0,0,0.037
9,1,0,2,0,1,0.063,0,0,0.063
10,1,0,2,0,20,0.659,0,0,0.659
11,14,6,9,19,187,0.467,5,1,0.950
12,17,8,10,24,270,0.518,8,0,1.258
13,1,0,2,0,13,0.465,0,0,0.465
14,1,0,2,0,2,0.079,0,0,0.079
15,1,0,2,0,5,0.190,0,0,0.190
16,1,0,2,0,0,0.037,0,0,0.037
17,1,0,2,0,1,0.063,0,0,0.063
18,1,0,2,0,7,0.264,0,0,0.264
19,8,3,6,14,96,0.430,2,1,1.328
20,1,0,2,0,4,0.153,0,0,0.153
21,172,83,90,253,3399,0.669,79,3,2.886
22,1,0,2,0,10,0.354,0,0,0.354
23,3,1,3,4,8,0.133,1,0,0.247
24,1,0,2,0,2,0.090,0,0,0.090
25,1,0,2,0,0,0.026,0,0,0.026
26,0,0,1,0,0,0.000,0,0,0.000
27,1,0,2,0,0,0.026,0,0,0.026
28,1,0,2,0,1,0.063,0,0,0.063
29,3,1,3,3,1,0.063,1,0,0.063
30,1,0,2,0,8,0.269,0,0,0.269
31,1,0,2,0,1,0.052,0,0,0.052
32,23,11,13,34,279,0.430,11,0,1.041
33,1,0,2,0,0,0.026,0,0,0.026
34,1,0,2,0,0,0.026,0,0,0.026
35,1,0,2,0,14,0.437,0,0,0.437
36,49,22,27,72,663,0.462,18,3,1.710
37,1,0,2,0,2,0.111,0,0,0.111
38,1,0,2,0,3,0.116,0,0,0.116
39,1,0,2,0,0,0.026,0,0,0.026
40,13,6,8,21,42,0.150,6,0,0.290
41,1,0,2,0,1,0.074,0,0,0.074
42,1,0,2,0,0,0.037,0,0,0.037
43,1,0,2,0,1,0.063,0,0,0.063
44,1,0,2,0,3,0.116,0,0,0.116
45,1,0,2,0,7,0.242,0,0,0.242
46,1,0,2,0,5,0.190,0,0,0.190
47,1,0,2,0,7,0.232,0,0,0.232
48,1,0,2,0,0,0.026,0,0,0.026
49,5,2,4,7,70,0.488,2,0,0.943
50,74,35,40,104,1882,0.850,32,3,2.617
51,16,6,11,24,244,0.553,3,3,1.072
52,1,0,2,0,0,0.026,0,0,0.026
53,1,0,2,0,2,0.100,0,0,0.100
54,1,0,2,0,0,0.026,0,0,0.026
55,1,0,2,0,0,0.026,0,0,0.026
56,1,0,2,0,2,0.079,0,0,0.079
57,1,0,2,0,1,0.063,0,0,0.063
58,4,1,4,7,34,0.338,0,1,0.594
59,1,0,2,0,1,0.063,0,0,0.063
60,31,14,18,50,633,0.698,12,2,2.338
61,1,0,2,0,0,0.026,0,0,0.026
62,1,0,2,0,2,0.079,0,0,0.079
63,1,0,2,0,0,0.037,0,0,0.037
64,1,0,2,0,9,0.317,0,0,0.317
65,1,0,2,0,1,0.052,0,0,0.052
66,1,0,2,0,11,0.380,0,0,0.380
67,1,0,2,0,3,0.116,0,0,0.116
68,1,0,2,0,20,0.681,0,0,0.681
69,1,0,2,0,0,0.026,0,0,0.026
70,1,0,2,0,3,0.116,0,0,0.116
71,1,0,2,0,2,0.111,0,0,0.111
72,15,7,9,23,211,0.483,7,0,1.038
73,19,9,11,28,294,0.517,9,0,0.857
74,1,0,2,0,10,0.321,0,0,0.321
75,17,7,11,23,254,0.536,5,2,1.157
76,1,0,2,0,13,0.443,0,0,0.443
77,1,0,2,0,3,0.127,0,0,0.127
78,1,0,2,0,1,0.063,0,0,0.063
79,4,1,3,4,8,0.101,0,0,0.174
80,1,0,2,0,1,0.052,0,0,0.052
81,24,11,13,35,279,0.394,9,2,1.116
82,1,0,2,0,1,0.052,0,0,0.052
83,0,0,1,0,0,0.000,0,0,0.000
84,1,0,2,0,7,0.242,0,0,0.242
85,13,6,8,19,186,0.498,6,0,1.002
86,3,1,3,4,43,0.470,1,0,0.922
87,1,0,2,0,3,0.127,0,0,0.127
88,1,0,2,0,0,0.026,0,0,0.026
89,17,8,10,22,228,0.469,8,0,1.330
90,3,1,3,3,31,0.358,1,0,0.721
91,0,0,1,0,0,0.000,0,0,0.000
92,1,0,2,0,8,0.290,0,0,0.290
93,1,0,2,0,1,0.074,0,0,0.074
94,1,0,2,0,1,0.063,0,0,0.063
95,1,0,2,0,16,0.587,0,0,0.587
96,1,0,2,0,5,0.190,0,0,0.190
97,3,1,3,1,19,0.232,1,0,0.264
98,1,0,2,0,0,0.026,0,0,0.026
99,3,1,3,4,16,0.207,1,0,0.441
100,1,0,2,0,4,0.142,0,0,0.142
101,5,2,3,6,14,0.121,1,1,0.227
102,5,2,4,4,40,0.267,2,0,0.404
103,1,0,2,0,3,0.138,0,0,0.138
104,1,0,2,0,0,0.037,0,0,0.037
105,1,0,2,0,0,0.026,0,0,0.026
106,5,2,4,4,21,0.166,2,0,0.280
