 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.074,0,0,0.074
2,1,0,2,0,0,0.074,0,0,0.074
3,0,0,1,0,0,0.000,0,0,0.000
4,3,1,3,3,3,0.169,1,0,0.329
5,1,0,2,0,3,0.232,0,0,0.232
6,1,0,2,0,0,0.053,0,0,0.053
7,1,0,2,0,4,0.350,0,0,0.350
8,3,1,3,1,30,0.673,1,0,1.196
9,7,3,5,8,58,0.591,3,0,1.165
10,5,2,4,6,30,0.465,2,0,0.750
11,1,0,2,0,5,0.359,0,0,0.359
12,1,0,2,0,10,0.753,0,0,0.753
13,1,0,2,0,2,0.180,0,0,0.180
14,1,0,2,0,0,0.074,0,0,0.074
15,3,1,3,3,27,0.641,1,0,0.741
16,1,0,2,0,18,1.153,0,0,1.153
17,1,0,2,0,2,0.201,0,0,0.201
18,1,0,2,0,4,0.307,0,0,0.307
19,1,0,2,0,15,1.017,0,0,1.017
20,1,0,2,0,6,0.477,0,0,0.477
21,1,0,2,0,1,0.149,0,0,0.149
22,0,0,1,0,0,0.000,0,0,0.000
23,3,1,3,3,40,0.855,1,0,1.604
24,1,0,2,0,0,0.053,0,0,0.053
25,1,0,2,0,19,1.183,0,0,1.183
26,7,3,5,5,49,0.513,3,0,0.995
27,7,2,6,13,113,1.127,1,0,2.980
28,1,0,2,0,0,0.074,0,0,0.074
29,3,1,3,1,18,0.412,1,0,0.592
30,3,1,3,4,4,0.197,1,0,0.307
31,1,0,2,0,17,1.144,0,0,1.144
32,1,0,2,0,30,1.959,0,0,1.959
33,18,8,11,34,161,0.659,7,1,2.389
34,1,0,2,0,20,1.367,0,0,1.367
35,3,1,3,3,4,0.187,1,0,0.254
36,1,0,2,0,4,0.329,0,0,0.329
37,3,1,3,3,12,0.349,1,0,0.456
38,0,0,1,0,0,0.000,0,0,0.000
39,3,1,3,3,13,0.374,1,0,0.434
40,1,0,2,0,0,0.053,0,0,0.053
41,1,0,2,0,3,0.254,0,0,0.254
42,1,0,2,0,1,0.127,0,0,0.127
43,9,4,6,12,97,0.732,4,0,1.556
44,1,0,2,0,0,0.074,0,0,0.074
45,1,0,2,0,0,0.053,0,0,0.053
46,6,2,5,7,37,0.518,1,1,0.715
47,1,0,2,0,8,0.583,0,0,0.583
48,0,0,1,0,0,0.000,0,0,0.000
49,1,0,2,0,13,0.824,0,0,0.824
50,8,3,6,15,63,0.658,2,1,1.082
51,7,3,5,11,57,0.587,3,0,1.332
52,1,0,2,0,5,0.359,0,0,0.359
53,6,2,5,8,54,0.686,1,1,1.394
54,3,1,3,5,16,0.447,1,0,0.771
55,1,0,2,0,3,0.254,0,0,0.254
56,1,0,2,0,1,0.127,0,0,0.127
57,1,0,2,0,0,0.053,0,0,0.053
58,1,0,2,0,0,0.074,0,0,0.074
59,9,4,6,12,88,0.678,4,0,1.621
60,1,0,2,0,27,1.561,0,0,1.561
61,1,0,2,0,0,0.074,0,0,0.074
62,3,1,3,4,33,0.793,1,0,1.630
63,9,4,6,8,114,0.849,4,0,1.819
64,1,0,2,0,0,0.074,0,0,0.074
65,1,0,2,0,3,0.254,0,0,0.254
66,1,0,2,0,0,0.053,0,0,0.053
67,0,0,1,0,0,0.000,0,0,0.000
68,3,1,3,4,6,0.240,1,0,0.465
69,3,1,3,1,16,0.399,1,0,0.552
70,1,0,2,0,0,0.053,0,0,0.053
71,1,0,2,0,0,0.053,0,0,0.053
72,1,0,2,0,2,0.201,0,0,0.201
73,5,2,4,8,25,0.408,2,0,0.508
74,1,0,2,0,1,0.127,0,0,0.127
75,15,7,9,19,124,0.596,7,0,1.245
76,1,0,2,0,3,0.211,0,0,0.211
77,1,0,2,0,0,0.053,0,0,0.053
78,6,2,5,8,63,0.717,1,1,1.223
79,1,0,2,0,3,0.254,0,0,0.254
80,1,0,2,0,35,2.374,0,0,2.374
81,1,0,2,0,1,0.127,0,0,0.127
82,3,1,3,1,62,1.344,1,0,1.683
83,1,0,2,0,4,0.307,0,0,0.307
84,3,1,3,4,20,0.478,1,0,0.526
85,3,1,3,4,9,0.314,1,0,0.583
86,3,1,3,4,28,0.698,1,0,1.459
87,1,0,2,0,1,0.149,0,0,0.149
88,1,0,2,0,4,0.307,0,0,0.307
89,1,0,2,0,3,0.276,0,0,0.276
90,1,0,2,0,3,0.232,0,0,0.232
91,1,0,2,0,18,1.153,0,0,1.153
92,19,8,12,29,162,0.644,6,2,1.403
93,3,1,3,4,18,0.486,1,0,0.762
94,1,0,2,0,0,0.053,0,0,0.053
95,1,0,2,0,1,0.105,0,0,0.105
96,10,4,7,17,124,0.888,3,1,1.766
97,19,8,12,31,217,0.819,7,0,1.987
98,6,2,5,8,50,0.617,1,1,1.065
99,0,0,1,0,0,0.000,0,0,0.000
100,7,2,6,15,99,1.068,1,0,1.744
101,0,0,1,0,0,0.000,0,0,0.000
102,3,1,3,1,21,0.494,1,0,0.771
103,18,8,11,26,125,0.528,7,1,1.004
104,3,1,3,5,14,0.419,1,0,0.592
105,1,0,2,0,5,0.381,0,0,0.381
106,1,0,2,0,16,0.982,0,0,0.982
107,1,0,2,0,5,0.381,0,0,0.381
108,7,3,5,9,59,0.598,3,0,0.877
109,9,4,6,14,71,0.575,4,0,0.964
110,1,0,2,0,0,0.053,0,0,0.053
111,1,0,2,0,7,0.486,0,0,0.486
112,1,0,2,0,0,0.053,0,0,0.053
113,1,0,2,0,3,0.254,0,0,0.254
114,9,4,6,12,61,0.527,4,0,1.091
115,1,0,2,0,3,0.254,0,0,0.254
116,1,0,2,0,22,1.407,0,0,1.407
117,1,0,2,0,1,0.127,0,0,0.127
118,3,1,3,4,36,0.846,1,0,1.490
119,0,0,1,0,0,0.000,0,0,0.000
120,1,0,2,0,1,0.105,0,0,0.105
121,0,0,1,0,0,0.000,0,0,0.000
122,1,0,2,0,0,0.053,0,0,0.053
123,1,0,2,0,2,0.180,0,0,0.180
124,1,0,2,0,0,0.074,0,0,0.074
125,1,0,2,0,16,1.091,0,0,1.091
126,1,0,2,0,2,0.158,0,0,0.158
127,1,0,2,0,0,0.074,0,0,0.074
128,1,0,2,0,8,0.583,0,0,0.583
129,1,0,2,0,4,0.307,0,0,0.307
130,1,0,2,0,15,0.908,0,0,0.908
131,1,0,2,0,6,0.499,0,0,0.499
132,1,0,2,0,13,0.933,0,0,0.933
133,3,1,3,5,11,0.359,1,0,0.456
134,5,2,4,5,36,0.533,2,0,0.675
135,3,1,2,2,6,0.165,0,1,0.285
136,5,2,4,2,31,0.421,2,0,1.394
137,1,0,2,0,1,0.105,0,0,0.105
138,13,6,8,19,123,0.694,6,0,1.447
139,1,0,2,0,7,0.465,0,0,0.465
140,3,1,3,3,12,0.342,1,0,0.465
141,1,0,2,0,1,0.127,0,0,0.127
142,4,1,4,6,46,0.849,0,1,1.744
143,5,2,4,8,47,0.705,2,0,1.525
144,1,0,2,0,48,3.146,0,0,3.146
145,1,0,2,0,4,0.329,0,0,0.329
146,1,0,2,0,7,0.530,0,0,0.530
147,3,1,3,3,30,0.738,1,0,1.240
148,1,0,2,0,0,0.074,0,0,0.074
149,1,0,2,0,14,0.986,0,0,0.986
150,1,0,2,0,3,0.232,0,0,0.232
151,1,0,2,0,0,0.074,0,0,0.074
152,3,1,3,3,28,0.688,1,0,1.069
153,1,0,2,0,0,0.053,0,0,0.053
154,5,2,4,5,38,0.529,2,0,0.719
155,9,4,6,11,105,0.822,4,0,1.906
156,1,0,2,0,1,0.105,0,0,0.105
157,3,1,3,4,14,0.406,1,0,0.530
158,1,0,2,0,0,0.053,0,0,0.053
159,1,0,2,0,26,1.661,0,0,1.661
160,1,0,2,0,1,0.127,0,0,0.127
161,1,0,2,0,1,0.149,0,0,0.149
162,7,3,5,10,49,0.557,3,0,1.630
163,3,1,3,1,22,0.526,1,0,0.784
164,1,0,2,0,1,0.127,0,0,0.127
165,1,0,2,0,1,0.127,0,0,0.127
166,1,0,2,0,8,0.561,0,0,0.561
167,1,0,2,0,8,0.561,0,0,0.561
168,1,0,2,0,16,1.026,0,0,1.026
169,5,2,4,8,78,1.081,2,0,2.002
