 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,3,0.276,0,0,0.276
2,1,0,2,0,1,0.127,0,0,0.127
3,5,2,4,7,21,0.359,2,0,0.824
4,3,1,3,3,27,0.634,1,0,0.710
5,1,0,2,0,1,0.105,0,0,0.105
6,8,3,6,14,79,0.735,2,1,1.534
7,24,11,14,42,294,0.850,10,1,1.911
8,9,4,6,12,86,0.665,4,0,1.841
9,3,1,3,4,43,0.973,1,0,1.004
10,5,2,4,5,49,0.664,2,0,1.394
11,1,0,2,0,3,0.232,0,0,0.232
12,3,1,3,3,11,0.368,1,0,0.850
13,1,0,2,0,9,0.592,0,0,0.592
14,11,5,7,15,98,0.647,5,0,1.766
15,1,0,2,0,1,0.105,0,0,0.105
16,3,1,3,1,28,0.646,1,0,1.481
17,1,0,2,0,6,0.434,0,0,0.434
18,1,0,2,0,0,0.053,0,0,0.053
19,1,0,2,0,0,0.053,0,0,0.053
20,1,0,2,0,0,0.053,0,0,0.053
21,12,5,8,21,134,0.845,4,1,1.739
22,25,11,15,38,293,0.816,9,2,1.589
23,5,2,4,5,37,0.559,2,0,0.880
24,1,0,2,0,0,0.074,0,0,0.074
25,1,0,2,0,2,0.180,0,0,0.180
26,1,0,2,0,1,0.127,0,0,0.127
27,7,3,5,8,122,1.197,3,0,2.191
28,1,0,2,0,7,0.552,0,0,0.552
29,1,0,2,0,1,0.127,0,0,0.127
30,3,1,3,4,28,0.735,1,0,1.292
31,1,0,2,0,3,0.276,0,0,0.276
32,0,0,1,0,0,0.000,0,0,0.000
33,6,2,5,10,86,1.014,1,1,2.209
34,1,0,2,0,0,0.053,0,0,0.053
35,3,1,3,4,50,1.237,1,0,1.494
36,1,0,2,0,0,0.053,0,0,0.053
37,9,4,6,6,137,1.080,4,0,1.950
38,1,0,2,0,4,0.307,0,0,0.307
39,1,0,2,0,3,0.254,0,0,0.254
40,9,4,6,13,144,1.094,4,0,2.494
41,6,2,5,6,59,0.717,1,1,1.546
42,1,0,2,0,0,0.074,0,0,0.074
43,1,0,2,0,0,0.053,0,0,0.053
44,1,0,2,0,1,0.127,0,0,0.127
45,1,0,2,0,1,0.105,0,0,0.105
46,1,0,2,0,35,2.222,0,0,2.222
47,1,0,2,0,1,0.127,0,0,0.127
48,3,1,3,1,26,0.574,1,0,1.341
49,1,0,2,0,0,0.053,0,0,0.053
50,17,8,10,26,238,0.959,8,0,2.783
51,11,5,7,15,146,0.896,5,0,4.068
52,3,1,3,4,9,0.292,1,0,0.517
53,1,0,2,0,2,0.201,0,0,0.201
54,1,0,2,0,0,0.053,0,0,0.053
55,1,0,2,0,2,0.180,0,0,0.180
56,1,0,2,0,6,0.456,0,0,0.456
57,3,1,3,5,20,0.504,1,0,0.644
58,1,0,2,0,1,0.105,0,0,0.105
59,11,5,7,14,57,0.407,5,0,1.113
60,1,0,2,0,0,0.053,0,0,0.053
61,3,1,3,4,27,0.692,1,0,1.122
62,1,0,2,0,5,0.381,0,0,0.381
63,1,0,2,0,4,0.329,0,0,0.329
64,3,1,3,3,16,0.419,1,0,0.771
65,7,3,5,11,37,0.424,3,0,0.728
66,3,1,3,1,17,0.431,1,0,0.583
67,1,0,2,0,1,0.149,0,0,0.149
68,489,239,251,731,8676,1.234,229,10,12.078
69,1,0,2,0,9,0.614,0,0,0.614
70,1,0,2,0,13,0.868,0,0,0.868
71,0,0,1,0,0,0.000,0,0,0.000
72,1,0,2,0,0,0.053,0,0,0.053
73,1,0,2,0,3,0.276,0,0,0.276
74,19,9,11,30,248,0.890,9,0,2.617
75,1,0,2,0,1,0.127,0,0,0.127
76,3,1,3,3,25,0.606,1,0,0.719
77,1,0,2,0,8,0.583,0,0,0.583
78,1,0,2,0,1,0.149,0,0,0.149
79,1,0,2,0,0,0.053,0,0,0.053
80,1,0,2,0,0,0.053,0,0,0.053
81,9,4,6,14,36,0.349,4,0,0.508
82,0,0,1,0,0,0.000,0,0,0.000
83,0,0,1,0,0,0.000,0,0,0.000
84,1,0,2,0,4,0.329,0,0,0.329
85,0,0,1,0,0,0.000,0,0,0.000
86,0,0,1,0,0,0.000,0,0,0.000
87,1,0,2,0,0,0.053,0,0,0.053
88,0,0,1,0,0,0.000,0,0,0.000
89,0,0,1,0,0,0.000,0,0,0.000
90,7,3,4,10,77,0.744,2,1,1.481
91,3,1,3,3,9,0.296,1,0,0.412
92,1,0,2,0,2,0.180,0,0,0.180
93,1,0,2,0,1,0.105,0,0,0.105
94,1,0,2,0,7,0.465,0,0,0.465
95,11,5,7,17,103,0.681,5,0,1.779
96,1,0,2,0,1,0.149,0,0,0.149
97,1,0,2,0,0,0.074,0,0,0.074
98,1,0,2,0,1,0.127,0,0,0.127
99,3,1,3,1,8,0.237,1,0,0.434
100,1,0,2,0,12,0.793,0,0,0.793
101,1,0,2,0,0,0.053,0,0,0.053
102,13,5,9,21,64,0.435,4,0,0.902
103,1,0,2,0,0,0.053,0,0,0.053
104,0,0,1,0,0,0.000,0,0,0.000
105,0,0,1,0,0,0.000,0,0,0.000
106,1,0,2,0,5,0.338,0,0,0.338
107,1,0,2,0,2,0.180,0,0,0.180
108,1,0,2,0,4,0.285,0,0,0.285
109,0,0,1,0,0,0.000,0,0,0.000
110,9,4,6,9,87,0.662,4,0,1.289
111,1,0,2,0,0,0.053,0,0,0.053
112,1,0,2,0,5,0.338,0,0,0.338
113,1,0,2,0,0,0.074,0,0,0.074
114,1,0,2,0,0,0.074,0,0,0.074
115,3,1,3,3,28,0.673,1,0,0.697
116,1,0,2,0,6,0.412,0,0,0.412
117,1,0,2,0,2,0.180,0,0,0.180
118,1,0,2,0,0,0.053,0,0,0.053
119,1,0,2,0,3,0.254,0,0,0.254
120,1,0,2,0,0,0.074,0,0,0.074
121,0,0,1,0,0,0.000,0,0,0.000
122,1,0,2,0,1,0.127,0,0,0.127
123,1,0,2,0,0,0.053,0,0,0.053
124,1,0,2,0,23,1.481,0,0,1.481
125,3,1,3,4,9,0.314,1,0,0.530
126,1,0,2,0,0,0.053,0,0,0.053
127,1,0,2,0,0,0.053,0,0,0.053
128,16,7,10,29,220,0.974,6,1,2.037
129,0,0,1,0,0,0.000,0,0,0.000
130,38,18,20,58,335,0.654,16,2,2.380
131,1,0,2,0,8,0.561,0,0,0.561
132,1,0,2,0,2,0.158,0,0,0.158
133,0,0,1,0,0,0.000,0,0,0.000
134,7,3,5,9,67,0.701,3,0,1.026
135,1,0,2,0,1,0.105,0,0,0.105
136,1,0,2,0,0,0.053,0,0,0.053
137,1,0,2,0,0,0.053,0,0,0.053
138,1,0,2,0,0,0.053,0,0,0.053
139,1,0,2,0,5,0.403,0,0,0.403
140,1,0,2,0,0,0.053,0,0,0.053
141,1,0,2,0,1,0.127,0,0,0.127
142,1,0,2,0,2,0.201,0,0,0.201
143,1,0,2,0,0,0.053,0,0,0.053
144,1,0,2,0,3,0.254,0,0,0.254
145,1,0,2,0,0,0.074,0,0,0.074
146,1,0,2,0,0,0.053,0,0,0.053
147,3,1,3,3,33,0.747,1,0,1.004
148,1,0,2,0,4,0.329,0,0,0.329
149,1,0,2,0,18,1.131,0,0,1.131
150,1,0,2,0,6,0.390,0,0,0.390
151,1,0,2,0,16,1.069,0,0,1.069
152,1,0,2,0,1,0.127,0,0,0.127
153,1,0,2,0,1,0.127,0,0,0.127
