 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.053,0,0,0.053
2,5,2,4,7,21,0.372,2,0,0.552
3,1,0,2,0,2,0.223,0,0,0.223
4,15,6,10,25,167,0.796,4,2,2.218
5,9,4,6,9,98,0.777,4,0,1.441
6,3,1,3,3,11,0.324,1,0,0.741
7,1,0,2,0,1,0.105,0,0,0.105
8,7,3,5,9,100,0.963,3,0,2.200
9,1,0,2,0,4,0.329,0,0,0.329
10,1,0,2,0,2,0.180,0,0,0.180
11,3,1,3,1,20,0.483,1,0,0.771
12,1,0,2,0,1,0.105,0,0,0.105
13,0,0,1,0,0,0.000,0,0,0.000
14,1,0,2,0,4,0.307,0,0,0.307
15,1,0,2,0,2,0.201,0,0,0.201
16,7,3,5,9,58,0.618,3,0,1.407
17,1,0,2,0,4,0.285,0,0,0.285
18,9,4,6,13,68,0.587,4,0,1.438
19,1,0,2,0,14,0.942,0,0,0.942
20,3,1,3,3,61,1.376,1,0,1.928
21,1,0,2,0,2,0.180,0,0,0.180
22,9,4,6,13,97,0.783,4,0,1.463
23,1,0,2,0,3,0.254,0,0,0.254
24,3,1,3,3,30,0.723,1,0,1.017
25,5,2,4,4,59,0.787,2,0,1.271
26,5,2,4,8,65,0.910,2,0,1.153
27,6,2,5,7,83,0.984,1,1,1.568
28,30,14,17,46,404,0.948,13,1,2.349
29,18,8,11,24,208,0.791,7,1,1.898
30,1,0,2,0,0,0.053,0,0,0.053
31,1,0,2,0,23,1.438,0,0,1.438
32,1,0,2,0,48,3.189,0,0,3.189
33,3,1,3,4,23,0.603,1,0,1.060
34,1,0,2,0,0,0.053,0,0,0.053
35,1,0,2,0,31,2.033,0,0,2.033
36,1,0,2,0,8,0.626,0,0,0.626
37,1,0,2,0,0,0.053,0,0,0.053
38,0,0,1,0,0,0.000,0,0,0.000
39,1,0,2,0,0,0.053,0,0,0.053
40,3,1,3,1,21,0.494,1,0,1.205
41,1,0,2,0,6,0.456,0,0,0.456
42,1,0,2,0,0,0.053,0,0,0.053
43,6,2,5,8,51,0.664,1,1,0.964
44,19,9,11,26,228,0.813,9,0,2.688
45,15,7,9,19,153,0.742,7,0,1.962
46,55,26,30,82,513,0.664,24,2,1.683
47,1,0,2,0,1,0.127,0,0,0.127
48,30,14,17,43,304,0.706,13,1,1.893
49,1,0,2,0,2,0.158,0,0,0.158
50,6,2,5,10,51,0.697,1,1,1.249
51,11,5,7,13,155,0.986,5,0,2.164
52,1,0,2,0,0,0.053,0,0,0.053
53,1,0,2,0,9,0.548,0,0,0.548
54,0,0,1,0,0,0.000,0,0,0.000
55,1,0,2,0,1,0.105,0,0,0.105
56,22,10,13,31,274,0.856,9,1,2.276
57,0,0,1,0,0,0.000,0,0,0.000
58,5,2,4,6,43,0.676,2,0,1.599
59,1,0,2,0,1,0.105,0,0,0.105
60,13,5,9,19,169,0.924,3,2,2.612
61,1,0,2,0,10,0.601,0,0,0.601
62,1,0,2,0,2,0.180,0,0,0.180
63,1,0,2,0,0,0.053,0,0,0.053
64,5,2,4,7,34,0.525,2,0,0.771
65,0,0,1,0,0,0.000,0,0,0.000
66,88,43,46,139,1040,0.827,42,1,2.822
67,1,0,2,0,4,0.329,0,0,0.329
68,1,0,2,0,0,0.074,0,0,0.074
69,1,0,2,0,1,0.149,0,0,0.149
70,1,0,2,0,0,0.074,0,0,0.074
71,0,0,1,0,0,0.000,0,0,0.000
72,6,2,5,9,50,0.674,1,1,1.301
73,1,0,2,0,0,0.053,0,0,0.053
74,1,0,2,0,2,0.158,0,0,0.158
75,1,0,2,0,1,0.149,0,0,0.149
76,0,0,1,0,0,0.000,0,0,0.000
77,16,7,10,25,147,0.664,6,1,1.280
78,0,0,1,0,0,0.000,0,0,0.000
79,1,0,2,0,0,0.053,0,0,0.053
80,1,0,2,0,8,0.539,0,0,0.539
81,1,0,2,0,0,0.053,0,0,0.053
82,10,4,7,14,109,0.796,3,1,1.432
83,1,0,2,0,0,0.053,0,0,0.053
84,1,0,2,0,0,0.053,0,0,0.053
85,4,1,4,6,33,0.650,0,1,0.834
86,20,9,12,28,214,0.777,8,1,2.104
87,1,0,2,0,0,0.053,0,0,0.053
88,1,0,2,0,1,0.105,0,0,0.105
89,25,11,15,37,380,1.080,9,2,3.432
90,0,0,1,0,0,0.000,0,0,0.000
91,4,1,4,5,17,0.404,0,1,0.653
92,1,0,2,0,0,0.053,0,0,0.053
93,1,0,2,0,0,0.053,0,0,0.053
94,5,2,4,7,23,0.396,2,0,0.719
95,1,0,2,0,0,0.053,0,0,0.053
96,1,0,2,0,1,0.127,0,0,0.127
97,1,0,2,0,0,0.074,0,0,0.074
98,1,0,2,0,0,0.053,0,0,0.053
99,0,0,1,0,0,0.000,0,0,0.000
