 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,2,0.100,0,0,0.100
2,1,0,2,0,0,0.026,0,0,0.026
3,1,0,2,0,1,0.052,0,0,0.052
4,5,2,4,7,30,0.235,2,0,0.594
5,1,0,2,0,21,0.653,0,0,0.653
6,9,3,7,14,135,0.517,1,2,1.525
7,1,0,2,0,22,0.679,0,0,0.679
8,1,0,2,0,4,0.164,0,0,0.164
9,1,0,2,0,3,0.127,0,0,0.127
10,1,0,2,0,2,0.100,0,0,0.100
11,1,0,2,0,6,0.227,0,0,0.227
12,1,0,2,0,6,0.238,0,0,0.238
13,1,0,2,0,5,0.179,0,0,0.179
14,0,0,1,0,0,0.000,0,0,0.000
15,3,1,3,3,7,0.130,1,0,0.164
16,1,0,2,0,1,0.052,0,0,0.052
17,1,0,2,0,4,0.153,0,0,0.153
18,1,0,2,0,1,0.063,0,0,0.063
19,1,0,2,0,2,0.100,0,0,0.100
20,1,0,2,0,6,0.184,0,0,0.184
21,1,0,2,0,0,0.026,0,0,0.026
22,1,0,2,0,3,0.116,0,0,0.116
23,1,0,2,0,3,0.116,0,0,0.116
24,1,0,2,0,7,0.221,0,0,0.221
25,3,1,3,3,68,0.740,1,0,0.990
26,1,0,2,0,1,0.063,0,0,0.063
27,1,0,2,0,0,0.026,0,0,0.026
28,1,0,2,0,0,0.026,0,0,0.026
29,1,0,2,0,2,0.090,0,0,0.090
30,1,0,2,0,15,0.485,0,0,0.485
31,1,0,2,0,6,0.227,0,0,0.227
32,0,0,1,0,0,0.000,0,0,0.000
33,1,0,2,0,0,0.026,0,0,0.026
34,1,0,2,0,0,0.037,0,0,0.037
35,1,0,2,0,0,0.026,0,0,0.026
36,3,1,3,3,9,0.133,1,0,0.179
37,1,0,2,0,0,0.026,0,0,0.026
38,5,2,4,6,56,0.423,2,0,1.343
39,1,0,2,0,0,0.026,0,0,0.026
40,1,0,2,0,2,0.090,0,0,0.090
41,1,0,2,0,2,0.090,0,0,0.090
42,3,1,3,5,18,0.251,1,0,0.380
43,1,0,2,0,2,0.079,0,0,0.079
44,53,25,28,84,874,0.552,22,3,1.634
45,3,1,3,4,7,0.130,1,0,0.164
46,1,0,2,0,7,0.253,0,0,0.253
