 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,17,0.559,0,0,0.559
2,103,49,54,158,2064,0.673,44,5,2.349
3,11,5,7,15,146,0.464,5,0,0.904
4,1,0,2,0,6,0.205,0,0,0.205
5,1,0,2,0,8,0.301,0,0,0.301
6,17,8,10,24,252,0.505,8,0,1.240
7,1,0,2,0,0,0.026,0,0,0.026
8,1,0,2,0,33,1.066,0,0,1.066
9,3,1,3,3,31,0.362,1,0,0.579
10,1,0,2,0,1,0.052,0,0,0.052
11,1,0,2,0,7,0.253,0,0,0.253
12,1,0,2,0,10,0.343,0,0,0.343
13,1,0,2,0,2,0.090,0,0,0.090
14,1,0,2,0,2,0.100,0,0,0.100
15,1,0,2,0,0,0.037,0,0,0.037
16,11,5,7,17,100,0.317,5,0,0.905
17,1,0,2,0,0,0.026,0,0,0.026
18,1,0,2,0,0,0.026,0,0,0.026
19,1,0,2,0,4,0.153,0,0,0.153
20,21,10,12,35,424,0.696,10,0,1.764
21,1,0,2,0,1,0.052,0,0,0.052
22,3,1,3,4,13,0.188,1,0,0.284
23,1,0,2,0,2,0.100,0,0,0.100
24,13,6,8,15,257,0.645,6,0,1.336
25,8,3,6,13,121,0.527,2,1,1.607
26,1,0,2,0,1,0.052,0,0,0.052
27,8,3,6,7,136,0.576,2,1,0.950
28,1,0,2,0,0,0.037,0,0,0.037
29,1,0,2,0,2,0.090,0,0,0.090
30,1,0,2,0,0,0.026,0,0,0.026
31,1,0,2,0,0,0.026,0,0,0.026
32,1,0,2,0,0,0.026,0,0,0.026
33,1,0,2,0,0,0.037,0,0,0.037
34,1,0,2,0,4,0.164,0,0,0.164
35,5,2,4,7,50,0.357,2,0,0.736
36,1,0,2,0,3,0.127,0,0,0.127
37,1,0,2,0,8,0.312,0,0,0.312
38,25,12,14,39,436,0.606,12,0,2.628
39,1,0,2,0,3,0.116,0,0,0.116
40,1,0,2,0,1,0.063,0,0,0.063
41,1,0,2,0,4,0.142,0,0,0.142
42,3,1,3,4,10,0.169,1,0,0.354
43,1,0,2,0,1,0.052,0,0,0.052
44,1,0,2,0,1,0.063,0,0,0.063
45,1,0,2,0,1,0.063,0,0,0.063
46,1,0,2,0,8,0.269,0,0,0.269
47,1,0,2,0,43,1.371,0,0,1.371
48,1,0,2,0,2,0.100,0,0,0.100
49,3,1,3,3,4,0.100,1,0,0.138
50,16,7,10,26,256,0.560,6,1,1.906
51,15,7,9,18,317,0.706,7,0,2.671
52,4,1,4,5,45,0.426,0,1,0.533
53,1,0,2,0,0,0.026,0,0,0.026
54,9,4,6,13,137,0.516,4,0,1.581
55,4,1,4,7,27,0.277,0,1,0.486
56,3,1,3,1,14,0.178,1,0,0.179
57,7,3,5,10,87,0.453,3,0,0.791
58,1,0,2,0,1,0.074,0,0,0.074
59,5,2,4,6,98,0.678,2,0,1.529
60,8,3,6,11,148,0.657,2,1,1.290
61,1,0,2,0,0,0.026,0,0,0.026
62,8,3,6,14,142,0.628,2,1,2.007
63,1,0,2,0,0,0.026,0,0,0.026
64,9,4,6,11,151,0.543,4,0,1.462
65,1,0,2,0,1,0.063,0,0,0.063
66,1,0,2,0,7,0.253,0,0,0.253
67,1,0,2,0,3,0.116,0,0,0.116
68,25,12,14,40,445,0.595,12,0,1.914
69,17,7,11,25,400,0.796,5,2,2.926
70,1,0,2,0,4,0.164,0,0,0.164
71,102,50,53,140,2048,0.676,49,1,1.982
72,1,0,2,0,7,0.253,0,0,0.253
73,1,0,2,0,2,0.090,0,0,0.090
74,1,0,2,0,0,0.037,0,0,0.037
75,23,11,13,34,386,0.552,11,0,1.521
76,3,1,3,4,12,0.174,1,0,0.406
77,7,3,5,10,75,0.390,3,0,0.854
78,1,0,2,0,1,0.063,0,0,0.063
79,3,1,3,3,13,0.194,1,0,0.249
80,5,2,4,5,145,0.933,2,0,2.418
81,1,0,2,0,1,0.052,0,0,0.052
82,7,3,5,7,126,0.574,3,0,1.175
83,1,0,2,0,0,0.037,0,0,0.037
84,1,0,2,0,0,0.026,0,0,0.026
85,1,0,2,0,1,0.052,0,0,0.052
86,1,0,2,0,0,0.026,0,0,0.026
87,3,1,3,4,7,0.125,1,0,0.153
88,0,0,1,0,0,0.000,0,0,0.000
89,0,0,1,0,0,0.000,0,0,0.000
90,1,0,2,0,0,0.026,0,0,0.026
91,3,1,3,4,108,1.249,1,0,1.982
92,1,0,2,0,1,0.063,0,0,0.063
93,9,4,6,14,142,0.534,4,0,0.911
94,32,15,18,44,610,0.629,14,1,3.349
95,1,0,2,0,0,0.026,0,0,0.026
96,1,0,2,0,16,0.500,0,0,0.500
97,1,0,2,0,3,0.127,0,0,0.127
98,1,0,2,0,2,0.111,0,0,0.111
99,1,0,2,0,0,0.026,0,0,0.026
100,1,0,2,0,1,0.063,0,0,0.063
101,1,0,2,0,1,0.052,0,0,0.052
102,1,0,2,0,2,0.090,0,0,0.090
103,1,0,2,0,18,0.564,0,0,0.564
104,8,3,6,14,82,0.376,2,1,0.885
105,7,3,5,9,110,0.503,3,0,1.241
106,1,0,2,0,10,0.375,0,0,0.375
107,6,2,5,7,55,0.328,1,1,0.594
108,1,0,2,0,0,0.037,0,0,0.037
109,5,2,4,5,51,0.365,2,0,0.681
110,1,0,2,0,5,0.179,0,0,0.179
111,1,0,2,0,0,0.026,0,0,0.026
112,23,11,13,33,471,0.689,11,0,1.251
113,1,0,2,0,1,0.063,0,0,0.063
114,1,0,2,0,0,0.026,0,0,0.026
115,1,0,2,0,6,0.194,0,0,0.194
116,3,1,3,4,30,0.369,1,0,0.607
117,6,2,5,8,81,0.467,1,1,0.638
118,1,0,2,0,5,0.157,0,0,0.157
119,1,0,2,0,0,0.037,0,0,0.037
120,1,0,2,0,0,0.026,0,0,0.026
121,1,0,2,0,0,0.026,0,0,0.026
122,7,3,5,10,81,0.407,3,0,0.786
123,8,3,6,11,82,0.392,2,1,0.661
124,1,0,2,0,0,0.026,0,0,0.026
125,1,0,2,0,7,0.253,0,0,0.253
126,1,0,2,0,1,0.063,0,0,0.063
127,1,0,2,0,3,0.127,0,0,0.127
128,1,0,2,0,1,0.074,0,0,0.074
129,1,0,2,0,7,0.221,0,0,0.221
130,1,0,2,0,1,0.052,0,0,0.052
131,1,0,2,0,1,0.052,0,0,0.052
132,1,0,2,0,0,0.026,0,0,0.026
133,1,0,2,0,2,0.090,0,0,0.090
134,1,0,2,0,3,0.116,0,0,0.116
135,1,0,2,0,0,0.026,0,0,0.026
136,1,0,2,0,1,0.052,0,0,0.052
137,0,0,1,0,0,0.000,0,0,0.000
138,1,0,2,0,1,0.063,0,0,0.063
