 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,1,0.063,0,0,0.063
2,1,0,2,0,0,0.037,0,0,0.037
3,1,0,2,0,2,0.079,0,0,0.079
4,0,0,1,0,0,0.000,0,0,0.000
5,20,9,12,31,396,0.698,8,1,2.042
6,1,0,2,0,10,0.321,0,0,0.321
7,1,0,2,0,4,0.164,0,0,0.164
8,1,0,2,0,0,0.026,0,0,0.026
9,1,0,2,0,0,0.037,0,0,0.037
10,3,1,3,1,2,0.067,1,0,0.100
11,1,0,2,0,1,0.063,0,0,0.063
12,1,0,2,0,0,0.026,0,0,0.026
13,4,1,4,5,7,0.134,0,1,0.205
14,5,2,4,6,13,0.132,2,0,0.190
15,1,0,2,0,0,0.026,0,0,0.026
16,1,0,2,0,2,0.079,0,0,0.079
17,1,0,2,0,1,0.063,0,0,0.063
18,1,0,2,0,1,0.063,0,0,0.063
19,1,0,2,0,3,0.127,0,0,0.127
20,1,0,2,0,3,0.116,0,0,0.116
21,1,0,2,0,9,0.317,0,0,0.317
22,1,0,2,0,0,0.026,0,0,0.026
23,5,2,4,6,62,0.437,2,0,0.679
24,1,0,2,0,5,0.179,0,0,0.179
25,30,13,17,52,556,0.620,10,2,2.141
26,1,0,2,0,2,0.100,0,0,0.100
27,1,0,2,0,0,0.037,0,0,0.037
28,3,1,3,4,8,0.137,1,0,0.168
29,1,0,2,0,10,0.354,0,0,0.354
30,3,1,3,4,13,0.191,1,0,0.205
31,3,1,2,2,8,0.118,0,1,0.301
32,7,3,5,9,33,0.181,3,0,0.347
33,1,0,2,0,0,0.026,0,0,0.026
34,1,0,2,0,1,0.052,0,0,0.052
35,1,0,2,0,5,0.190,0,0,0.190
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,1,0.063,0,0,0.063
38,3,1,3,1,6,0.093,1,0,0.116
39,1,0,2,0,2,0.079,0,0,0.079
40,1,0,2,0,1,0.063,0,0,0.063
41,1,0,2,0,1,0.052,0,0,0.052
42,1,0,2,0,3,0.148,0,0,0.148
43,3,1,3,4,68,0.752,1,0,1.677
44,12,5,8,22,50,0.194,4,1,0.332
45,1,0,2,0,5,0.190,0,0,0.190
46,0,0,1,0,0,0.000,0,0,0.000
47,1,0,2,0,3,0.116,0,0,0.116
48,1,0,2,0,0,0.026,0,0,0.026
49,1,0,2,0,14,0.448,0,0,0.448
50,22,10,13,32,92,0.177,9,1,0.553
51,1,0,2,0,1,0.063,0,0,0.063
52,3,1,3,4,10,0.158,1,0,0.280
53,1,0,2,0,1,0.052,0,0,0.052
54,1,0,2,0,0,0.037,0,0,0.037
55,3,1,3,1,11,0.151,1,0,0.190
56,1,0,2,0,5,0.179,0,0,0.179
57,0,0,1,0,0,0.000,0,0,0.000
58,3,1,3,3,8,0.128,1,0,0.153
59,3,1,3,4,1,0.076,1,0,0.090
60,0,0,1,0,0,0.000,0,0,0.000
61,6,2,5,9,18,0.164,1,1,0.290
62,1,0,2,0,2,0.090,0,0,0.090
63,11,5,7,17,44,0.167,5,0,0.380
64,1,0,2,0,0,0.026,0,0,0.026
65,1,0,2,0,1,0.074,0,0,0.074
66,1,0,2,0,0,0.026,0,0,0.026
67,3,1,2,2,3,0.060,0,1,0.127
68,0,0,1,0,0,0.000,0,0,0.000
69,1,0,2,0,1,0.063,0,0,0.063
70,1,0,2,0,0,0.026,0,0,0.026
71,1,0,2,0,4,0.142,0,0,0.142
72,1,0,2,0,2,0.100,0,0,0.100
73,5,2,4,7,83,0.565,2,0,0.991
74,0,0,1,0,0,0.000,0,0,0.000
75,1,0,2,0,4,0.153,0,0,0.153
76,1,0,2,0,3,0.127,0,0,0.127
77,1,0,2,0,7,0.242,0,0,0.242
78,0,0,1,0,0,0.000,0,0,0.000
79,1,0,2,0,3,0.127,0,0,0.127
80,1,0,2,0,0,0.026,0,0,0.026
81,4,1,4,4,37,0.345,0,1,0.696
82,1,0,2,0,3,0.127,0,0,0.127
83,1,0,2,0,0,0.037,0,0,0.037
84,1,0,2,0,10,0.321,0,0,0.321
85,3,1,3,4,4,0.106,1,0,0.127
86,3,1,3,3,16,0.216,1,0,0.327
87,1,0,2,0,3,0.116,0,0,0.116
88,3,1,2,2,5,0.074,0,1,0.131
89,16,7,10,24,558,1.110,6,1,1.761
90,0,0,1,0,0,0.000,0,0,0.000
91,1,0,2,0,1,0.052,0,0,0.052
92,1,0,2,0,0,0.026,0,0,0.026
93,3,1,3,3,8,0.139,1,0,0.190
94,1,0,2,0,8,0.280,0,0,0.280
95,1,0,2,0,15,0.496,0,0,0.496
96,44,21,24,69,840,0.648,20,1,2.276
97,1,0,2,0,0,0.026,0,0,0.026
98,1,0,2,0,6,0.216,0,0,0.216
99,1,0,2,0,0,0.026,0,0,0.026
100,0,0,1,0,0,0.000,0,0,0.000
101,1,0,2,0,0,0.026,0,0,0.026
102,1,0,2,0,0,0.026,0,0,0.026
103,1,0,2,0,0,0.037,0,0,0.037
104,1,0,2,0,4,0.164,0,0,0.164
105,1,0,2,0,0,0.037,0,0,0.037
106,3,1,3,1,2,0.063,1,0,0.079
107,1,0,2,0,1,0.063,0,0,0.063
108,1,0,2,0,0,0.037,0,0,0.037
109,1,0,2,0,14,0.469,0,0,0.469
110,1,0,2,0,1,0.063,0,0,0.063
111,7,3,5,10,40,0.229,3,0,0.432
112,6,2,5,7,32,0.225,1,1,0.791
113,11,5,6,17,35,0.143,4,1,0.476
114,1,0,2,0,0,0.026,0,0,0.026
115,1,0,2,0,11,0.358,0,0,0.358
116,4,1,4,4,10,0.135,0,1,0.201
117,1,0,2,0,0,0.026,0,0,0.026
118,11,4,8,21,53,0.216,3,0,0.400
119,0,0,1,0,0,0.000,0,0,0.000
120,1,0,2,0,0,0.037,0,0,0.037
121,1,0,2,0,6,0.184,0,0,0.184
122,22,10,13,35,81,0.171,9,1,0.380
123,5,2,4,4,23,0.168,2,0,0.299
124,1,0,2,0,1,0.052,0,0,0.052
125,1,0,2,0,0,0.037,0,0,0.037
126,1,0,2,0,0,0.037,0,0,0.037
127,3,1,3,3,7,0.123,1,0,0.153
128,1,0,2,0,2,0.090,0,0,0.090
129,1,0,2,0,0,0.037,0,0,0.037
130,1,0,2,0,6,0.216,0,0,0.216
131,1,0,2,0,3,0.138,0,0,0.138
132,1,0,2,0,0,0.037,0,0,0.037
133,1,0,2,0,7,0.253,0,0,0.253
134,1,0,2,0,33,1.055,0,0,1.055
135,1,0,2,0,1,0.052,0,0,0.052
136,1,0,2,0,2,0.100,0,0,0.100
137,1,0,2,0,1,0.063,0,0,0.063
138,1,0,2,0,2,0.090,0,0,0.090
139,1,0,2,0,0,0.026,0,0,0.026
140,1,0,2,0,0,0.026,0,0,0.026
141,1,0,2,0,1,0.063,0,0,0.063
142,4,1,3,6,10,0.139,0,0,0.269
143,1,0,2,0,0,0.026,0,0,0.026
144,17,8,10,25,410,0.835,8,0,1.897
145,1,0,2,0,7,0.275,0,0,0.275
146,1,0,2,0,5,0.190,0,0,0.190
147,1,0,2,0,1,0.063,0,0,0.063
148,1,0,2,0,10,0.321,0,0,0.321
149,0,0,1,0,0,0.000,0,0,0.000
150,1,0,2,0,1,0.052,0,0,0.052
151,3,1,2,2,3,0.067,0,1,0.111
152,1,0,2,0,0,0.026,0,0,0.026
153,5,2,4,4,7,0.074,2,0,0.127
154,1,0,2,0,0,0.026,0,0,0.026
155,1,0,2,0,0,0.037,0,0,0.037
156,1,0,2,0,0,0.026,0,0,0.026
157,1,0,2,0,2,0.090,0,0,0.090
158,1,0,2,0,0,0.026,0,0,0.026
159,9,4,6,12,42,0.199,4,0,0.391
160,1,0,2,0,5,0.212,0,0,0.212
161,1,0,2,0,1,0.052,0,0,0.052
162,1,0,2,0,4,0.153,0,0,0.153
163,1,0,2,0,0,0.026,0,0,0.026
164,44,21,24,66,832,0.642,20,1,1.719
165,1,0,2,0,0,0.026,0,0,0.026
166,1,0,2,0,0,0.026,0,0,0.026
167,3,1,3,3,10,0.156,1,0,0.354
168,1,0,2,0,0,0.037,0,0,0.037
169,1,0,2,0,2,0.111,0,0,0.111
170,3,1,3,3,6,0.114,1,0,0.190
171,1,0,2,0,22,0.745,0,0,0.745
172,10,4,7,12,177,0.606,3,1,1.533
173,20,9,11,31,462,0.767,7,2,2.014
174,1,0,2,0,0,0.026,0,0,0.026
175,1,0,2,0,2,0.090,0,0,0.090
176,1,0,2,0,0,0.037,0,0,0.037
177,1,0,2,0,0,0.037,0,0,0.037
178,1,0,2,0,2,0.090,0,0,0.090
179,1,0,2,0,6,0.216,0,0,0.216
180,1,0,2,0,13,0.389,0,0,0.389
181,1,0,2,0,1,0.052,0,0,0.052
182,1,0,2,0,2,0.090,0,0,0.090
183,1,0,2,0,0,0.037,0,0,0.037
184,1,0,2,0,10,0.321,0,0,0.321
185,3,1,3,3,26,0.322,1,0,0.380
186,0,0,1,0,0,0.000,0,0,0.000
187,1,0,2,0,1,0.063,0,0,0.063
188,1,0,2,0,1,0.074,0,0,0.074
189,1,0,2,0,1,0.063,0,0,0.063
190,1,0,2,0,5,0.157,0,0,0.157
191,1,0,2,0,1,0.063,0,0,0.063
192,3,1,3,4,3,0.093,1,0,0.153
193,1,0,2,0,0,0.026,0,0,0.026
194,1,0,2,0,1,0.063,0,0,0.063
195,1,0,2,0,0,0.026,0,0,0.026
196,1,0,2,0,3,0.138,0,0,0.138
197,1,0,2,0,3,0.127,0,0,0.127
198,1,0,2,0,0,0.026,0,0,0.026
199,0,0,1,0,0,0.000,0,0,0.000
200,1,0,2,0,4,0.131,0,0,0.131
201,1,0,2,0,5,0.179,0,0,0.179
202,3,1,3,3,5,0.098,1,0,0.179
203,0,0,1,0,0,0.000,0,0,0.000
204,1,0,2,0,3,0.138,0,0,0.138
205,1,0,2,0,0,0.026,0,0,0.026
206,1,0,2,0,0,0.026,0,0,0.026
207,1,0,2,0,1,0.063,0,0,0.063
208,1,0,2,0,2,0.090,0,0,0.090
209,5,2,4,7,29,0.245,2,0,0.788
210,1,0,2,0,14,0.469,0,0,0.469
211,1,0,2,0,1,0.063,0,0,0.063
212,1,0,2,0,0,0.037,0,0,0.037
213,1,0,2,0,2,0.100,0,0,0.100
214,3,1,2,2,5,0.077,0,1,0.142
215,1,0,2,0,2,0.100,0,0,0.100
216,1,0,2,0,1,0.074,0,0,0.074
217,1,0,2,0,0,0.026,0,0,0.026
218,1,0,2,0,3,0.138,0,0,0.138
219,3,1,3,3,1,0.060,1,0,0.063
220,1,0,2,0,0,0.037,0,0,0.037
221,1,0,2,0,2,0.090,0,0,0.090
222,1,0,2,0,1,0.052,0,0,0.052
223,1,0,2,0,2,0.100,0,0,0.100
224,5,2,4,5,15,0.129,2,0,0.301
225,1,0,2,0,1,0.074,0,0,0.074
226,0,0,1,0,0,0.000,0,0,0.000
227,1,0,2,0,0,0.037,0,0,0.037
228,1,0,2,0,6,0.216,0,0,0.216
229,0,0,1,0,0,0.000,0,0,0.000
230,3,1,3,1,14,0.185,1,0,0.380
231,1,0,2,0,2,0.090,0,0,0.090
232,16,6,11,27,268,0.609,3,3,1.380
233,1,0,2,0,1,0.074,0,0,0.074
234,4,1,4,6,1,0.079,0,1,0.109
235,1,0,2,0,0,0.037,0,0,0.037
236,1,0,2,0,2,0.100,0,0,0.100
237,1,0,2,0,11,0.347,0,0,0.347
238,1,0,2,0,0,0.026,0,0,0.026
239,1,0,2,0,0,0.026,0,0,0.026
240,1,0,2,0,1,0.063,0,0,0.063
241,1,0,2,0,0,0.026,0,0,0.026
242,5,2,4,7,38,0.287,2,0,0.548
243,1,0,2,0,1,0.063,0,0,0.063
244,1,0,2,0,1,0.063,0,0,0.063
245,1,0,2,0,5,0.179,0,0,0.179
246,3,1,3,3,29,0.333,1,0,0.511
247,1,0,2,0,2,0.100,0,0,0.100
248,3,1,3,3,7,0.127,1,0,0.216
249,4,1,4,5,20,0.213,0,1,0.295
250,4,1,4,8,6,0.129,0,1,0.159
251,1,0,2,0,7,0.264,0,0,0.264
252,3,1,3,3,17,0.210,1,0,0.221
253,1,0,2,0,15,0.496,0,0,0.496
254,12,5,8,23,394,1.070,4,1,2.875
255,1,0,2,0,0,0.026,0,0,0.026
256,1,0,2,0,0,0.026,0,0,0.026
257,1,0,2,0,9,0.327,0,0,0.327
258,1,0,2,0,0,0.037,0,0,0.037
259,1,0,2,0,0,0.037,0,0,0.037
260,1,0,2,0,0,0.037,0,0,0.037
261,1,0,2,0,2,0.100,0,0,0.100
262,1,0,2,0,0,0.026,0,0,0.026
263,3,1,3,4,14,0.189,1,0,0.273
264,1,0,2,0,5,0.168,0,0,0.168
265,1,0,2,0,3,0.116,0,0,0.116
266,1,0,2,0,7,0.253,0,0,0.253
267,4,2,3,8,17,0.193,1,0,0.290
268,16,7,10,18,46,0.124,6,1,0.242
269,5,2,4,8,100,0.680,2,0,1.673
270,1,0,2,0,0,0.037,0,0,0.037
271,0,0,1,0,0,0.000,0,0,0.000
272,1,0,2,0,0,0.037,0,0,0.037
