 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.026,0,0,0.026
2,1,0,2,0,13,0.454,0,0,0.454
3,1,0,2,0,0,0.037,0,0,0.037
4,1,0,2,0,2,0.100,0,0,0.100
5,1,0,2,0,2,0.090,0,0,0.090
6,1,0,2,0,13,0.465,0,0,0.465
7,1,0,2,0,0,0.026,0,0,0.026
8,1,0,2,0,0,0.037,0,0,0.037
9,1,0,2,0,1,0.063,0,0,0.063
10,5,2,4,7,43,0.304,2,0,0.443
11,3,1,3,1,21,0.250,1,0,0.507
12,9,4,6,9,115,0.420,4,0,1.210
13,5,2,4,7,61,0.443,2,0,0.749
14,1,0,2,0,6,0.205,0,0,0.205
15,3,1,3,4,57,0.641,1,0,1.391
16,1,0,2,0,1,0.063,0,0,0.063
17,1,0,2,0,4,0.164,0,0,0.164
18,1,0,2,0,5,0.190,0,0,0.190
19,0,0,1,0,0,0.000,0,0,0.000
20,1,0,2,0,7,0.221,0,0,0.221
21,1,0,2,0,41,1.275,0,0,1.275
22,1,0,2,0,21,0.718,0,0,0.718
23,1,0,2,0,1,0.063,0,0,0.063
24,3,1,3,4,65,0.711,1,0,1.269
25,1,0,2,0,8,0.290,0,0,0.290
26,1,0,2,0,17,0.548,0,0,0.548
27,3,1,3,4,36,0.409,1,0,0.642
28,1,0,2,0,32,0.996,0,0,0.996
29,1,0,2,0,2,0.100,0,0,0.100
30,1,0,2,0,4,0.164,0,0,0.164
31,1,0,2,0,0,0.026,0,0,0.026
32,1,0,2,0,11,0.369,0,0,0.369
33,1,0,2,0,3,0.127,0,0,0.127
34,1,0,2,0,1,0.074,0,0,0.074
35,1,0,2,0,3,0.116,0,0,0.116
36,1,0,2,0,2,0.090,0,0,0.090
37,1,0,2,0,9,0.284,0,0,0.284
38,1,0,2,0,11,0.347,0,0,0.347
39,1,0,2,0,7,0.253,0,0,0.253
40,3,1,3,3,12,0.170,1,0,0.221
41,1,0,2,0,3,0.148,0,0,0.148
42,1,0,2,0,18,0.585,0,0,0.585
43,1,0,2,0,23,0.760,0,0,0.760
44,7,3,5,10,66,0.336,3,0,0.568
45,1,0,2,0,0,0.026,0,0,0.026
46,1,0,2,0,3,0.127,0,0,0.127
47,1,0,2,0,5,0.179,0,0,0.179
48,1,0,2,0,7,0.242,0,0,0.242
49,1,0,2,0,0,0.037,0,0,0.037
50,1,0,2,0,1,0.052,0,0,0.052
51,1,0,2,0,2,0.100,0,0,0.100
52,1,0,2,0,0,0.037,0,0,0.037
53,1,0,2,0,19,0.590,0,0,0.590
54,1,0,2,0,11,0.336,0,0,0.336
55,1,0,2,0,7,0.242,0,0,0.242
56,1,0,2,0,0,0.037,0,0,0.037
57,1,0,2,0,1,0.052,0,0,0.052
58,1,0,2,0,2,0.079,0,0,0.079
59,1,0,2,0,25,0.769,0,0,0.769
60,1,0,2,0,3,0.127,0,0,0.127
61,1,0,2,0,1,0.063,0,0,0.063
62,1,0,2,0,13,0.443,0,0,0.443
63,0,0,1,0,0,0.000,0,0,0.000
64,3,1,3,3,4,0.086,1,0,0.116
65,1,0,2,0,6,0.194,0,0,0.194
66,1,0,2,0,12,0.395,0,0,0.395
67,1,0,2,0,0,0.026,0,0,0.026
68,1,0,2,0,12,0.395,0,0,0.395
69,3,1,3,1,20,0.241,1,0,0.402
70,1,0,2,0,13,0.400,0,0,0.400
71,1,0,2,0,2,0.090,0,0,0.090
72,3,1,3,3,98,1.082,1,0,1.404
73,1,0,2,0,0,0.026,0,0,0.026
74,1,0,2,0,5,0.179,0,0,0.179
75,3,1,3,4,25,0.347,1,0,0.535
76,9,4,6,12,86,0.325,4,0,0.738
77,1,0,2,0,3,0.116,0,0,0.116
78,1,0,2,0,4,0.153,0,0,0.153
79,1,0,2,0,7,0.253,0,0,0.253
80,1,0,2,0,1,0.052,0,0,0.052
81,4,1,4,7,23,0.245,0,1,0.336
82,1,0,2,0,0,0.026,0,0,0.026
83,1,0,2,0,1,0.063,0,0,0.063
84,1,0,2,0,2,0.100,0,0,0.100
85,1,0,2,0,7,0.286,0,0,0.286
86,1,0,2,0,1,0.063,0,0,0.063
87,3,1,3,3,8,0.139,1,0,0.201
88,5,2,4,4,25,0.190,2,0,0.290
89,1,0,2,0,15,0.474,0,0,0.474
90,1,0,2,0,10,0.332,0,0,0.332
91,1,0,2,0,1,0.074,0,0,0.074
92,3,1,3,1,9,0.123,1,0,0.153
93,1,0,2,0,3,0.116,0,0,0.116
94,1,0,2,0,1,0.063,0,0,0.063
95,3,1,3,3,11,0.158,1,0,0.321
96,1,0,2,0,12,0.395,0,0,0.395
97,1,0,2,0,10,0.354,0,0,0.354
98,9,4,6,15,71,0.286,4,0,0.526
99,1,0,2,0,5,0.179,0,0,0.179
100,1,0,2,0,4,0.153,0,0,0.153
101,1,0,2,0,8,0.312,0,0,0.312
102,1,0,2,0,0,0.026,0,0,0.026
103,6,2,5,8,77,0.444,1,1,0.692
104,1,0,2,0,4,0.142,0,0,0.142
105,1,0,2,0,0,0.026,0,0,0.026
106,1,0,2,0,1,0.074,0,0,0.074
107,1,0,2,0,26,0.882,0,0,0.882
