 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,3,0.127,0,0,0.127
2,1,0,2,0,3,0.127,0,0,0.127
3,5,2,4,7,46,0.316,2,0,0.568
4,1,0,2,0,3,0.138,0,0,0.138
5,1,0,2,0,12,0.406,0,0,0.406
6,1,0,2,0,0,0.037,0,0,0.037
7,1,0,2,0,12,0.374,0,0,0.374
8,3,1,3,3,23,0.292,1,0,0.459
9,1,0,2,0,12,0.395,0,0,0.395
10,1,0,2,0,0,0.026,0,0,0.026
11,1,0,2,0,5,0.212,0,0,0.212
12,1,0,2,0,2,0.100,0,0,0.100
13,1,0,2,0,1,0.063,0,0,0.063
14,6,2,5,10,104,0.593,1,1,1.254
15,1,0,2,0,18,0.585,0,0,0.585
16,1,0,2,0,1,0.063,0,0,0.063
17,3,1,3,3,4,0.090,1,0,0.153
18,1,0,2,0,0,0.037,0,0,0.037
19,3,1,3,4,27,0.332,1,0,0.496
20,140,69,69,205,2176,0.530,65,4,1.891
21,1,0,2,0,1,0.063,0,0,0.063
22,1,0,2,0,19,0.633,0,0,0.633
23,1,0,2,0,6,0.205,0,0,0.205
24,3,1,3,1,23,0.267,1,0,0.343
25,1,0,2,0,7,0.264,0,0,0.264
26,1,0,2,0,0,0.037,0,0,0.037
27,1,0,2,0,0,0.026,0,0,0.026
28,1,0,2,0,5,0.201,0,0,0.201
29,1,0,2,0,6,0.216,0,0,0.216
30,1,0,2,0,6,0.227,0,0,0.227
31,1,0,2,0,22,0.679,0,0,0.679
32,1,0,2,0,17,0.548,0,0,0.548
33,1,0,2,0,9,0.306,0,0,0.306
34,1,0,2,0,0,0.026,0,0,0.026
35,3,1,3,3,54,0.599,1,0,1.077
36,7,3,5,8,103,0.512,3,0,0.869
37,3,1,2,2,7,0.109,0,1,0.201
38,1,0,2,0,4,0.164,0,0,0.164
39,1,0,2,0,6,0.238,0,0,0.238
40,3,1,3,4,15,0.209,1,0,0.437
41,12,5,8,14,194,0.554,4,1,0.956
42,3,1,3,3,15,0.215,1,0,0.454
43,3,1,3,3,13,0.194,1,0,0.227
44,1,0,2,0,9,0.327,0,0,0.327
45,1,0,2,0,7,0.264,0,0,0.264
46,1,0,2,0,4,0.142,0,0,0.142
47,3,1,3,3,3,0.088,1,0,0.100
48,5,2,4,6,25,0.204,2,0,0.417
49,1,0,2,0,0,0.037,0,0,0.037
50,1,0,2,0,0,0.026,0,0,0.026
51,1,0,2,0,6,0.238,0,0,0.238
52,1,0,2,0,0,0.026,0,0,0.026
53,1,0,2,0,7,0.264,0,0,0.264
54,9,4,6,11,113,0.427,4,0,1.431
55,1,0,2,0,7,0.253,0,0,0.253
56,1,0,2,0,6,0.227,0,0,0.227
57,1,0,2,0,0,0.026,0,0,0.026
58,1,0,2,0,4,0.153,0,0,0.153
59,1,0,2,0,3,0.138,0,0,0.138
60,9,4,6,13,97,0.392,4,0,0.749
61,1,0,2,0,0,0.026,0,0,0.026
62,3,1,3,4,47,0.510,1,0,0.809
63,3,1,3,3,23,0.285,1,0,0.601
64,1,0,2,0,1,0.063,0,0,0.063
65,1,0,2,0,0,0.026,0,0,0.026
66,1,0,2,0,6,0.216,0,0,0.216
67,7,3,5,11,138,0.664,3,0,1.487
68,1,0,2,0,5,0.201,0,0,0.201
69,0,0,1,0,0,0.000,0,0,0.000
70,1,0,2,0,5,0.179,0,0,0.179
71,1,0,2,0,11,0.336,0,0,0.336
72,1,0,2,0,63,2.015,0,0,2.015
73,1,0,2,0,1,0.063,0,0,0.063
74,1,0,2,0,1,0.052,0,0,0.052
75,7,3,5,10,59,0.298,3,0,1.048
76,1,0,2,0,7,0.242,0,0,0.242
77,1,0,2,0,2,0.090,0,0,0.090
78,1,0,2,0,0,0.037,0,0,0.037
79,1,0,2,0,1,0.063,0,0,0.063
80,5,2,4,7,56,0.400,2,0,0.627
81,3,1,3,3,7,0.116,1,0,0.153
82,1,0,2,0,0,0.037,0,0,0.037
83,1,0,2,0,5,0.212,0,0,0.212
84,1,0,2,0,3,0.127,0,0,0.127
85,15,7,9,23,173,0.422,7,0,1.129
86,1,0,2,0,2,0.100,0,0,0.100
87,1,0,2,0,4,0.153,0,0,0.153
88,1,0,2,0,0,0.026,0,0,0.026
89,37,17,21,54,514,0.485,15,2,1.278
90,1,0,2,0,12,0.406,0,0,0.406
91,1,0,2,0,38,1.175,0,0,1.175
92,1,0,2,0,12,0.352,0,0,0.352
93,7,3,5,11,71,0.357,3,0,0.695
94,1,0,2,0,5,0.179,0,0,0.179
95,3,1,3,4,38,0.459,1,0,0.638
96,0,0,1,0,0,0.000,0,0,0.000
97,1,0,2,0,10,0.354,0,0,0.354
98,27,13,15,43,377,0.485,13,0,1.020
99,1,0,2,0,6,0.249,0,0,0.249
100,1,0,2,0,1,0.063,0,0,0.063
101,6,2,5,11,110,0.646,1,1,1.157
102,1,0,2,0,23,0.716,0,0,0.716
103,1,0,2,0,23,0.749,0,0,0.749
104,1,0,2,0,12,0.363,0,0,0.363
105,1,0,2,0,10,0.343,0,0,0.343
106,1,0,2,0,48,1.492,0,0,1.492
107,1,0,2,0,13,0.443,0,0,0.443
108,6,2,5,9,136,0.752,1,1,1.721
109,1,0,2,0,7,0.232,0,0,0.232
