 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,2,0.090,0,0,0.090
2,3,1,3,4,43,0.501,1,0,0.922
3,5,2,4,4,25,0.194,2,0,0.332
4,1,0,2,0,44,1.256,0,0,1.256
5,3,1,3,4,72,0.812,1,0,1.144
6,1,0,2,0,3,0.116,0,0,0.116
7,3,1,3,3,32,0.374,1,0,0.496
8,1,0,2,0,3,0.138,0,0,0.138
9,3,1,3,4,15,0.202,1,0,0.363
10,1,0,2,0,6,0.216,0,0,0.216
11,5,2,4,7,87,0.575,2,0,1.654
12,1,0,2,0,31,1.013,0,0,1.013
13,3,1,3,3,36,0.406,1,0,0.469
14,1,0,2,0,6,0.216,0,0,0.216
15,1,0,2,0,18,0.596,0,0,0.596
16,1,0,2,0,22,0.679,0,0,0.679
17,1,0,2,0,2,0.090,0,0,0.090
18,1,0,2,0,7,0.264,0,0,0.264
19,1,0,2,0,3,0.116,0,0,0.116
20,5,2,4,6,61,0.425,2,0,0.729
21,1,0,2,0,3,0.116,0,0,0.116
22,1,0,2,0,1,0.052,0,0,0.052
23,1,0,2,0,16,0.565,0,0,0.565
24,3,1,3,4,5,0.106,1,0,0.127
25,3,1,3,1,42,0.455,1,0,0.911
26,1,0,2,0,8,0.301,0,0,0.301
27,1,0,2,0,1,0.052,0,0,0.052
28,1,0,2,0,5,0.179,0,0,0.179
29,1,0,2,0,4,0.164,0,0,0.164
30,1,0,2,0,15,0.539,0,0,0.539
31,3,1,2,2,3,0.063,0,1,0.100
32,1,0,2,0,8,0.280,0,0,0.280
33,1,0,2,0,59,1.791,0,0,1.791
34,3,1,3,4,13,0.195,1,0,0.280
35,1,0,2,0,29,0.896,0,0,0.896
36,3,1,3,3,59,0.654,1,0,0.887
37,5,2,4,8,42,0.291,2,0,0.631
38,5,2,4,7,43,0.301,2,0,0.821
39,1,0,2,0,10,0.354,0,0,0.354
40,1,0,2,0,4,0.164,0,0,0.164
41,3,1,3,1,35,0.401,1,0,0.701
42,3,1,3,4,9,0.153,1,0,0.216
43,3,1,3,3,29,0.355,1,0,0.480
44,1,0,2,0,3,0.116,0,0,0.116
45,11,5,7,16,99,0.329,5,0,0.603
46,1,0,2,0,19,0.633,0,0,0.633
47,3,1,3,3,33,0.412,1,0,0.454
48,1,0,2,0,1,0.063,0,0,0.063
49,1,0,2,0,6,0.194,0,0,0.194
50,1,0,2,0,14,0.415,0,0,0.415
51,1,0,2,0,1,0.074,0,0,0.074
52,1,0,2,0,2,0.100,0,0,0.100
53,1,0,2,0,7,0.275,0,0,0.275
54,1,0,2,0,0,0.026,0,0,0.026
55,1,0,2,0,4,0.142,0,0,0.142
56,3,1,3,4,32,0.385,1,0,0.629
57,1,0,2,0,6,0.216,0,0,0.216
58,1,0,2,0,1,0.052,0,0,0.052
59,3,1,3,4,11,0.170,1,0,0.232
60,1,0,2,0,4,0.164,0,0,0.164
61,1,0,2,0,5,0.190,0,0,0.190
62,1,0,2,0,60,1.850,0,0,1.850
63,7,3,5,11,104,0.503,3,0,0.695
64,3,1,3,4,6,0.122,1,0,0.201
65,3,1,2,2,12,0.149,0,1,0.321
66,1,0,2,0,10,0.375,0,0,0.375
67,3,1,3,1,40,0.445,1,0,0.653
68,1,0,2,0,29,0.950,0,0,0.950
69,1,0,2,0,2,0.100,0,0,0.100
70,1,0,2,0,21,0.675,0,0,0.675
71,3,1,3,4,39,0.433,1,0,0.725
72,1,0,2,0,5,0.201,0,0,0.201
73,1,0,2,0,5,0.201,0,0,0.201
74,1,0,2,0,24,0.830,0,0,0.830
75,1,0,2,0,1,0.074,0,0,0.074
76,1,0,2,0,8,0.269,0,0,0.269
77,5,2,4,6,56,0.394,2,0,0.647
78,1,0,2,0,0,0.026,0,0,0.026
79,1,0,2,0,0,0.037,0,0,0.037
80,1,0,2,0,1,0.052,0,0,0.052
81,3,1,3,4,79,0.834,1,0,1.918
82,7,3,5,10,98,0.507,3,0,0.821
83,1,0,2,0,11,0.369,0,0,0.369
84,1,0,2,0,0,0.037,0,0,0.037
85,1,0,2,0,5,0.179,0,0,0.179
86,1,0,2,0,6,0.194,0,0,0.194
87,1,0,2,0,26,0.806,0,0,0.806
88,1,0,2,0,3,0.127,0,0,0.127
89,1,0,2,0,62,1.870,0,0,1.870
90,1,0,2,0,2,0.100,0,0,0.100
91,1,0,2,0,9,0.338,0,0,0.338
92,1,0,2,0,0,0.026,0,0,0.026
93,3,1,3,4,51,0.589,1,0,1.177
94,1,0,2,0,4,0.175,0,0,0.175
95,3,1,3,1,34,0.374,1,0,0.642
96,1,0,2,0,0,0.026,0,0,0.026
97,1,0,2,0,16,0.500,0,0,0.500
98,1,0,2,0,3,0.127,0,0,0.127
99,1,0,2,0,0,0.037,0,0,0.037
100,1,0,2,0,12,0.406,0,0,0.406
101,3,1,3,4,11,0.167,1,0,0.310
102,1,0,2,0,23,0.749,0,0,0.749
103,1,0,2,0,4,0.153,0,0,0.153
104,1,0,2,0,5,0.179,0,0,0.179
105,1,0,2,0,5,0.168,0,0,0.168
106,5,2,4,8,52,0.361,2,0,0.727
107,1,0,2,0,4,0.175,0,0,0.175
108,3,1,3,5,32,0.392,1,0,0.679
109,7,3,5,6,105,0.481,3,0,0.906
110,1,0,2,0,2,0.090,0,0,0.090
111,1,0,2,0,0,0.037,0,0,0.037
112,3,1,3,3,61,0.660,1,0,0.841
113,1,0,2,0,15,0.561,0,0,0.561
114,3,1,3,4,24,0.284,1,0,0.310
115,3,1,3,3,19,0.261,1,0,0.629
116,7,3,5,7,106,0.530,3,0,1.214
117,3,1,3,4,40,0.446,1,0,0.773
118,1,0,2,0,6,0.216,0,0,0.216
119,1,0,2,0,30,0.933,0,0,0.933
120,1,0,2,0,3,0.116,0,0,0.116
121,1,0,2,0,1,0.063,0,0,0.063
122,1,0,2,0,1,0.063,0,0,0.063
123,1,0,2,0,4,0.153,0,0,0.153
124,3,1,3,3,21,0.267,1,0,0.358
125,3,1,3,4,48,0.523,1,0,0.706
126,5,2,4,4,36,0.252,2,0,0.395
127,1,0,2,0,5,0.179,0,0,0.179
128,1,0,2,0,16,0.565,0,0,0.565
129,1,0,2,0,11,0.369,0,0,0.369
130,1,0,2,0,0,0.037,0,0,0.037
131,1,0,2,0,24,0.764,0,0,0.764
132,1,0,2,0,12,0.406,0,0,0.406
133,1,0,2,0,1,0.074,0,0,0.074
134,1,0,2,0,20,0.649,0,0,0.649
135,1,0,2,0,1,0.052,0,0,0.052
136,10,4,7,17,89,0.339,3,1,0.876
137,5,2,4,8,37,0.272,2,0,0.579
138,1,0,2,0,0,0.026,0,0,0.026
139,1,0,2,0,3,0.148,0,0,0.148
140,3,1,3,4,31,0.374,1,0,0.701
141,4,1,4,8,56,0.520,0,1,1.016
142,3,1,3,4,23,0.308,1,0,0.655
143,1,0,2,0,5,0.179,0,0,0.179
144,5,2,4,8,53,0.375,2,0,0.710
145,5,2,4,6,64,0.428,2,0,0.915
