 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,13,0.400,0,0,0.400
2,1,0,2,0,11,0.402,0,0,0.402
3,1,0,2,0,10,0.321,0,0,0.321
4,1,0,2,0,3,0.127,0,0,0.127
5,1,0,2,0,0,0.026,0,0,0.026
6,11,5,7,12,156,0.509,5,0,0.956
7,1,0,2,0,13,0.389,0,0,0.389
8,1,0,2,0,2,0.100,0,0,0.100
9,1,0,2,0,8,0.247,0,0,0.247
10,139,66,74,218,2591,0.635,60,6,2.087
11,1,0,2,0,6,0.216,0,0,0.216
12,0,0,1,0,0,0.000,0,0,0.000
13,1,0,2,0,6,0.216,0,0,0.216
14,3,1,3,3,91,1.010,1,0,1.282
15,1,0,2,0,23,0.782,0,0,0.782
16,19,9,11,27,388,0.686,9,0,1.615
17,1,0,2,0,0,0.037,0,0,0.037
18,60,29,32,95,1166,0.658,28,1,2.137
19,3,1,3,1,52,0.553,1,0,0.974
20,5,2,4,8,69,0.518,2,0,0.873
21,5,2,4,5,53,0.392,2,0,0.987
22,0,0,1,0,0,0.000,0,0,0.000
23,1,0,2,0,1,0.063,0,0,0.063
24,1,0,2,0,5,0.168,0,0,0.168
25,24,11,14,31,390,0.539,10,1,1.321
26,1,0,2,0,9,0.295,0,0,0.295
27,4,1,4,5,31,0.299,0,1,0.526
28,1,0,2,0,2,0.100,0,0,0.100
29,1,0,2,0,0,0.037,0,0,0.037
30,1,0,2,0,5,0.201,0,0,0.201
31,7,3,5,11,179,0.838,3,0,1.767
32,0,0,1,0,0,0.000,0,0,0.000
33,1,0,2,0,1,0.052,0,0,0.052
34,3,1,3,4,38,0.457,1,0,0.823
35,1,0,2,0,8,0.269,0,0,0.269
36,0,0,1,0,0,0.000,0,0,0.000
37,3,1,3,4,2,0.081,1,0,0.127
38,1,0,2,0,0,0.026,0,0,0.026
39,1,0,2,0,1,0.063,0,0,0.063
40,7,3,5,10,206,0.957,3,0,1.433
41,1,0,2,0,0,0.037,0,0,0.037
42,1,0,2,0,3,0.116,0,0,0.116
43,9,4,6,14,148,0.582,4,0,0.945
44,1,0,2,0,8,0.269,0,0,0.269
45,1,0,2,0,2,0.090,0,0,0.090
46,1,0,2,0,1,0.063,0,0,0.063
47,1,0,2,0,0,0.037,0,0,0.037
48,1,0,2,0,0,0.026,0,0,0.026
49,1,0,2,0,1,0.063,0,0,0.063
50,1,0,2,0,9,0.317,0,0,0.317
51,7,3,5,6,64,0.323,3,0,0.904
52,1,0,2,0,1,0.052,0,0,0.052
53,1,0,2,0,27,0.876,0,0,0.876
54,1,0,2,0,1,0.052,0,0,0.052
55,1,0,2,0,2,0.100,0,0,0.100
56,1,0,2,0,1,0.074,0,0,0.074
57,9,4,6,14,134,0.511,4,0,1.013
58,79,39,41,119,1619,0.677,39,0,3.286
59,1,0,2,0,0,0.037,0,0,0.037
60,1,0,2,0,0,0.026,0,0,0.026
61,1,0,2,0,0,0.026,0,0,0.026
62,29,14,16,37,594,0.698,14,0,2.180
63,1,0,2,0,17,0.559,0,0,0.559
64,5,2,4,8,26,0.208,2,0,0.374
65,3,1,3,4,60,0.686,1,0,0.950
66,1,0,2,0,0,0.037,0,0,0.037
67,1,0,2,0,0,0.026,0,0,0.026
68,3,1,3,4,18,0.234,1,0,0.284
69,1,0,2,0,1,0.063,0,0,0.063
70,1,0,2,0,4,0.153,0,0,0.153
71,7,3,5,7,97,0.472,3,0,0.996
72,1,0,2,0,7,0.264,0,0,0.264
73,1,0,2,0,0,0.037,0,0,0.037
74,1,0,2,0,6,0.227,0,0,0.227
75,7,3,5,10,48,0.265,3,0,0.489
76,1,0,2,0,19,0.601,0,0,0.601
77,5,2,4,7,47,0.346,2,0,0.622
78,1,0,2,0,4,0.153,0,0,0.153
79,1,0,2,0,3,0.105,0,0,0.105
80,1,0,2,0,1,0.063,0,0,0.063
81,1,0,2,0,7,0.253,0,0,0.253
82,3,1,3,4,73,0.798,1,0,1.024
83,4,1,4,7,53,0.507,0,1,0.672
84,1,0,2,0,30,0.987,0,0,0.987
85,11,5,7,15,259,0.769,5,0,2.134
86,5,2,4,7,59,0.431,2,0,0.607
87,18,8,11,24,370,0.702,7,1,1.374
88,3,1,3,3,9,0.137,1,0,0.194
89,3,1,3,1,53,0.555,1,0,0.858
90,1,0,2,0,12,0.395,0,0,0.395
91,1,0,2,0,13,0.378,0,0,0.378
92,11,5,7,17,170,0.527,5,0,1.564
93,3,1,2,2,2,0.047,0,1,0.090
94,1,0,2,0,2,0.079,0,0,0.079
95,1,0,2,0,2,0.100,0,0,0.100
96,1,0,2,0,1,0.063,0,0,0.063
97,1,0,2,0,10,0.310,0,0,0.310
98,1,0,2,0,1,0.052,0,0,0.052
99,3,1,3,4,13,0.184,1,0,0.258
100,1,0,2,0,6,0.216,0,0,0.216
101,15,7,9,23,208,0.480,7,0,1.189
102,3,1,2,2,4,0.065,0,1,0.116
103,41,19,23,61,728,0.608,17,2,1.793
104,1,0,2,0,0,0.037,0,0,0.037
105,1,0,2,0,0,0.026,0,0,0.026
106,0,0,1,0,0,0.000,0,0,0.000
107,1,0,2,0,4,0.142,0,0,0.142
108,16,7,10,27,381,0.769,6,1,2.746
109,1,0,2,0,1,0.052,0,0,0.052
110,1,0,2,0,2,0.090,0,0,0.090
111,1,0,2,0,4,0.153,0,0,0.153
112,5,2,4,4,92,0.645,2,0,1.288
113,1,0,2,0,5,0.179,0,0,0.179
114,1,0,2,0,1,0.074,0,0,0.074
115,1,0,2,0,0,0.037,0,0,0.037
116,1,0,2,0,0,0.026,0,0,0.026
117,5,2,4,6,82,0.563,2,0,1.179
118,5,2,4,7,94,0.639,2,0,1.275
119,1,0,2,0,21,0.664,0,0,0.664
120,1,0,2,0,3,0.127,0,0,0.127
121,1,0,2,0,3,0.138,0,0,0.138
122,1,0,2,0,0,0.026,0,0,0.026
123,1,0,2,0,12,0.428,0,0,0.428
124,5,2,4,7,87,0.581,2,0,1.609
125,1,0,2,0,0,0.026,0,0,0.026
126,8,3,6,11,122,0.531,2,1,1.472
127,3,1,3,4,6,0.116,1,0,0.168
128,1,0,2,0,0,0.037,0,0,0.037
129,1,0,2,0,1,0.052,0,0,0.052
130,0,0,1,0,0,0.000,0,0,0.000
131,1,0,2,0,0,0.026,0,0,0.026
132,1,0,2,0,12,0.374,0,0,0.374
133,7,3,5,10,102,0.515,3,0,1.072
134,1,0,2,0,5,0.190,0,0,0.190
135,1,0,2,0,2,0.111,0,0,0.111
136,1,0,2,0,0,0.026,0,0,0.026
137,1,0,2,0,1,0.063,0,0,0.063
138,1,0,2,0,1,0.063,0,0,0.063
139,1,0,2,0,15,0.485,0,0,0.485
