 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,5,0.168,0,0,0.168
2,3,1,3,3,11,0.158,1,0,0.258
3,1,0,2,0,9,0.273,0,0,0.273
4,1,0,2,0,6,0.227,0,0,0.227
5,3,1,3,3,8,0.135,1,0,0.216
6,1,0,2,0,2,0.090,0,0,0.090
7,1,0,2,0,3,0.127,0,0,0.127
8,1,0,2,0,2,0.079,0,0,0.079
9,1,0,2,0,5,0.190,0,0,0.190
10,1,0,2,0,7,0.242,0,0,0.242
11,1,0,2,0,1,0.052,0,0,0.052
12,1,0,2,0,9,0.338,0,0,0.338
13,3,1,3,4,25,0.317,1,0,0.675
14,1,0,2,0,0,0.037,0,0,0.037
15,1,0,2,0,7,0.253,0,0,0.253
16,1,0,2,0,1,0.052,0,0,0.052
17,1,0,2,0,25,0.812,0,0,0.812
18,1,0,2,0,8,0.290,0,0,0.290
19,3,1,3,3,3,0.081,1,0,0.116
20,3,1,3,4,35,0.397,1,0,0.699
21,3,1,3,4,10,0.165,1,0,0.264
22,0,0,1,0,0,0.000,0,0,0.000
23,1,0,2,0,0,0.037,0,0,0.037
24,1,0,2,0,19,0.601,0,0,0.601
25,1,0,2,0,0,0.037,0,0,0.037
26,1,0,2,0,4,0.142,0,0,0.142
27,11,5,7,15,127,0.399,5,0,0.612
28,1,0,2,0,6,0.216,0,0,0.216
29,1,0,2,0,12,0.406,0,0,0.406
30,1,0,2,0,8,0.301,0,0,0.301
31,14,6,9,23,217,0.549,5,1,1.155
32,1,0,2,0,0,0.026,0,0,0.026
33,3,1,3,3,36,0.442,1,0,0.924
34,3,1,3,3,4,0.100,1,0,0.175
35,1,0,2,0,81,2.379,0,0,2.379
36,1,0,2,0,9,0.284,0,0,0.284
37,1,0,2,0,6,0.216,0,0,0.216
38,6,2,5,10,51,0.327,1,1,0.574
39,1,0,2,0,6,0.216,0,0,0.216
40,1,0,2,0,6,0.216,0,0,0.216
41,1,0,2,0,2,0.090,0,0,0.090
42,1,0,2,0,0,0.026,0,0,0.026
43,1,0,2,0,5,0.190,0,0,0.190
44,3,1,3,4,51,0.571,1,0,0.871
45,3,1,3,1,4,0.081,1,0,0.105
46,5,2,4,7,65,0.473,2,0,1.140
47,1,0,2,0,16,0.533,0,0,0.533
48,1,0,2,0,1,0.063,0,0,0.063
49,1,0,2,0,47,1.400,0,0,1.400
50,17,8,10,24,244,0.509,8,0,0.915
51,1,0,2,0,2,0.090,0,0,0.090
52,3,1,3,3,33,0.387,1,0,0.675
53,13,5,9,18,186,0.493,4,0,1.894
54,1,0,2,0,1,0.063,0,0,0.063
55,1,0,2,0,0,0.026,0,0,0.026
56,1,0,2,0,4,0.153,0,0,0.153
57,4,1,4,5,75,0.647,0,1,0.906
58,1,0,2,0,5,0.190,0,0,0.190
59,3,1,3,1,14,0.167,1,0,0.232
60,3,1,3,1,4,0.084,1,0,0.100
61,1,0,2,0,7,0.242,0,0,0.242
62,14,6,9,19,474,1.110,5,1,2.446
63,1,0,2,0,19,0.579,0,0,0.579
64,1,0,2,0,57,1.771,0,0,1.771
65,1,0,2,0,2,0.090,0,0,0.090
66,1,0,2,0,4,0.142,0,0,0.142
67,1,0,2,0,1,0.052,0,0,0.052
68,3,1,3,4,24,0.293,1,0,0.511
69,0,0,1,0,0,0.000,0,0,0.000
70,1,0,2,0,2,0.111,0,0,0.111
71,1,0,2,0,6,0.216,0,0,0.216
72,3,1,3,1,18,0.209,1,0,0.422
73,1,0,2,0,2,0.100,0,0,0.100
74,1,0,2,0,31,0.959,0,0,0.959
75,6,2,5,9,76,0.463,1,1,0.642
76,1,0,2,0,2,0.090,0,0,0.090
77,3,1,3,4,31,0.396,1,0,0.686
78,11,5,7,17,252,0.764,5,0,1.679
79,1,0,2,0,20,0.638,0,0,0.638
80,1,0,2,0,2,0.090,0,0,0.090
81,3,1,3,4,11,0.156,1,0,0.326
82,1,0,2,0,2,0.100,0,0,0.100
83,1,0,2,0,14,0.426,0,0,0.426
84,1,0,2,0,1,0.063,0,0,0.063
85,1,0,2,0,2,0.100,0,0,0.100
86,1,0,2,0,0,0.026,0,0,0.026
87,1,0,2,0,10,0.354,0,0,0.354
88,0,0,1,0,0,0.000,0,0,0.000
89,1,0,2,0,8,0.258,0,0,0.258
90,9,4,6,8,61,0.262,4,0,0.548
91,1,0,2,0,3,0.138,0,0,0.138
92,1,0,2,0,6,0.249,0,0,0.249
93,7,3,5,10,124,0.571,3,0,1.033
94,3,1,3,5,38,0.448,1,0,0.749
95,5,2,4,8,64,0.434,2,0,0.810
96,1,0,2,0,2,0.090,0,0,0.090
97,1,0,2,0,1,0.052,0,0,0.052
98,1,0,2,0,1,0.063,0,0,0.063
99,5,2,4,7,40,0.287,2,0,0.721
100,1,0,2,0,31,0.959,0,0,0.959
101,1,0,2,0,17,0.581,0,0,0.581
102,1,0,2,0,10,0.354,0,0,0.354
103,1,0,2,0,9,0.327,0,0,0.327
104,1,0,2,0,4,0.142,0,0,0.142
105,3,1,3,4,24,0.327,1,0,0.476
106,3,1,3,1,43,0.485,1,0,0.507
107,1,0,2,0,1,0.052,0,0,0.052
108,3,1,3,4,10,0.162,1,0,0.216
109,7,3,5,7,86,0.425,3,0,0.845
110,3,1,3,4,15,0.216,1,0,0.227
111,1,0,2,0,0,0.037,0,0,0.037
112,1,0,2,0,21,0.642,0,0,0.642
113,1,0,2,0,4,0.153,0,0,0.153
114,1,0,2,0,6,0.205,0,0,0.205
115,0,0,1,0,0,0.000,0,0,0.000
116,3,1,3,3,5,0.106,1,0,0.201
117,1,0,2,0,2,0.090,0,0,0.090
118,5,2,4,6,50,0.356,2,0,0.559
119,1,0,2,0,19,0.622,0,0,0.622
120,1,0,2,0,6,0.238,0,0,0.238
121,4,1,4,5,19,0.203,0,1,0.343
122,1,0,2,0,19,0.601,0,0,0.601
123,1,0,2,0,3,0.127,0,0,0.127
124,1,0,2,0,5,0.168,0,0,0.168
125,3,1,3,4,9,0.149,1,0,0.232
126,1,0,2,0,7,0.264,0,0,0.264
127,1,0,2,0,0,0.037,0,0,0.037
128,1,0,2,0,1,0.063,0,0,0.063
129,1,0,2,0,5,0.190,0,0,0.190
130,1,0,2,0,0,0.037,0,0,0.037
131,1,0,2,0,3,0.116,0,0,0.116
132,1,0,2,0,1,0.063,0,0,0.063
133,3,1,3,3,23,0.285,1,0,0.485
134,1,0,2,0,39,1.201,0,0,1.201
135,3,1,3,3,32,0.385,1,0,0.729
136,3,1,3,4,69,0.782,1,0,1.334
137,1,0,2,0,8,0.258,0,0,0.258
138,3,1,3,3,38,0.434,1,0,0.732
139,9,4,6,10,118,0.471,4,0,0.707
140,1,0,2,0,14,0.469,0,0,0.469
141,3,1,3,3,14,0.181,1,0,0.363
142,3,1,3,4,53,0.590,1,0,0.725
143,1,0,2,0,7,0.253,0,0,0.253
144,1,0,2,0,3,0.138,0,0,0.138
145,1,0,2,0,16,0.565,0,0,0.565
146,1,0,2,0,1,0.074,0,0,0.074
147,9,4,6,14,41,0.180,4,0,0.310
148,1,0,2,0,2,0.100,0,0,0.100
149,1,0,2,0,13,0.432,0,0,0.432
150,1,0,2,0,2,0.090,0,0,0.090
151,15,7,9,23,173,0.405,7,0,0.887
152,1,0,2,0,0,0.026,0,0,0.026
153,8,3,6,12,98,0.448,2,1,0.784
154,1,0,2,0,14,0.480,0,0,0.480
155,3,1,3,4,6,0.123,1,0,0.216
156,5,2,4,8,56,0.389,2,0,0.601
157,7,3,5,12,34,0.209,3,0,0.496
158,1,0,2,0,0,0.026,0,0,0.026
159,5,2,4,8,35,0.274,2,0,0.485
160,1,0,2,0,1,0.052,0,0,0.052
161,3,1,3,4,13,0.204,1,0,0.338
162,3,1,3,4,10,0.162,1,0,0.190
163,1,0,2,0,4,0.164,0,0,0.164
164,1,0,2,0,3,0.127,0,0,0.127
165,1,0,2,0,0,0.026,0,0,0.026
166,1,0,2,0,6,0.216,0,0,0.216
167,1,0,2,0,2,0.079,0,0,0.079
168,1,0,2,0,1,0.052,0,0,0.052
169,1,0,2,0,0,0.026,0,0,0.026
170,1,0,2,0,6,0.249,0,0,0.249
171,3,1,3,4,15,0.207,1,0,0.406
172,1,0,2,0,5,0.179,0,0,0.179
173,1,0,2,0,31,0.981,0,0,0.981
174,1,0,2,0,2,0.090,0,0,0.090
175,1,0,2,0,1,0.052,0,0,0.052
176,1,0,2,0,1,0.063,0,0,0.063
177,3,1,3,4,41,0.498,1,0,1.240
178,1,0,2,0,6,0.238,0,0,0.238
179,1,0,2,0,11,0.358,0,0,0.358
180,1,0,2,0,0,0.026,0,0,0.026
181,5,2,4,7,59,0.409,2,0,0.688
182,7,3,5,7,97,0.490,3,0,0.963
183,9,4,6,9,71,0.266,4,0,0.872
184,7,3,5,8,97,0.468,3,0,1.112
185,1,0,2,0,6,0.194,0,0,0.194
186,1,0,2,0,55,1.806,0,0,1.806
187,1,0,2,0,0,0.037,0,0,0.037
188,1,0,2,0,16,0.544,0,0,0.544
189,1,0,2,0,6,0.227,0,0,0.227
190,1,0,2,0,7,0.242,0,0,0.242
191,1,0,2,0,8,0.280,0,0,0.280
192,1,0,2,0,1,0.052,0,0,0.052
193,3,1,3,3,37,0.429,1,0,0.480
194,1,0,2,0,11,0.369,0,0,0.369
195,5,2,4,6,26,0.207,2,0,0.422
196,1,0,2,0,0,0.037,0,0,0.037
197,1,0,2,0,32,0.963,0,0,0.963
198,1,0,2,0,4,0.153,0,0,0.153
199,1,0,2,0,9,0.306,0,0,0.306
200,1,0,2,0,1,0.063,0,0,0.063
201,1,0,2,0,3,0.127,0,0,0.127
202,3,1,3,4,116,1.204,1,0,1.485
203,3,1,3,3,51,0.584,1,0,0.721
204,1,0,2,0,4,0.142,0,0,0.142
205,1,0,2,0,0,0.026,0,0,0.026
206,1,0,2,0,10,0.332,0,0,0.332
207,1,0,2,0,2,0.079,0,0,0.079
208,5,2,4,6,54,0.377,2,0,0.653
209,1,0,2,0,0,0.026,0,0,0.026
210,1,0,2,0,7,0.232,0,0,0.232
211,1,0,2,0,2,0.100,0,0,0.100
212,1,0,2,0,1,0.052,0,0,0.052
213,1,0,2,0,20,0.681,0,0,0.681
214,1,0,2,0,12,0.406,0,0,0.406
215,1,0,2,0,3,0.127,0,0,0.127
216,1,0,2,0,6,0.227,0,0,0.227
217,0,0,1,0,0,0.000,0,0,0.000
218,1,0,2,0,8,0.323,0,0,0.323
219,1,0,2,0,2,0.100,0,0,0.100
