 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,3,1,3,3,34,0.406,1,0,0.712
2,3,1,3,1,3,0.076,1,0,0.090
3,1,0,2,0,2,0.100,0,0,0.100
4,1,0,2,0,29,0.896,0,0,0.896
5,3,1,2,2,2,0.051,0,1,0.063
6,1,0,2,0,1,0.052,0,0,0.052
7,1,0,2,0,4,0.142,0,0,0.142
8,10,4,7,14,167,0.548,3,1,1.153
9,1,0,2,0,1,0.052,0,0,0.052
10,1,0,2,0,0,0.026,0,0,0.026
11,3,1,3,4,19,0.258,1,0,0.301
12,1,0,2,0,0,0.037,0,0,0.037
13,1,0,2,0,7,0.264,0,0,0.264
14,1,0,2,0,6,0.238,0,0,0.238
15,1,0,2,0,6,0.205,0,0,0.205
16,3,1,3,4,42,0.481,1,0,0.806
17,1,0,2,0,23,0.716,0,0,0.716
18,1,0,2,0,4,0.175,0,0,0.175
19,1,0,2,0,10,0.343,0,0,0.343
20,1,0,2,0,16,0.500,0,0,0.500
21,1,0,2,0,16,0.522,0,0,0.522
22,0,0,1,0,0,0.000,0,0,0.000
23,1,0,2,0,4,0.153,0,0,0.153
24,1,0,2,0,3,0.127,0,0,0.127
25,1,0,2,0,2,0.100,0,0,0.100
26,1,0,2,0,3,0.127,0,0,0.127
27,1,0,2,0,30,0.922,0,0,0.922
28,1,0,2,0,12,0.460,0,0,0.460
29,1,0,2,0,4,0.142,0,0,0.142
30,1,0,2,0,4,0.164,0,0,0.164
31,1,0,2,0,3,0.127,0,0,0.127
32,1,0,2,0,4,0.142,0,0,0.142
33,3,1,3,3,39,0.435,1,0,0.948
34,1,0,2,0,30,0.933,0,0,0.933
35,5,2,4,8,8,0.105,2,0,0.153
36,1,0,2,0,6,0.216,0,0,0.216
37,1,0,2,0,8,0.269,0,0,0.269
38,3,1,3,4,22,0.281,1,0,0.432
39,1,0,2,0,0,0.037,0,0,0.037
40,1,0,2,0,6,0.194,0,0,0.194
41,9,4,6,11,82,0.317,4,0,0.727
42,3,1,3,1,45,0.492,1,0,0.869
43,3,1,3,3,18,0.245,1,0,0.487
44,3,1,3,4,31,0.363,1,0,0.601
