 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.026,0,0,0.026
2,36,17,20,52,350,0.339,16,1,1.098
3,1,0,2,0,14,0.459,0,0,0.459
4,1,0,2,0,0,0.026,0,0,0.026
5,1,0,2,0,9,0.284,0,0,0.284
6,1,0,2,0,13,0.432,0,0,0.432
7,1,0,2,0,0,0.026,0,0,0.026
8,16,7,10,21,165,0.360,6,1,0.732
9,4,1,4,7,53,0.465,0,1,0.721
10,1,0,2,0,0,0.037,0,0,0.037
11,3,1,3,4,4,0.098,1,0,0.116
12,1,0,2,0,4,0.164,0,0,0.164
13,3,1,3,3,21,0.285,1,0,0.349
14,1,0,2,0,2,0.100,0,0,0.100
15,1,0,2,0,1,0.074,0,0,0.074
16,1,0,2,0,5,0.179,0,0,0.179
17,1,0,2,0,19,0.655,0,0,0.655
18,1,0,2,0,11,0.369,0,0,0.369
19,1,0,2,0,8,0.269,0,0,0.269
20,3,1,3,3,11,0.162,1,0,0.242
21,1,0,2,0,0,0.026,0,0,0.026
22,1,0,2,0,2,0.100,0,0,0.100
23,5,2,4,7,47,0.330,2,0,0.562
24,1,0,2,0,2,0.100,0,0,0.100
25,3,1,3,4,34,0.413,1,0,0.849
26,1,0,2,0,5,0.168,0,0,0.168
27,1,0,2,0,16,0.500,0,0,0.500
28,1,0,2,0,1,0.052,0,0,0.052
29,1,0,2,0,4,0.153,0,0,0.153
30,1,0,2,0,0,0.026,0,0,0.026
31,4,1,4,7,18,0.225,0,1,0.496
32,1,0,2,0,1,0.063,0,0,0.063
33,1,0,2,0,4,0.153,0,0,0.153
34,1,0,2,0,1,0.074,0,0,0.074
35,1,0,2,0,1,0.052,0,0,0.052
36,7,3,5,11,67,0.359,3,0,0.655
37,1,0,2,0,0,0.026,0,0,0.026
38,1,0,2,0,13,0.432,0,0,0.432
39,1,0,2,0,2,0.100,0,0,0.100
40,5,2,4,4,20,0.164,2,0,0.423
41,1,0,2,0,12,0.417,0,0,0.417
42,1,0,2,0,1,0.063,0,0,0.063
43,1,0,2,0,1,0.063,0,0,0.063
44,5,2,4,7,103,0.667,2,0,1.509
45,1,0,2,0,0,0.026,0,0,0.026
46,1,0,2,0,0,0.026,0,0,0.026
47,1,0,2,0,4,0.164,0,0,0.164
48,1,0,2,0,1,0.063,0,0,0.063
49,1,0,2,0,15,0.517,0,0,0.517
50,1,0,2,0,1,0.052,0,0,0.052
51,1,0,2,0,0,0.026,0,0,0.026
52,1,0,2,0,1,0.063,0,0,0.063
53,4,1,4,6,15,0.202,0,1,0.352
54,1,0,2,0,2,0.100,0,0,0.100
55,1,0,2,0,6,0.205,0,0,0.205
56,0,0,1,0,0,0.000,0,0,0.000
57,1,0,2,0,1,0.063,0,0,0.063
58,1,0,2,0,16,0.500,0,0,0.500
59,1,0,2,0,0,0.026,0,0,0.026
60,1,0,2,0,3,0.127,0,0,0.127
61,1,0,2,0,4,0.142,0,0,0.142
