 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,1,0.052,0,0,0.052
2,1,0,2,0,0,0.026,0,0,0.026
3,1,0,2,0,10,0.332,0,0,0.332
4,1,0,2,0,1,0.063,0,0,0.063
5,1,0,2,0,0,0.026,0,0,0.026
6,1,0,2,0,0,0.026,0,0,0.026
7,1,0,2,0,0,0.026,0,0,0.026
8,1,0,2,0,5,0.190,0,0,0.190
9,1,0,2,0,2,0.090,0,0,0.090
10,1,0,2,0,1,0.063,0,0,0.063
11,1,0,2,0,3,0.116,0,0,0.116
12,1,0,2,0,0,0.026,0,0,0.026
13,1,0,2,0,1,0.063,0,0,0.063
14,1,0,2,0,0,0.026,0,0,0.026
15,1,0,2,0,2,0.090,0,0,0.090
16,1,0,2,0,1,0.074,0,0,0.074
17,1,0,2,0,2,0.079,0,0,0.079
18,1,0,2,0,1,0.063,0,0,0.063
19,1,0,2,0,0,0.037,0,0,0.037
20,1,0,2,0,0,0.026,0,0,0.026
21,1,0,2,0,0,0.026,0,0,0.026
22,1,0,2,0,0,0.026,0,0,0.026
23,1,0,2,0,0,0.037,0,0,0.037
24,0,0,1,0,0,0.000,0,0,0.000
25,1,0,2,0,0,0.037,0,0,0.037
26,1,0,2,0,8,0.269,0,0,0.269
27,1,0,2,0,3,0.116,0,0,0.116
28,1,0,2,0,1,0.063,0,0,0.063
29,1,0,2,0,3,0.116,0,0,0.116
30,0,0,1,0,0,0.000,0,0,0.000
31,1,0,2,0,4,0.142,0,0,0.142
32,5,2,4,4,31,0.224,2,0,0.480
33,1,0,2,0,1,0.052,0,0,0.052
34,1,0,2,0,1,0.063,0,0,0.063
35,1,0,2,0,7,0.242,0,0,0.242
36,1,0,2,0,3,0.127,0,0,0.127
37,1,0,2,0,2,0.090,0,0,0.090
38,1,0,2,0,0,0.037,0,0,0.037
39,0,0,1,0,0,0.000,0,0,0.000
40,1,0,2,0,1,0.063,0,0,0.063
41,1,0,2,0,1,0.063,0,0,0.063
42,1,0,2,0,3,0.127,0,0,0.127
43,1,0,2,0,0,0.037,0,0,0.037
44,1,0,2,0,0,0.026,0,0,0.026
45,1,0,2,0,3,0.138,0,0,0.138
46,1,0,2,0,6,0.205,0,0,0.205
47,1,0,2,0,7,0.242,0,0,0.242
48,1,0,2,0,2,0.090,0,0,0.090
49,1,0,2,0,0,0.026,0,0,0.026
50,1,0,2,0,1,0.063,0,0,0.063
51,1,0,2,0,1,0.074,0,0,0.074
52,1,0,2,0,0,0.026,0,0,0.026
53,3,1,3,4,6,0.127,1,0,0.264
54,1,0,2,0,4,0.153,0,0,0.153
55,1,0,2,0,0,0.026,0,0,0.026
56,1,0,2,0,1,0.052,0,0,0.052
57,1,0,2,0,0,0.026,0,0,0.026
58,1,0,2,0,3,0.127,0,0,0.127
59,1,0,2,0,1,0.063,0,0,0.063
60,1,0,2,0,0,0.026,0,0,0.026
61,1,0,2,0,2,0.090,0,0,0.090
62,1,0,2,0,2,0.090,0,0,0.090
63,1,0,2,0,1,0.063,0,0,0.063
64,1,0,2,0,0,0.026,0,0,0.026
65,1,0,2,0,1,0.074,0,0,0.074
66,1,0,2,0,5,0.190,0,0,0.190
67,1,0,2,0,0,0.037,0,0,0.037
68,1,0,2,0,0,0.026,0,0,0.026
69,1,0,2,0,4,0.131,0,0,0.131
70,0,0,1,0,0,0.000,0,0,0.000
71,1,0,2,0,0,0.026,0,0,0.026
72,1,0,2,0,2,0.090,0,0,0.090
73,1,0,2,0,0,0.026,0,0,0.026
74,1,0,2,0,0,0.037,0,0,0.037
75,1,0,2,0,0,0.037,0,0,0.037
76,1,0,2,0,0,0.037,0,0,0.037
77,1,0,2,0,1,0.074,0,0,0.074
78,1,0,2,0,1,0.052,0,0,0.052
79,1,0,2,0,1,0.052,0,0,0.052
80,0,0,1,0,0,0.000,0,0,0.000
81,1,0,2,0,2,0.090,0,0,0.090
82,1,0,2,0,0,0.037,0,0,0.037
83,1,0,2,0,2,0.090,0,0,0.090
84,1,0,2,0,1,0.063,0,0,0.063
85,1,0,2,0,0,0.026,0,0,0.026
86,1,0,2,0,3,0.105,0,0,0.105
87,1,0,2,0,5,0.179,0,0,0.179
88,1,0,2,0,10,0.343,0,0,0.343
89,1,0,2,0,0,0.026,0,0,0.026
90,1,0,2,0,0,0.026,0,0,0.026
91,1,0,2,0,1,0.052,0,0,0.052
92,1,0,2,0,0,0.037,0,0,0.037
93,1,0,2,0,0,0.026,0,0,0.026
94,1,0,2,0,1,0.063,0,0,0.063
95,1,0,2,0,11,0.380,0,0,0.380
96,1,0,2,0,21,0.729,0,0,0.729
97,1,0,2,0,1,0.052,0,0,0.052
98,1,0,2,0,2,0.079,0,0,0.079
99,0,0,1,0,0,0.000,0,0,0.000
100,1,0,2,0,0,0.026,0,0,0.026
101,1,0,2,0,0,0.026,0,0,0.026
102,1,0,2,0,2,0.100,0,0,0.100
103,1,0,2,0,6,0.216,0,0,0.216
104,1,0,2,0,3,0.127,0,0,0.127
105,1,0,2,0,0,0.037,0,0,0.037
106,3,1,3,4,8,0.144,1,0,0.179
107,1,0,2,0,4,0.164,0,0,0.164
108,1,0,2,0,0,0.026,0,0,0.026
109,1,0,2,0,1,0.063,0,0,0.063
110,1,0,2,0,0,0.026,0,0,0.026
111,1,0,2,0,2,0.100,0,0,0.100
112,1,0,2,0,1,0.074,0,0,0.074
113,1,0,2,0,5,0.168,0,0,0.168
114,1,0,2,0,1,0.052,0,0,0.052
115,1,0,2,0,1,0.063,0,0,0.063
116,1,0,2,0,0,0.026,0,0,0.026
117,1,0,2,0,14,0.513,0,0,0.513
118,1,0,2,0,0,0.026,0,0,0.026
119,1,0,2,0,0,0.037,0,0,0.037
120,1,0,2,0,1,0.063,0,0,0.063
121,1,0,2,0,20,0.573,0,0,0.573
122,1,0,2,0,2,0.090,0,0,0.090
123,0,0,1,0,0,0.000,0,0,0.000
124,1,0,2,0,0,0.026,0,0,0.026
125,1,0,2,0,0,0.037,0,0,0.037
126,1,0,2,0,0,0.026,0,0,0.026
127,1,0,2,0,0,0.026,0,0,0.026
128,1,0,2,0,5,0.168,0,0,0.168
129,1,0,2,0,2,0.100,0,0,0.100
130,1,0,2,0,0,0.026,0,0,0.026
131,1,0,2,0,2,0.111,0,0,0.111
132,1,0,2,0,0,0.037,0,0,0.037
133,1,0,2,0,9,0.306,0,0,0.306
134,0,0,1,0,0,0.000,0,0,0.000
