 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.026,0,0,0.026
2,5,2,4,7,54,0.410,2,0,0.635
3,10,4,7,14,177,0.628,3,1,1.297
4,1,0,2,0,2,0.090,0,0,0.090
5,3,1,3,3,29,0.337,1,0,0.574
6,3,1,3,1,12,0.153,1,0,0.232
7,1,0,2,0,0,0.026,0,0,0.026
8,1,0,2,0,2,0.100,0,0,0.100
9,1,0,2,0,1,0.063,0,0,0.063
10,1,0,2,0,0,0.026,0,0,0.026
11,9,4,6,12,105,0.408,4,0,0.734
12,1,0,2,0,0,0.037,0,0,0.037
13,8,3,6,13,104,0.467,2,1,0.675
14,1,0,2,0,1,0.063,0,0,0.063
15,1,0,2,0,7,0.275,0,0,0.275
16,1,0,2,0,2,0.111,0,0,0.111
17,3,1,3,3,4,0.093,1,0,0.153
18,3,1,3,3,36,0.427,1,0,0.618
19,11,5,7,17,164,0.534,5,0,0.942
20,1,0,2,0,3,0.138,0,0,0.138
21,3,1,3,3,13,0.186,1,0,0.317
22,1,0,2,0,13,0.411,0,0,0.411
23,1,0,2,0,0,0.037,0,0,0.037
24,1,0,2,0,7,0.253,0,0,0.253
25,1,0,2,0,0,0.026,0,0,0.026
26,6,2,5,7,68,0.388,1,1,0.858
27,1,0,2,0,17,0.581,0,0,0.581
28,30,14,17,44,524,0.594,13,1,1.662
29,1,0,2,0,0,0.037,0,0,0.037
30,1,0,2,0,2,0.100,0,0,0.100
31,5,2,4,7,23,0.200,2,0,0.349
32,1,0,2,0,18,0.585,0,0,0.585
33,1,0,2,0,1,0.052,0,0,0.052
34,1,0,2,0,15,0.474,0,0,0.474
35,1,0,2,0,0,0.037,0,0,0.037
36,1,0,2,0,2,0.079,0,0,0.079
37,98,47,52,133,2046,0.716,44,3,2.404
38,1,0,2,0,11,0.402,0,0,0.402
39,1,0,2,0,0,0.026,0,0,0.026
40,1,0,2,0,3,0.127,0,0,0.127
41,7,3,5,8,45,0.237,3,0,0.485
42,7,3,5,7,82,0.398,3,0,0.754
43,27,13,15,46,326,0.443,13,0,1.339
44,1,0,2,0,0,0.037,0,0,0.037
45,1,0,2,0,2,0.100,0,0,0.100
46,1,0,2,0,1,0.063,0,0,0.063
47,6,2,5,9,81,0.487,1,1,0.648
48,1,0,2,0,0,0.026,0,0,0.026
49,15,7,9,16,256,0.572,7,0,1.411
50,9,4,6,16,116,0.439,4,0,0.931
51,3,1,3,1,10,0.135,1,0,0.164
52,1,0,2,0,0,0.026,0,0,0.026
53,3,1,3,4,43,0.486,1,0,0.826
54,1,0,2,0,2,0.090,0,0,0.090
55,3,1,3,3,38,0.434,1,0,0.675
56,1,0,2,0,7,0.253,0,0,0.253
57,1,0,2,0,7,0.264,0,0,0.264
58,5,2,4,4,49,0.359,2,0,0.528
59,11,5,7,12,156,0.464,5,0,2.029
60,7,3,5,8,183,0.839,3,0,1.535
61,3,1,3,4,49,0.561,1,0,0.871
62,1,0,2,0,3,0.138,0,0,0.138
63,27,13,15,30,419,0.523,13,0,1.465
64,1,0,2,0,20,0.638,0,0,0.638
65,3,1,3,3,26,0.314,1,0,0.649
66,1,0,2,0,5,0.179,0,0,0.179
67,13,6,8,13,213,0.523,6,0,1.291
68,1,0,2,0,1,0.074,0,0,0.074
69,1,0,2,0,2,0.111,0,0,0.111
70,1,0,2,0,2,0.100,0,0,0.100
71,3,1,3,4,33,0.377,1,0,0.553
72,11,5,6,12,131,0.403,4,1,0.631
73,1,0,2,0,1,0.052,0,0,0.052
74,1,0,2,0,0,0.026,0,0,0.026
75,1,0,2,0,15,0.463,0,0,0.463
76,1,0,2,0,1,0.063,0,0,0.063
77,1,0,2,0,3,0.138,0,0,0.138
78,3,1,3,4,11,0.165,1,0,0.232
79,0,0,1,0,0,0.000,0,0,0.000
80,1,0,2,0,2,0.090,0,0,0.090
81,3,1,3,3,24,0.290,1,0,0.664
82,1,0,2,0,6,0.194,0,0,0.194
83,0,0,1,0,0,0.000,0,0,0.000
84,5,2,4,4,51,0.339,2,0,1.039
85,7,3,5,11,83,0.401,3,0,0.610
86,1,0,2,0,7,0.232,0,0,0.232
87,3,1,3,3,24,0.293,1,0,0.454
88,74,36,39,105,1226,0.583,35,1,2.638
89,1,0,2,0,1,0.063,0,0,0.063
90,1,0,2,0,6,0.205,0,0,0.205
91,37,18,20,56,847,0.797,18,0,2.544
92,1,0,2,0,2,0.100,0,0,0.100
93,1,0,2,0,24,0.808,0,0,0.808
94,3,1,3,3,4,0.090,1,0,0.142
95,1,0,2,0,1,0.074,0,0,0.074
96,1,0,2,0,23,0.727,0,0,0.727
97,1,0,2,0,9,0.295,0,0,0.295
98,1,0,2,0,34,1.027,0,0,1.027
99,1,0,2,0,0,0.037,0,0,0.037
100,0,0,1,0,0,0.000,0,0,0.000
101,1,0,2,0,0,0.026,0,0,0.026
