 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,3,1,3,3,12,0.178,1,0,0.264
2,1,0,2,0,6,0.216,0,0,0.216
3,1,0,2,0,31,1.057,0,0,1.057
4,5,2,4,7,100,0.677,2,0,1.336
5,1,0,2,0,5,0.190,0,0,0.190
6,1,0,2,0,1,0.052,0,0,0.052
7,5,2,4,4,51,0.365,2,0,0.629
8,1,0,2,0,2,0.111,0,0,0.111
9,5,2,4,5,53,0.370,2,0,0.706
10,1,0,2,0,5,0.157,0,0,0.157
11,1,0,2,0,0,0.026,0,0,0.026
12,1,0,2,0,32,0.996,0,0,0.996
13,3,1,3,3,61,0.635,1,0,1.289
14,0,0,1,0,0,0.000,0,0,0.000
15,5,2,4,7,58,0.411,2,0,0.714
16,3,1,3,4,38,0.443,1,0,0.812
17,8,3,6,11,165,0.716,2,1,1.336
18,9,4,6,11,94,0.372,4,0,0.646
19,12,5,8,19,186,0.537,4,1,1.363
20,1,0,2,0,8,0.258,0,0,0.258
21,1,0,2,0,9,0.317,0,0,0.317
22,1,0,2,0,0,0.037,0,0,0.037
23,5,2,4,8,53,0.360,2,0,0.559
24,3,1,3,3,7,0.127,1,0,0.190
25,1,0,2,0,8,0.280,0,0,0.280
26,1,0,2,0,0,0.026,0,0,0.026
27,1,0,2,0,1,0.063,0,0,0.063
28,3,1,3,1,14,0.163,1,0,0.310
29,1,0,2,0,2,0.100,0,0,0.100
30,1,0,2,0,10,0.343,0,0,0.343
31,5,2,4,4,26,0.211,2,0,0.327
32,19,9,11,25,416,0.743,9,0,2.534
33,19,8,12,32,356,0.653,6,2,1.994
34,4,1,4,4,48,0.461,0,1,0.592
35,1,0,2,0,10,0.332,0,0,0.332
36,5,2,4,6,54,0.386,2,0,0.690
37,1,0,2,0,15,0.474,0,0,0.474
38,1,0,2,0,5,0.190,0,0,0.190
39,1,0,2,0,14,0.491,0,0,0.491
40,3,1,3,5,28,0.357,1,0,0.522
41,1,0,2,0,0,0.026,0,0,0.026
42,5,2,4,7,54,0.399,2,0,0.629
43,1,0,2,0,11,0.391,0,0,0.391
44,3,1,3,4,39,0.473,1,0,1.024
45,1,0,2,0,14,0.491,0,0,0.491
46,1,0,2,0,13,0.422,0,0,0.422
47,11,5,7,13,234,0.717,5,0,1.084
48,1,0,2,0,9,0.295,0,0,0.295
49,1,0,2,0,7,0.242,0,0,0.242
50,1,0,2,0,9,0.317,0,0,0.317
51,1,0,2,0,8,0.258,0,0,0.258
52,13,6,8,19,296,0.748,6,0,1.620
53,18,8,10,27,182,0.360,6,2,1.048
54,1,0,2,0,1,0.063,0,0,0.063
55,1,0,2,0,6,0.238,0,0,0.238
56,1,0,2,0,9,0.306,0,0,0.306
57,1,0,2,0,6,0.216,0,0,0.216
58,1,0,2,0,8,0.290,0,0,0.290
59,3,1,3,4,9,0.160,1,0,0.264
60,3,1,2,2,7,0.102,0,1,0.190
61,0,0,1,0,0,0.000,0,0,0.000
62,1,0,2,0,1,0.063,0,0,0.063
63,1,0,2,0,9,0.317,0,0,0.317
64,13,6,8,15,283,0.731,6,0,1.694
65,1,0,2,0,4,0.153,0,0,0.153
66,1,0,2,0,72,2.241,0,0,2.241
67,3,1,3,3,23,0.277,1,0,0.426
68,12,5,8,23,203,0.583,4,1,1.079
69,1,0,2,0,2,0.100,0,0,0.100
70,3,1,3,3,38,0.434,1,0,0.526
71,1,0,2,0,0,0.026,0,0,0.026
72,1,0,2,0,1,0.074,0,0,0.074
73,3,1,3,4,25,0.314,1,0,0.469
74,9,4,6,11,105,0.415,4,0,0.876
75,1,0,2,0,18,0.607,0,0,0.607
76,1,0,2,0,3,0.127,0,0,0.127
77,1,0,2,0,2,0.100,0,0,0.100
78,1,0,2,0,0,0.037,0,0,0.037
79,11,5,7,16,166,0.502,5,0,1.009
80,1,0,2,0,9,0.295,0,0,0.295
81,9,4,6,12,71,0.288,4,0,0.526
82,1,0,2,0,0,0.037,0,0,0.037
83,1,0,2,0,5,0.168,0,0,0.168
84,3,1,3,3,26,0.318,1,0,0.526
85,9,4,6,10,139,0.534,4,0,0.922
86,6,2,5,9,50,0.321,1,1,0.516
87,1,0,2,0,6,0.194,0,0,0.194
88,1,0,2,0,1,0.074,0,0,0.074
89,1,0,2,0,33,1.044,0,0,1.044
90,1,0,2,0,0,0.037,0,0,0.037
91,1,0,2,0,2,0.079,0,0,0.079
92,6,2,5,8,92,0.535,1,1,0.922
93,3,1,3,1,58,0.631,1,0,0.880
94,1,0,2,0,10,0.365,0,0,0.365
95,9,4,6,13,146,0.531,4,0,0.885
96,3,1,3,3,27,0.327,1,0,0.380
97,1,0,2,0,0,0.037,0,0,0.037
98,1,0,2,0,0,0.037,0,0,0.037
99,1,0,2,0,0,0.026,0,0,0.026
100,1,0,2,0,4,0.142,0,0,0.142
101,1,0,2,0,5,0.190,0,0,0.190
102,1,0,2,0,0,0.026,0,0,0.026
103,1,0,2,0,4,0.142,0,0,0.142
104,1,0,2,0,7,0.242,0,0,0.242
105,1,0,2,0,2,0.090,0,0,0.090
106,3,1,3,3,43,0.467,1,0,0.974
107,0,0,1,0,0,0.000,0,0,0.000
108,5,2,4,7,20,0.166,2,0,0.280
109,1,0,2,0,0,0.026,0,0,0.026
110,3,1,3,4,20,0.296,1,0,0.338
111,3,1,3,4,22,0.274,1,0,0.494
112,1,0,2,0,2,0.100,0,0,0.100
113,0,0,1,0,0,0.000,0,0,0.000
114,26,12,15,39,463,0.595,11,1,1.284
115,1,0,2,0,2,0.079,0,0,0.079
116,7,3,5,8,75,0.367,3,0,0.570
117,1,0,2,0,0,0.026,0,0,0.026
118,3,1,3,3,53,0.558,1,0,0.804
119,23,11,13,33,680,0.970,11,0,2.037
120,1,0,2,0,8,0.301,0,0,0.301
121,0,0,1,0,0,0.000,0,0,0.000
122,5,2,4,7,63,0.465,2,0,0.720
123,13,6,8,17,187,0.505,6,0,0.950
124,1,0,2,0,7,0.232,0,0,0.232
125,1,0,2,0,6,0.216,0,0,0.216
126,1,0,2,0,5,0.179,0,0,0.179
127,1,0,2,0,13,0.443,0,0,0.443
128,1,0,2,0,6,0.205,0,0,0.205
129,1,0,2,0,0,0.026,0,0,0.026
130,3,1,3,4,45,0.510,1,0,0.954
131,1,0,2,0,21,0.675,0,0,0.675
132,1,0,2,0,4,0.153,0,0,0.153
133,1,0,2,0,8,0.247,0,0,0.247
134,3,1,3,3,18,0.237,1,0,0.354
135,1,0,2,0,0,0.026,0,0,0.026
136,3,1,3,3,18,0.230,1,0,0.343
137,3,1,3,4,48,0.559,1,0,0.897
138,1,0,2,0,1,0.063,0,0,0.063
139,1,0,2,0,0,0.037,0,0,0.037
140,1,0,2,0,7,0.210,0,0,0.210
141,1,0,2,0,2,0.090,0,0,0.090
