 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.026,0,0,0.026
2,1,0,2,0,0,0.026,0,0,0.026
3,1,0,2,0,3,0.127,0,0,0.127
4,1,0,2,0,0,0.037,0,0,0.037
5,1,0,2,0,1,0.052,0,0,0.052
6,1,0,2,0,3,0.116,0,0,0.116
7,1,0,2,0,11,0.391,0,0,0.391
8,1,0,2,0,2,0.100,0,0,0.100
9,1,0,2,0,0,0.026,0,0,0.026
10,1,0,2,0,1,0.063,0,0,0.063
11,1,0,2,0,20,0.670,0,0,0.670
12,1,0,2,0,3,0.116,0,0,0.116
13,1,0,2,0,5,0.157,0,0,0.157
14,1,0,2,0,7,0.242,0,0,0.242
15,1,0,2,0,1,0.074,0,0,0.074
16,1,0,2,0,2,0.100,0,0,0.100
17,7,3,5,10,60,0.302,3,0,0.517
18,1,0,2,0,1,0.063,0,0,0.063
19,0,0,1,0,0,0.000,0,0,0.000
20,1,0,2,0,0,0.037,0,0,0.037
21,1,0,2,0,0,0.037,0,0,0.037
22,1,0,2,0,0,0.026,0,0,0.026
23,1,0,2,0,7,0.264,0,0,0.264
24,1,0,2,0,2,0.090,0,0,0.090
25,15,7,9,25,158,0.371,7,0,1.680
26,0,0,1,0,0,0.000,0,0,0.000
27,1,0,2,0,1,0.063,0,0,0.063
28,0,0,1,0,0,0.000,0,0,0.000
29,1,0,2,0,1,0.074,0,0,0.074
30,1,0,2,0,0,0.026,0,0,0.026
31,3,1,3,4,23,0.296,1,0,0.465
32,1,0,2,0,11,0.347,0,0,0.347
33,1,0,2,0,1,0.074,0,0,0.074
34,1,0,2,0,0,0.026,0,0,0.026
35,0,0,1,0,0,0.000,0,0,0.000
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,0,0.037,0,0,0.037
38,1,0,2,0,19,0.655,0,0,0.655
39,1,0,2,0,0,0.037,0,0,0.037
40,1,0,2,0,0,0.026,0,0,0.026
41,1,0,2,0,0,0.026,0,0,0.026
42,1,0,2,0,0,0.026,0,0,0.026
43,1,0,2,0,1,0.074,0,0,0.074
44,1,0,2,0,0,0.026,0,0,0.026
45,1,0,2,0,18,0.553,0,0,0.553
46,1,0,2,0,1,0.074,0,0,0.074
47,1,0,2,0,12,0.428,0,0,0.428
48,1,0,2,0,1,0.063,0,0,0.063
49,1,0,2,0,0,0.026,0,0,0.026
