 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,5,2,4,7,46,0.325,2,0,0.489
2,9,3,7,17,123,0.507,1,2,1.219
3,1,0,2,0,1,0.063,0,0,0.063
4,1,0,2,0,4,0.142,0,0,0.142
5,1,0,2,0,0,0.026,0,0,0.026
6,1,0,2,0,6,0.216,0,0,0.216
7,13,6,8,18,216,0.534,6,0,1.114
8,7,3,5,8,55,0.292,3,0,0.485
9,1,0,2,0,4,0.153,0,0,0.153
10,1,0,2,0,0,0.026,0,0,0.026
11,1,0,2,0,0,0.026,0,0,0.026
12,1,0,2,0,13,0.422,0,0,0.422
13,11,5,7,13,224,0.666,5,0,2.284
14,7,3,5,7,84,0.410,3,0,0.736
15,1,0,2,0,1,0.052,0,0,0.052
16,5,2,4,6,56,0.388,2,0,0.522
17,3,1,3,1,38,0.406,1,0,0.974
18,1,0,2,0,10,0.343,0,0,0.343
19,1,0,2,0,0,0.026,0,0,0.026
20,3,1,3,4,94,1.052,1,0,1.426
21,3,1,3,4,25,0.304,1,0,0.500
22,1,0,2,0,1,0.063,0,0,0.063
23,1,0,2,0,8,0.280,0,0,0.280
24,1,0,2,0,12,0.395,0,0,0.395
25,9,4,6,12,91,0.361,4,0,0.716
26,3,1,3,3,34,0.392,1,0,0.690
27,42,19,24,69,886,0.712,16,3,2.413
28,19,9,11,25,393,0.680,9,0,1.575
29,3,1,3,4,26,0.316,1,0,0.463
30,1,0,2,0,3,0.116,0,0,0.116
31,1,0,2,0,32,1.018,0,0,1.018
32,1,0,2,0,11,0.413,0,0,0.413
33,1,0,2,0,14,0.502,0,0,0.502
34,60,29,32,89,1506,0.815,28,1,2.165
35,0,0,1,0,0,0.000,0,0,0.000
36,1,0,2,0,8,0.290,0,0,0.290
37,5,2,4,5,113,0.750,2,0,1.229
38,1,0,2,0,1,0.052,0,0,0.052
39,9,4,6,11,114,0.436,4,0,0.793
40,1,0,2,0,14,0.459,0,0,0.459
41,1,0,2,0,11,0.347,0,0,0.347
42,11,5,7,15,108,0.355,5,0,0.896
43,5,2,4,8,28,0.227,2,0,0.528
44,1,0,2,0,7,0.242,0,0,0.242
45,1,0,2,0,10,0.343,0,0,0.343
46,1,0,2,0,1,0.063,0,0,0.063
47,1,0,2,0,13,0.389,0,0,0.389
48,3,1,3,3,3,0.081,1,0,0.100
49,1,0,2,0,6,0.249,0,0,0.249
50,1,0,2,0,18,0.585,0,0,0.585
51,3,1,3,1,30,0.336,1,0,0.384
52,7,3,5,5,162,0.754,3,0,1.992
53,11,5,7,17,142,0.455,5,0,0.950
54,1,0,2,0,2,0.090,0,0,0.090
55,1,0,2,0,0,0.026,0,0,0.026
56,1,0,2,0,1,0.063,0,0,0.063
57,1,0,2,0,1,0.063,0,0,0.063
58,3,1,3,4,45,0.539,1,0,0.629
59,3,1,3,4,18,0.264,1,0,0.487
60,1,0,2,0,42,1.313,0,0,1.313
61,5,2,4,7,55,0.400,2,0,0.792
62,1,0,2,0,5,0.201,0,0,0.201
63,7,3,5,10,138,0.634,3,0,1.313
64,1,0,2,0,5,0.201,0,0,0.201
65,1,0,2,0,13,0.432,0,0,0.432
66,1,0,2,0,8,0.269,0,0,0.269
67,1,0,2,0,5,0.168,0,0,0.168
68,1,0,2,0,1,0.074,0,0,0.074
69,1,0,2,0,0,0.026,0,0,0.026
70,3,1,2,2,13,0.172,0,1,0.312
71,9,4,6,13,148,0.558,4,0,1.583
72,92,45,48,130,1854,0.661,44,1,3.250
73,5,2,4,8,70,0.464,2,0,0.688
74,3,1,3,3,16,0.216,1,0,0.269
75,1,0,2,0,3,0.127,0,0,0.127
76,1,0,2,0,29,0.917,0,0,0.917
77,1,0,2,0,0,0.037,0,0,0.037
78,63,30,34,96,1353,0.727,28,2,3.313
79,1,0,2,0,1,0.063,0,0,0.063
80,21,10,12,31,423,0.664,10,0,1.631
81,1,0,2,0,0,0.026,0,0,0.026
82,1,0,2,0,8,0.290,0,0,0.290
83,1,0,2,0,18,0.542,0,0,0.542
84,1,0,2,0,12,0.395,0,0,0.395
85,1,0,2,0,7,0.253,0,0,0.253
86,14,6,9,21,297,0.696,5,1,1.900
87,18,8,11,29,430,0.762,7,1,2.659
88,1,0,2,0,0,0.037,0,0,0.037
89,1,0,2,0,3,0.116,0,0,0.116
90,5,2,4,7,57,0.394,2,0,0.922
91,7,3,5,11,140,0.650,3,0,1.315
92,3,1,3,3,47,0.520,1,0,0.653
93,1,0,2,0,50,1.479,0,0,1.479
94,1,0,2,0,1,0.063,0,0,0.063
95,1,0,2,0,0,0.026,0,0,0.026
96,1,0,2,0,0,0.026,0,0,0.026
97,4,1,4,5,35,0.328,0,1,0.517
98,1,0,2,0,2,0.090,0,0,0.090
99,1,0,2,0,1,0.063,0,0,0.063
100,1,0,2,0,2,0.090,0,0,0.090
101,1,0,2,0,2,0.100,0,0,0.100
102,1,0,2,0,0,0.037,0,0,0.037
103,5,2,4,2,113,0.701,2,0,1.007
104,1,0,2,0,0,0.026,0,0,0.026
105,1,0,2,0,16,0.489,0,0,0.489
106,1,0,2,0,0,0.026,0,0,0.026
107,1,0,2,0,12,0.374,0,0,0.374
108,1,0,2,0,19,0.655,0,0,0.655
109,1,0,2,0,1,0.063,0,0,0.063
110,1,0,2,0,16,0.511,0,0,0.511
111,1,0,2,0,8,0.280,0,0,0.280
112,1,0,2,0,2,0.100,0,0,0.100
113,1,0,2,0,22,0.788,0,0,0.788
114,1,0,2,0,32,1.018,0,0,1.018
115,36,17,20,51,792,0.770,16,1,2.325
116,1,0,2,0,35,1.053,0,0,1.053
117,1,0,2,0,4,0.142,0,0,0.142
118,0,0,1,0,0,0.000,0,0,0.000
119,1,0,2,0,1,0.063,0,0,0.063
120,2,1,2,4,4,0.116,0,0,0.142
121,3,1,3,1,17,0.207,1,0,0.264
122,1,0,2,0,7,0.232,0,0,0.232
123,1,0,2,0,18,0.564,0,0,0.564
124,7,3,5,8,118,0.593,3,0,1.109
125,1,0,2,0,1,0.074,0,0,0.074
126,15,7,9,24,185,0.433,7,0,0.849
127,1,0,2,0,0,0.026,0,0,0.026
128,8,3,6,11,70,0.331,2,1,1.002
129,1,0,2,0,0,0.026,0,0,0.026
130,1,0,2,0,2,0.100,0,0,0.100
131,1,0,2,0,14,0.469,0,0,0.469
132,1,0,2,0,40,1.260,0,0,1.260
133,1,0,2,0,6,0.227,0,0,0.227
134,5,2,4,7,70,0.459,2,0,0.758
135,3,1,2,2,7,0.109,0,1,0.201
136,1,0,2,0,2,0.100,0,0,0.100
137,1,0,2,0,11,0.380,0,0,0.380
138,1,0,2,0,11,0.326,0,0,0.326
