 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.026,0,0,0.026
2,1,0,2,0,13,0.443,0,0,0.443
3,1,0,2,0,4,0.153,0,0,0.153
4,1,0,2,0,0,0.026,0,0,0.026
5,1,0,2,0,8,0.269,0,0,0.269
6,1,0,2,0,0,0.037,0,0,0.037
7,1,0,2,0,11,0.369,0,0,0.369
8,1,0,2,0,2,0.079,0,0,0.079
9,1,0,2,0,2,0.090,0,0,0.090
10,1,0,2,0,0,0.026,0,0,0.026
11,3,1,2,2,19,0.218,0,1,0.343
12,1,0,2,0,0,0.026,0,0,0.026
13,1,0,2,0,7,0.221,0,0,0.221
14,4,1,4,5,44,0.433,0,1,0.808
15,3,1,3,3,14,0.199,1,0,0.395
16,1,0,2,0,1,0.063,0,0,0.063
17,1,0,2,0,1,0.052,0,0,0.052
18,3,1,3,3,4,0.097,1,0,0.138
19,12,5,8,18,131,0.361,4,1,0.684
20,1,0,2,0,0,0.026,0,0,0.026
21,1,0,2,0,4,0.153,0,0,0.153
22,1,0,2,0,6,0.238,0,0,0.238
23,1,0,2,0,29,0.939,0,0,0.939
24,1,0,2,0,3,0.116,0,0,0.116
25,1,0,2,0,1,0.052,0,0,0.052
26,3,1,3,1,21,0.239,1,0,0.343
27,5,2,4,4,40,0.294,2,0,1.055
28,29,13,17,39,445,0.536,11,2,1.347
29,1,0,2,0,2,0.090,0,0,0.090
30,23,11,13,37,381,0.568,11,0,1.133
31,1,0,2,0,8,0.280,0,0,0.280
32,0,0,1,0,0,0.000,0,0,0.000
33,46,22,25,67,1275,0.976,21,1,4.227
34,1,0,2,0,5,0.179,0,0,0.179
35,1,0,2,0,1,0.052,0,0,0.052
36,1,0,2,0,2,0.100,0,0,0.100
37,1,0,2,0,0,0.037,0,0,0.037
38,3,1,3,3,34,0.388,1,0,0.701
39,5,2,4,7,103,0.679,2,0,1.160
40,1,0,2,0,2,0.079,0,0,0.079
41,1,0,2,0,35,1.118,0,0,1.118
42,1,0,2,0,5,0.190,0,0,0.190
