 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,0,0,1,0,0,0.000,0,0,0.000
2,1,0,2,0,5,0.338,0,0,0.338
3,1,0,2,0,5,0.381,0,0,0.381
4,1,0,2,0,1,0.105,0,0,0.105
5,13,6,8,19,135,0.753,6,0,1.844
6,1,0,2,0,0,0.074,0,0,0.074
7,1,0,2,0,5,0.359,0,0,0.359
8,1,0,2,0,18,1.087,0,0,1.087
9,1,0,2,0,20,1.280,0,0,1.280
10,3,1,3,4,35,0.785,1,0,1.245
11,3,1,3,3,29,0.691,1,0,1.214
12,1,0,2,0,15,1.060,0,0,1.060
13,1,0,2,0,6,0.456,0,0,0.456
14,1,0,2,0,26,1.574,0,0,1.574
15,1,0,2,0,13,0.911,0,0,0.911
16,1,0,2,0,1,0.105,0,0,0.105
17,1,0,2,0,4,0.329,0,0,0.329
18,1,0,2,0,14,0.942,0,0,0.942
19,7,3,5,6,64,0.617,3,0,1.534
20,1,0,2,0,7,0.508,0,0,0.508
21,1,0,2,0,8,0.561,0,0,0.561
22,1,0,2,0,8,0.517,0,0,0.517
23,1,0,2,0,0,0.053,0,0,0.053
24,3,1,3,3,33,0.754,1,0,0.833
25,1,0,2,0,0,0.074,0,0,0.074
26,3,1,3,3,7,0.261,1,0,0.381
27,1,0,2,0,28,1.766,0,0,1.766
28,19,8,12,29,174,0.665,6,2,1.701
29,1,0,2,0,37,2.262,0,0,2.262
30,4,1,4,6,14,0.335,0,1,0.390
31,5,2,4,8,44,0.641,2,0,1.258
32,5,2,4,4,59,0.847,2,0,1.538
33,0,0,1,0,0,0.000,0,0,0.000
34,1,0,2,0,12,0.793,0,0,0.793
35,1,0,2,0,0,0.053,0,0,0.053
36,3,1,3,3,29,0.713,1,0,1.038
37,0,0,1,0,0,0.000,0,0,0.000
38,0,0,1,0,0,0.000,0,0,0.000
39,1,0,2,0,35,2.156,0,0,2.156
40,1,0,2,0,3,0.232,0,0,0.232
