 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.074,0,0,0.074
2,0,0,1,0,0,0.000,0,0,0.000
3,1,0,2,0,0,0.053,0,0,0.053
4,1,0,2,0,0,0.074,0,0,0.074
5,3,1,3,3,23,0.528,1,0,0.623
6,1,0,2,0,0,0.074,0,0,0.074
7,1,0,2,0,0,0.053,0,0,0.053
8,1,0,2,0,1,0.127,0,0,0.127
9,1,0,2,0,0,0.053,0,0,0.053
10,3,1,3,3,37,0.882,1,0,2.309
11,3,1,3,1,24,0.539,1,0,0.719
12,1,0,2,0,1,0.149,0,0,0.149
13,1,0,2,0,0,0.053,0,0,0.053
14,1,0,2,0,10,0.623,0,0,0.623
15,3,1,3,1,46,0.990,1,0,2.165
16,11,5,7,15,137,0.874,5,0,1.862
17,13,6,8,15,170,0.874,6,0,1.968
18,3,1,3,4,23,0.611,1,0,1.069
19,1,0,2,0,9,0.635,0,0,0.635
20,1,0,2,0,6,0.390,0,0,0.390
21,1,0,2,0,4,0.285,0,0,0.285
22,1,0,2,0,4,0.285,0,0,0.285
23,1,0,2,0,0,0.053,0,0,0.053
24,5,2,4,7,96,1.301,2,0,1.902
25,5,1,5,8,40,0.695,0,0,1.253
26,58,28,31,91,1010,1.165,27,1,5.843
27,8,3,6,14,81,0.741,2,1,2.191
28,1,0,2,0,1,0.105,0,0,0.105
29,1,0,2,0,0,0.053,0,0,0.053
30,1,0,2,0,0,0.074,0,0,0.074
31,1,0,2,0,1,0.127,0,0,0.127
32,0,0,1,0,0,0.000,0,0,0.000
33,24,10,15,34,275,0.818,7,3,1.766
34,10,4,7,13,99,0.746,3,1,1.429
35,7,3,5,8,62,0.636,3,0,1.577
36,1,0,2,0,1,0.105,0,0,0.105
37,1,0,2,0,6,0.434,0,0,0.434
38,3,1,3,4,37,0.885,1,0,1.332
39,1,0,2,0,5,0.425,0,0,0.425
40,3,1,3,4,96,1.949,1,0,4.002
41,5,2,4,8,17,0.350,2,0,0.508
42,1,0,2,0,0,0.074,0,0,0.074
43,9,4,6,16,84,0.700,4,0,1.262
44,19,9,11,25,253,0.922,9,0,3.830
