 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.053,0,0,0.053
2,3,1,3,3,8,0.279,1,0,0.552
3,1,0,2,0,6,0.456,0,0,0.456
4,1,0,2,0,5,0.403,0,0,0.403
5,1,0,2,0,1,0.127,0,0,0.127
6,1,0,2,0,1,0.105,0,0,0.105
7,3,1,3,4,18,0.472,1,0,0.644
8,3,1,3,4,20,0.522,1,0,0.614
9,16,7,10,26,72,0.385,6,1,0.741
10,1,0,2,0,1,0.127,0,0,0.127
11,1,0,2,0,0,0.053,0,0,0.053
12,16,7,10,24,152,0.674,6,1,1.332
13,1,0,2,0,30,1.937,0,0,1.937
14,1,0,2,0,11,0.806,0,0,0.806
15,7,3,5,8,66,0.680,3,0,1.140
16,6,2,5,6,44,0.563,1,1,1.832
17,1,0,2,0,1,0.105,0,0,0.105
18,1,0,2,0,0,0.053,0,0,0.053
19,0,0,1,0,0,0.000,0,0,0.000
20,1,0,2,0,9,0.614,0,0,0.614
21,3,1,3,3,8,0.250,1,0,0.285
22,12,5,8,13,109,0.649,4,1,2.218
23,1,0,2,0,2,0.180,0,0,0.180
24,3,1,3,4,25,0.675,1,0,0.964
25,1,0,2,0,11,0.762,0,0,0.762
26,1,0,2,0,0,0.053,0,0,0.053
27,3,1,3,4,33,0.776,1,0,0.973
28,1,0,2,0,7,0.486,0,0,0.486
29,1,0,2,0,16,0.960,0,0,0.960
30,9,4,6,15,64,0.537,4,0,1.350
31,1,0,2,0,0,0.053,0,0,0.053
32,5,2,4,7,42,0.615,2,0,1.047
33,5,2,4,8,48,0.683,2,0,1.280
34,3,1,3,3,19,0.501,1,0,0.561
35,1,0,2,0,0,0.053,0,0,0.053
36,1,0,2,0,2,0.158,0,0,0.158
37,3,1,3,4,30,0.726,1,0,1.271
38,6,2,5,11,57,0.698,1,1,1.372
39,1,0,2,0,17,1.100,0,0,1.100
40,0,0,1,0,0,0.000,0,0,0.000
41,1,0,2,0,15,1.038,0,0,1.038
42,5,2,4,7,42,0.618,2,0,1.007
43,3,1,3,4,23,0.560,1,0,1.171
44,3,1,3,3,28,0.717,1,0,1.336
45,1,0,2,0,4,0.329,0,0,0.329
46,1,0,2,0,2,0.158,0,0,0.158
47,1,0,2,0,1,0.105,0,0,0.105
48,1,0,2,0,0,0.074,0,0,0.074
49,1,0,2,0,0,0.053,0,0,0.053
50,1,0,2,0,0,0.053,0,0,0.053
51,3,1,3,5,13,0.394,1,0,0.719
52,1,0,2,0,6,0.456,0,0,0.456
53,3,1,3,4,17,0.462,1,0,0.592
54,1,0,2,0,3,0.254,0,0,0.254
55,4,1,4,5,40,0.738,0,1,1.047
56,1,0,2,0,17,1.100,0,0,1.100
57,1,0,2,0,9,0.635,0,0,0.635
58,7,3,5,5,70,0.646,3,0,1.692
59,0,0,1,0,0,0.000,0,0,0.000
60,3,1,3,4,18,0.479,1,0,0.592
61,1,0,2,0,2,0.180,0,0,0.180
62,3,1,2,2,4,0.130,0,1,0.232
63,1,0,2,0,20,1.345,0,0,1.345
64,1,0,2,0,3,0.254,0,0,0.254
65,1,0,2,0,1,0.105,0,0,0.105
66,1,0,2,0,10,0.710,0,0,0.710
67,1,0,2,0,0,0.053,0,0,0.053
68,1,0,2,0,12,0.771,0,0,0.771
69,3,1,3,1,37,0.825,1,0,1.289
70,1,0,2,0,21,1.310,0,0,1.310
71,1,0,2,0,3,0.254,0,0,0.254
72,7,3,5,8,69,0.681,3,0,1.140
73,3,1,3,4,15,0.419,1,0,0.824
74,3,1,3,4,20,0.536,1,0,0.688
75,0,0,1,0,0,0.000,0,0,0.000
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,12,0.750,0,0,0.750
78,3,1,3,3,10,0.299,1,0,0.359
79,7,3,5,10,66,0.686,3,0,1.450
80,4,1,4,8,25,0.561,0,1,0.902
81,1,0,2,0,20,1.258,0,0,1.258
82,5,2,4,5,33,0.465,2,0,0.911
83,1,0,2,0,40,2.616,0,0,2.616
84,12,5,8,16,129,0.754,4,1,2.296
85,1,0,2,0,3,0.232,0,0,0.232
86,1,0,2,0,0,0.053,0,0,0.053
87,1,0,2,0,2,0.223,0,0,0.223
88,1,0,2,0,6,0.390,0,0,0.390
89,1,0,2,0,15,0.973,0,0,0.973
90,20,9,12,36,245,0.853,8,1,2.380
91,5,2,4,8,62,0.889,2,0,3.024
92,1,0,2,0,0,0.053,0,0,0.053
93,7,3,5,10,91,0.891,3,0,1.835
94,1,0,2,0,2,0.158,0,0,0.158
95,5,2,4,7,32,0.469,2,0,0.697
96,1,0,2,0,2,0.158,0,0,0.158
97,5,2,4,6,82,1.093,2,0,1.797
98,1,0,2,0,0,0.053,0,0,0.053
99,1,0,2,0,1,0.127,0,0,0.127
100,7,3,5,9,56,0.616,3,0,0.868
101,0,0,1,0,0,0.000,0,0,0.000
