X	Y	Dlc	r²	Standard-Error	y-intercept	Local-Fractal-Dimension	r²	Standard-Error	y-intercept
0.0	160.0	0.9023	0.9884	0.0953	6.1958	0.9023	0.9884	0.0953	6.1958	
0.0	406.0	0.787	0.9928	0.065	5.4078	0.787	0.9928	0.065	5.4078	
0.0	492.0	1.0507	0.9827	0.1358	7.2039	1.1087	0.9683	0.1951	7.5445	
0.0	500.0	1.0738	0.9984	0.0415	7.465	1.0928	0.9967	0.061	7.5771	
0.0	725.0	0.787	0.9928	0.065	5.4078	0.787	0.9928	0.065	5.4078	
0.0	852.0	0.8793	0.9898	0.0869	6.0588	0.8793	0.9898	0.0869	6.0588	
0.0	937.0	0.9226	0.9962	0.0551	6.4579	0.9226	0.9962	0.0551	6.4579	
1.0	160.0	0.8759	0.9792	0.1243	6.2782	0.8759	0.9792	0.1243	6.2782	
1.0	406.0	0.7824	0.992	0.0685	5.5632	0.7824	0.992	0.0685	5.5632	
1.0	492.0	0.9807	0.9903	0.0946	6.9984	1.0438	0.9801	0.1447	7.3693	
1.0	500.0	1.0576	0.9957	0.0674	7.4861	1.0759	0.9956	0.0696	7.5931	
1.0	501.0	1.0576	0.9809	0.1435	7.6093	1.0576	0.9809	0.1435	7.6093	
1.0	502.0	1.1144	0.983	0.1428	7.9489	1.1144	0.983	0.1428	7.9489	
1.0	503.0	1.1619	0.9892	0.1181	8.2165	1.1619	0.9892	0.1181	8.2165	
1.0	725.0	0.7824	0.992	0.0685	5.5632	0.7824	0.992	0.0685	5.5632	
1.0	852.0	0.8236	0.9676	0.1468	5.9664	0.8236	0.9676	0.1468	5.9664	
1.0	937.0	0.9227	0.9811	0.1248	6.6375	0.9227	0.9811	0.1248	6.6375	
1.0	938.0	0.9227	0.9811	0.1248	6.6375	0.9227	0.9811	0.1248	6.6375	
2.0	159.0	0.9227	0.9811	0.1248	6.6375	0.9227	0.9811	0.1248	6.6375	
2.0	160.0	0.9227	0.9811	0.1248	6.6375	0.9227	0.9811	0.1248	6.6375	
2.0	406.0	0.8245	0.9872	0.0913	5.8889	0.8245	0.9872	0.0913	5.8889	
2.0	490.0	1.0562	0.9746	0.1659	7.5788	1.0562	0.9746	0.1659	7.5788	
2.0	491.0	0.993	0.9664	0.1804	7.2133	0.993	0.9664	0.1804	7.2133	
2.0	492.0	1.0167	0.9955	0.0666	7.1486	1.0848	0.983	0.1388	7.5487	
2.0	500.0	1.0771	0.9938	0.0827	7.6484	1.0946	0.9949	0.0761	7.7509	
2.0	503.0	1.183	0.9864	0.1353	8.3584	1.183	0.9864	0.1353	8.3584	
2.0	504.0	1.1822	0.9861	0.1367	8.3773	1.1822	0.9861	0.1367	8.3773	
2.0	505.0	1.211	0.9923	0.1035	8.4996	1.211	0.9923	0.1035	8.4996	
2.0	725.0	0.8245	0.9872	0.0913	5.8889	0.8245	0.9872	0.0913	5.8889	
2.0	851.0	0.837	0.9466	0.1935	6.1218	0.837	0.9466	0.1935	6.1218	
2.0	852.0	0.837	0.9466	0.1935	6.1218	0.837	0.9466	0.1935	6.1218	
2.0	938.0	0.9356	0.9527	0.203	6.843	0.9356	0.9527	0.203	6.843	
3.0	159.0	0.9699	0.9786	0.1396	6.9772	0.9699	0.9786	0.1396	6.9772	
3.0	406.0	0.8719	0.9881	0.0933	6.2057	0.8719	0.9881	0.0933	6.2057	
3.0	489.0	1.0839	0.9743	0.1715	7.8127	1.0839	0.9743	0.1715	7.8127	
3.0	490.0	1.036	0.9622	0.1999	7.5269	1.036	0.9622	0.1999	7.5269	
3.0	500.0	1.1384	0.9902	0.11	7.9704	1.1552	0.992	0.1012	8.0687	
3.0	505.0	1.2268	0.9911	0.1129	8.5968	1.2268	0.9911	0.1129	8.5968	
3.0	506.0	1.1964	0.9863	0.1371	8.4384	1.1964	0.9863	0.1371	8.4384	
3.0	507.0	1.1938	0.9881	0.1273	8.3786	1.1938	0.9881	0.1273	8.3786	
3.0	725.0	0.8719	0.9881	0.0933	6.2057	0.8719	0.9881	0.0933	6.2057	
3.0	851.0	0.8409	0.9186	0.2436	6.1941	0.8409	0.9186	0.2436	6.1941	
3.0	938.0	1.015	0.9719	0.168	7.3032	1.015	0.9719	0.168	7.3032	
3.0	939.0	0.987	0.9605	0.1947	7.1866	0.987	0.9605	0.1947	7.1866	
4.0	159.0	1.0138	0.9816	0.1353	7.2656	1.0138	0.9816	0.1353	7.2656	
4.0	406.0	0.9144	0.9916	0.082	6.4749	0.9144	0.9916	0.082	6.4749	
4.0	488.0	1.1226	0.9786	0.1614	8.0699	1.1226	0.9786	0.1614	8.0699	
4.0	489.0	1.0866	0.9701	0.1857	7.8517	1.0866	0.9701	0.1857	7.8517	
4.0	500.0	1.1784	0.9863	0.1352	8.1661	1.1944	0.9877	0.1298	8.2605	
4.0	507.0	1.2016	0.9866	0.1364	8.4249	1.2016	0.9866	0.1364	8.4249	
4.0	508.0	1.1409	0.9801	0.1583	8.0951	1.1409	0.9801	0.1583	8.0951	
4.0	509.0	1.1123	0.9932	0.0897	7.8899	1.1123	0.9932	0.0897	7.8899	
4.0	725.0	0.9144	0.9916	0.082	6.4749	0.9144	0.9916	0.082	6.4749	
4.0	851.0	0.8448	0.9132	0.2536	6.2243	0.8448	0.9132	0.2536	6.2243	
4.0	939.0	1.0303	0.9694	0.1781	7.4622	1.0303	0.9694	0.1781	7.4622	
4.0	940.0	1.0582	0.9785	0.1527	7.5787	1.0582	0.9785	0.1527	7.5787	
5.0	158.0	1.055	0.9876	0.1151	7.5229	1.055	0.9876	0.1151	7.5229	
5.0	159.0	1.055	0.9876	0.1151	7.5229	1.055	0.9876	0.1151	7.5229	
5.0	406.0	0.949	0.9953	0.0632	6.6876	0.949	0.9953	0.0632	6.6876	
5.0	487.0	1.146	0.9803	0.1581	8.2209	1.146	0.9803	0.1581	8.2209	
5.0	488.0	1.1254	0.9792	0.1596	8.0907	1.1254	0.9792	0.1596	8.0907	
5.0	500.0	1.1973	0.9875	0.1312	8.248	1.2128	0.9879	0.1305	8.3389	
5.0	509.0	1.1123	0.9932	0.0897	7.8899	1.1123	0.9932	0.0897	7.8899	
5.0	510.0	1.0963	0.9887	0.1139	7.8237	1.0963	0.9887	0.1139	7.8237	
5.0	511.0	1.1242	0.9977	0.0531	7.9403	1.1242	0.9977	0.0531	7.9403	
5.0	725.0	0.949	0.9953	0.0632	6.6876	0.949	0.9953	0.0632	6.6876	
5.0	850.0	0.8483	0.9316	0.2237	6.2145	0.8483	0.9316	0.2237	6.2145	
5.0	851.0	0.8483	0.9316	0.2237	6.2145	0.8483	0.9316	0.2237	6.2145	
5.0	940.0	1.0688	0.9781	0.1558	7.7	1.0688	0.9781	0.1558	7.7	
6.0	158.0	1.0799	0.9862	0.1243	7.7241	1.0799	0.9862	0.1243	7.7241	
6.0	406.0	0.9748	0.9981	0.0415	6.843	0.9748	0.9981	0.0415	6.843	
6.0	486.0	1.153	0.9798	0.1611	8.2669	1.153	0.9798	0.1611	8.2669	
6.0	487.0	1.1464	0.9825	0.1487	8.2134	1.1464	0.9825	0.1487	8.2134	
6.0	500.0	1.2022	0.9828	0.1549	8.2457	1.2171	0.982	0.1603	8.3333	
6.0	511.0	1.1242	0.9977	0.0531	7.9403	1.1242	0.9977	0.0531	7.9403	
6.0	512.0	1.1242	0.9977	0.0531	7.9403	1.1242	0.9977	0.0531	7.9403	
6.0	513.0	1.1242	0.9977	0.0531	7.9403	1.1242	0.9977	0.0531	7.9403	
6.0	514.0	1.1242	0.9977	0.0531	7.9403	1.1242	0.9977	0.0531	7.9403	
6.0	725.0	0.9748	0.9981	0.0415	6.843	0.9748	0.9981	0.0415	6.843	
6.0	850.0	0.8366	0.9529	0.1811	6.1051	0.8366	0.9529	0.1811	6.1051	
6.0	940.0	1.1169	0.9875	0.1224	7.9413	1.1169	0.9875	0.1224	7.9413	
6.0	941.0	1.1169	0.9875	0.1224	7.9413	1.1169	0.9875	0.1224	7.9413	
