Distance (µm),Ni Kα1 (counts),
0,6,
0.0121338100560411,11,
0.0242676201120822,10,
0.0364014301681234,9,
0.0485352402241645,8,
0.0606690502802056,12,
0.0728028603362467,8,
0.0849366703922878,8,
0.097070480448329,8,
0.10920429050437,7,
0.121338100560411,7,
0.133471910616452,7,
0.145605720672493,15,
0.157739530728535,6,
0.169873340784576,7,
0.182007150840617,7,
0.194140960896658,6,
0.206274770952699,6,
0.21840858100874,9,
0.230542391064781,7,
0.242676201120822,4,
0.254810011176864,3,
0.266943821232905,11,
0.279077631288946,4,
0.291211441344987,11,
0.303345251401028,6,
0.315479061457069,8,
0.32761287151311,5,
0.339746681569151,6,
0.351880491625192,3,
0.364014301681234,6,
0.376148111737275,10,
0.388281921793316,6,
0.400415731849357,5,
0.412549541905398,6,
0.424683351961439,5,
0.43681716201748,5,
0.448950972073521,8,
0.461084782129563,7,
0.473218592185604,8,
0.485352402241645,4,
0.497486212297686,5,
0.509620022353727,5,
0.521753832409768,7,
0.533887642465809,6,
0.54602145252185,1,
0.558155262577892,7,
0.570289072633933,5,
0.582422882689974,1,
0.594556692746015,8,
0.606690502802056,4,
0.618824312858097,9,
0.630958122914138,2,
0.643091932970179,5,
0.655225743026221,6,
0.667359553082262,3,
0.679493363138303,11,
0.691627173194344,5,
0.703760983250385,6,
0.715894793306426,5,
0.728028603362467,4,
0.740162413418508,4,
0.752296223474549,2,
0.764430033530591,4,
0.776563843586632,6,
0.788697653642673,6,
0.800831463698714,3,
0.812965273754755,2,
0.825099083810796,4,
0.837232893866837,3,
0.849366703922878,0,
0.861500513978919,9,
0.873634324034961,2,
0.885768134091002,3,
0.897901944147043,1,
0.910035754203084,2,
0.922169564259125,5,
0.934303374315166,1,
0.946437184371207,4,
0.958570994427248,8,
0.97070480448329,3,
0.982838614539331,4,
0.994972424595372,6,
1.00710623465141,2,
1.01924004470745,4,
1.0313738547635,10,
1.04350766481954,5,
1.05564147487558,2,
1.06777528493162,7,
1.07990909498766,3,
1.0920429050437,5,
1.10417671509974,5,
1.11631052515578,5,
1.12844433521182,8,
1.14057814526787,4,
1.15271195532391,6,
1.16484576537995,2,
1.17697957543599,7,
1.18911338549203,5,
1.20124719554807,2,
1.21338100560411,5,
1.22551481566015,4,
1.23764862571619,2,
1.24978243577224,3,
1.26191624582828,6,
1.27405005588432,2,
1.28618386594036,3,
1.2983176759964,2,
1.31045148605244,4,
1.32258529610848,3,
1.33471910616452,3,
1.34685291622056,4,
1.35898672627661,7,
1.37112053633265,4,
1.38325434638869,4,
1.39538815644473,5,
1.40752196650077,7,
1.41965577655681,5,
1.43178958661285,2,
1.44392339666889,5,
1.45605720672493,3,
1.46819101678098,4,
1.48032482683702,4,
1.49245863689306,6,
1.5045924469491,2,
1.51672625700514,3,
1.52886006706118,6,
1.54099387711722,2,
1.55312768717326,5,
1.5652614972293,2,
1.57739530728535,1,
1.58952911734139,7,
1.60166292739743,3,
1.61379673745347,0,
1.62593054750951,8,
1.63806435756555,4,
1.65019816762159,2,
1.66233197767763,6,
1.67446578773367,3,
1.68659959778972,8,
1.69873340784576,8,
1.7108672179018,5,
1.72300102795784,4,
1.73513483801388,4,
1.74726864806992,5,
1.75940245812596,2,
1.771536268182,4,
1.78367007823804,6,
1.79580388829409,5,
1.80793769835013,8,
1.82007150840617,8,
1.83220531846221,3,
1.84433912851825,7,
1.85647293857429,6,
1.86860674863033,3,
1.88074055868637,5,
1.89287436874241,3,
1.90500817879846,4,
1.9171419888545,1,
1.92927579891054,9,
1.94140960896658,3,
1.95354341902262,5,
1.96567722907866,5,
1.9778110391347,9,
1.98994484919074,4,
2.00207865924678,3,
2.01421246930283,6,
2.02634627935887,3,
2.03848008941491,8,
2.05061389947095,6,
2.06274770952699,3,
2.07488151958303,6,
2.08701532963907,3,
2.09914913969511,7,
2.11128294975115,4,
2.1234167598072,4,
2.13555056986324,4,
2.14768437991928,4,
2.15981818997532,7,
2.17195200003136,6,
2.1840858100874,9,
2.19621962014344,6,
2.20835343019948,6,
2.22048724025553,6,
2.23262105031157,3,
2.24475486036761,3,
2.25688867042365,2,
2.26902248047969,7,
2.28115629053573,6,
2.29329010059177,4,
2.30542391064781,5,
2.31755772070385,5,
2.3296915307599,8,
2.34182534081594,0,
2.35395915087198,5,
2.36609296092802,8,
2.37822677098406,6,
2.3903605810401,2,
2.40249439109614,3,
2.41462820115218,2,
2.42676201120822,5,
2.43889582126427,5,
2.45102963132031,6,
2.46316344137635,9,
2.47529725143239,5,
2.48743106148843,7,
2.49956487154447,3,
2.51169868160051,8,
2.52383249165655,6,
2.53596630171259,2,
2.54810011176864,8,
2.56023392182468,6,
2.57236773188072,4,
2.58450154193676,5,
2.5966353519928,5,
2.60876916204884,5,
2.62090297210488,7,
2.63303678216092,8,
2.64517059221696,4,
2.65730440227301,8,
2.66943821232905,5,
2.68157202238509,3,
2.69370583244113,2,
2.70583964249717,7,
2.71797345255321,8,
2.73010726260925,5,
2.74224107266529,4,
2.75437488272133,8,
2.76650869277738,4,
2.77864250283342,5,
2.79077631288946,6,
2.8029101229455,5,
2.81504393300154,8,
2.82717774305758,5,
2.83931155311362,3,
2.85144536316966,6,
2.8635791732257,3,
2.87571298328175,5,
2.88784679333779,6,
2.89998060339383,6,
2.91211441344987,5,
2.92424822350591,4,
2.93638203356195,7,
2.94851584361799,5,
2.96064965367403,7,
2.97278346373007,12,
2.98491727378612,5,
2.99705108384216,8,
3.0091848938982,8,
3.02131870395424,4,
3.03345251401028,5,
3.04558632406632,3,
3.05772013412236,8,
3.0698539441784,11,
3.08198775423444,7,
3.09412156429049,4,
3.10625537434653,10,
3.11838918440257,2,
3.13052299445861,1,
3.14265680451465,5,
3.15479061457069,12,
3.16692442462673,6,
3.17905823468277,9,
3.19119204473881,9,
3.20332585479486,11,
3.2154596648509,10,
3.22759347490694,8,
3.23972728496298,4,
3.25186109501902,17,
3.26399490507506,4,
3.2761287151311,2,
3.28826252518714,6,
3.30039633524318,4,
3.31253014529923,6,
3.32466395535527,10,
3.33679776541131,7,
3.34893157546735,15,
3.36106538552339,10,
3.37319919557943,6,
3.38533300563547,9,
3.39746681569151,7,
3.40960062574755,10,
3.4217344358036,16,
3.43386824585964,9,
3.44600205591568,9,
3.45813586597172,15,
3.47026967602776,7,
3.4824034860838,11,
3.49453729613984,4,
3.50667110619588,16,
3.51880491625192,11,
3.53093872630797,8,
