filename,fit_method,data_pts,rchi2,red_rchi2,aic,bic,G2_amplitude,G2_center,G2_sigma,G2_fwhm,G2_height,SG1_amplitude,SG1_center,SG1_sigma,SG1_gamma,SG1_height,SG1_fwhm,Label,WHpeakNum
WH01A.txt,leastsq,512,0.024979995,4.95E-05,-5069.138347,-5039.470075,0.068812587,1.151523083,0.531433812,1.25143097,0.051656954,0.921180566,-3.314666346,1.652759664,6.970596797,0.222354104,3.891951513,WH01A,2
WH02A.txt,leastsq,512,0.004799979,9.50E-06,-5913.66378,-5883.995507,0.333653466,0.687448078,0.962517721,2.266555981,0.13829198,0.683243464,-3.279439943,1.668825892,4.005567781,0.163333228,3.929784587,WH02A,2
WH02B.txt,leastsq,512,0.012208439,2.42E-05,-5435.70365,-5406.035378,0.317593492,0.692492965,0.900661137,2.120894859,0.14067608,0.682684537,-3.190579763,1.562816479,3.929186677,0.174269815,3.680151502,WH02B,2
WH02C.txt,leastsq,512,0.005113627,1.01E-05,-5881.255559,-5851.587287,0.266784941,0.749959736,0.780269996,1.837395392,0.136403807,0.742243085,-3.246018458,2,4.24819449,0.148056082,4.70964,WH02C,2
WH03A.txt,leastsq,512,0.045566279,9.02E-05,-4761.378927,-4731.710655,0.056690963,1.358967558,0.456535856,1.075059764,0.049539205,0.939068539,-3.340741666,1.438223218,7.032865105,0.260484018,3.386756799,WH03A,2
WH03B.txt,leastsq,512,0.029353984,5.81E-05,-4986.525633,-4956.857361,0.164437924,1.380739527,0.763905533,1.798860028,0.08587612,0.850525932,-3.290596192,1.414265635,3.099351632,0.239920113,3.330341002,WH03B,2
WH03C.txt,leastsq,512,0.011968603,2.37E-05,-5445.862054,-5416.193782,0.206237794,1.062644144,0.954180338,2.246922943,0.086227914,0.823699519,-3.05599721,1.234481958,1.841213247,0.266191481,2.906982803,WH03C,2
WH04B.txt,leastsq,512,0.015851392,3.14E-05,-5302.00515,-5272.336877,0.216262038,0.576695598,0.711222384,1.674800694,0.121306749,0.827847308,-3.331164031,1.416958018,2.575988302,0.233079107,3.33668108,WH04B,2
WH05A.txt,leastsq,512,0.009191915,1.82E-05,-5581.010862,-5551.34259,0.49325619,0.222572069,0.943798181,2.222474833,0.208498769,0.518940938,-3.251654215,1.430084633,4.026288166,0.144765902,3.367591895,WH05A,2
WH05B.txt,leastsq,512,0.009085586,1.80E-05,-5586.968066,-5557.299794,0.211681328,0.405039903,0.804380072,1.894170282,0.104985987,0.804659025,-3.275929108,1.338407126,3.23581533,0.239846692,3.151707868,WH05B,2
WH05C.txt,leastsq,512,0.010492842,2.08E-05,-5513.237951,-5483.569679,0.573912917,0.019080896,0.977216995,2.301170125,0.234296109,0.421500344,-3.253182565,1.277557983,3.978029764,0.131621671,3.00841909,WH05C,2
WH06A.txt,leastsq,512,0.0051209,1.01E-05,-5880.527861,-5850.859588,0.328583823,0.480879389,1.040980975,2.45132282,0.125925439,0.68879063,-3.19885705,1.084149803,1.823875721,0.253459178,2.552977639,WH06A,2
WH06B.txt,leastsq,512,0.021868627,4.33E-05,-5137.245757,-5107.577485,0.303459253,0.569831095,1.116018266,2.628022134,0.108477375,0.712316233,-3.177043312,1.044730087,2.091445614,0.272006215,2.460151303,WH06B,2
WH06C.txt,leastsq,512,0.00529306,1.05E-05,-5863.597847,-5833.929575,0.300778895,0.65837999,0.944969136,2.22523222,0.126981316,0.700005343,-3.228933256,1.371920499,2.879495598,0.203555339,3.230625829,WH06C,2
WH08A.txt,leastsq,512,0.246236473,0.000487597,-3897.57123,-3867.902958,0.164592484,1.110144357,0.011366913,0.026767035,5.776669771,1.036765532,-1.561508613,0.961798327,0.004648039,0.430037789,2.264861937,WH08A,1
WH08B.txt,leastsq,512,0.126493,0.000250481,-4238.617181,-4208.948908,1.20E-09,1.436687626,1.999999999,4.709639999,2.38E-10,1.018452607,-2.102385435,1.136661452,0.976913057,0.357453686,2.67663312,WH08B,1
WH09A.txt,leastsq,512,0.392682412,0.000777589,-3658.616311,-3628.948038,3.39E-10,0.000496373,1.999320704,4.70804038,6.77E-11,1.048863504,-1.262418959,1.129156662,0.0254213,0.370573927,2.658960692,WH09A,1
WH09B.txt,leastsq,512,0.51054171,0.001010974,-3524.231073,-3494.562801,3.95E-11,0.486293557,1.997979249,4.704881495,7.89E-12,1.065881016,-1.420406432,1.174003411,0.031865695,0.362200842,2.764566713,WH09B,1
WH09C.txt,leastsq,512,0.250885577,0.000496803,-3887.994464,-3858.326192,1.47E-10,0.569842481,2,4.70964,2.93E-11,1.032457895,-1.323571641,1.056712235,0.024002854,0.389785519,2.488367105,WH09C,1
WH09D.txt,leastsq,512,0.150905731,0.000298823,-4148.265374,-4118.597101,1.71E-10,2.22E-06,1.999752117,4.709056281,3.40E-11,1.041800969,-1.426961578,1.051418495,0.023426278,0.395293099,2.4759013,WH09D,1
WH10A.txt,leastsq,512,0.032049617,6.35E-05,-4941.542875,-4911.874603,0.078721471,0.31790291,0.539615956,1.270698445,0.0581994,1.005553917,-1.538089179,1.358798116,0.012074531,0.295230018,3.199724979,WH10A,1
WH10B.txt,leastsq,512,0.069614164,0.00013785,-4544.393265,-4514.724993,0.159091476,3.61E-10,0.739222399,1.740735689,0.08585822,0.905219624,-1.606038341,1.264546189,0.073394572,0.285581027,2.977778657,WH10B,1
WH10C.txt,leastsq,512,0.063597271,0.000125935,-4590.676787,-4561.008515,3.69E-10,0.713627583,1.797362466,4.232465081,8.19E-11,1.055091826,-1.642176881,1.227673671,0.22365282,0.34286046,2.890950515,WH10C,1
WH10D.txt,leastsq,512,0.068090154,0.000134832,-4555.726609,-4526.058337,0.054286013,0.157648069,0.564323441,1.328880125,0.038376905,0.987755618,-1.683849045,1.089333925,0.059264618,0.361741693,2.565185314,WH10D,1
WH11A.txt,leastsq,512,0.133641304,0.000264636,-4210.471312,-4180.80304,0.025387061,7.34E-10,0.652298137,1.536044699,0.0155266,1.043169573,-1.492144338,1.269126266,0.038407688,0.327914156,2.988563913,WH11A,1
WH11B.txt,leastsq,512,0.079675433,0.000157773,-4475.276725,-4445.608453,0.052065214,3.61E-10,0.737709678,1.737173504,0.028156085,1.055137248,-1.709259632,1.38435416,0.04975693,0.30406878,3.259904864,WH11B,1
WH11C.txt,leastsq,512,0.127513465,0.000252502,-4234.503263,-4204.834991,1.11E-15,0.674676872,1.978078016,4.658017673,2.24E-16,1.0556562,-2.314683905,1.453619238,1.239231598,0.289722302,3.423011654,WH11C,1
WH11D.txt,leastsq,512,0.206050937,0.000408022,-3988.793727,-3959.125455,0.003406414,7.88E-08,0.297307545,0.700105754,0.004570898,1.088929764,-2.647222954,2,1.96941256,0.217210072,4.70964,WH11D,1
WH11E.txt,leastsq,512,0.098632564,0.000195312,-4365.995356,-4336.327084,1.30E-11,0.02951652,1.999991656,4.709620351,2.60E-12,1.106695318,-1.603002542,1.312940346,0.037370171,0.336273904,3.091738185,WH11E,1
WH12A.txt,leastsq,512,0.025298535,5.01E-05,-5062.650715,-5032.982442,0.239696888,1.77E-08,0.698070808,1.643831101,0.136984997,1.16294291,-1.435992352,1.601942151,0.011727436,0.289615402,3.772285416,WH12A,1
WH12B.txt,leastsq,512,0.049358607,9.77E-05,-4720.447481,-4690.779209,0.131158946,0.222110749,0.60379188,1.421821194,0.086660409,1.120148603,-1.483773488,1.452974414,0.016910669,0.30755852,3.42149321,WH12B,1
WH12C.txt,leastsq,512,0.033341429,6.60E-05,-4921.310929,-4891.642656,0.158036176,2.09E-10,0.799959605,1.883760877,0.078813124,1.129419589,-1.433054625,1.569660555,0.00872915,0.287051393,3.696268067,WH12C,1
WH12D.txt,leastsq,512,0.030388209,6.02E-05,-4968.796914,-4939.128641,0.281438809,8.77E-14,0.737682823,1.737110266,0.152203416,1.16716857,-1.377661842,1.651455946,0.007337696,0.281952973,3.888881491,WH12D,1
WH13A.txt,leastsq,512,0.004002674,7.93E-06,-6006.667989,-5976.999717,0.300192206,1.335240874,0.848640994,1.998396786,0.141119001,0.71710952,-2.993469946,2,3.135021815,0.143042661,4.70964,WH13A,2
