"x"	"density"	"Labelfine"
"1"	-5	2.15179616148696e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"2"	-4.97847358121331	2.69296856210489e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"3"	-4.95694716242661	3.2614823110455e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"4"	-4.93542074363992	3.16187007117311e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"5"	-4.91389432485323	1.52833877894921e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"6"	-4.89236790606654	0	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"7"	-4.87084148727984	0	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"8"	-4.84931506849315	4.00550777273456e-19	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"9"	-4.82778864970646	2.48586784334898e-18	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"10"	-4.80626223091977	1.68116036041175e-19	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"11"	-4.78473581213307	0	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"12"	-4.76320939334638	1.92747911009657e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"13"	-4.74168297455969	1.37134725613721e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"14"	-4.72015655577299	5.63638227836207e-18	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"15"	-4.6986301369863	1.85565919497841e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"16"	-4.67710371819961	6.82532909746787e-17	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"17"	-4.65557729941292	1.83573653588289e-16	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"18"	-4.63405088062622	4.18100785101496e-16	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"19"	-4.61252446183953	1.15051035621079e-15	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"20"	-4.59099804305284	3.22194113931334e-15	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"21"	-4.56947162426614	8.88497318492233e-15	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"22"	-4.54794520547945	2.38164265676774e-14	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"23"	-4.52641878669276	6.22357882542168e-14	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"24"	-4.50489236790607	1.58417826325496e-13	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"25"	-4.48336594911937	3.91771033328134e-13	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"26"	-4.46183953033268	9.39203927201951e-13	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"27"	-4.44031311154599	2.17748373519476e-12	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"28"	-4.4187866927593	5.023837471356e-12	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"29"	-4.3972602739726	1.21835104524003e-11	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"30"	-4.37573385518591	2.88561888183371e-11	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"31"	-4.35420743639922	6.67269498036987e-11	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"32"	-4.33268101761252	1.5059460552497e-10	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"33"	-4.31115459882583	3.31578889247816e-10	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"34"	-4.28962818003914	7.11910430382304e-10	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"35"	-4.26810176125245	1.48962432751584e-09	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"36"	-4.24657534246575	3.03558138931839e-09	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"37"	-4.22504892367906	6.07958923248759e-09	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"38"	-4.20352250489237	1.26517303945336e-08	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"39"	-4.18199608610568	2.57576358103662e-08	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"40"	-4.16046966731898	5.13032416846741e-08	"WH20B/LTO-35NiB_700_05_H20006.tiff"
"41"	-4.13894324853229	9.997143609619e-08	"WH20B/LTO-35NiB_700_05_H20006.tiff"
