"x"	"density"	"Labelfine"
"1"	-5	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"2"	-4.97847358121331	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"3"	-4.95694716242661	3.95480387698656e-18	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"4"	-4.93542074363992	5.77516564044908e-18	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"5"	-4.91389432485323	1.23486659579327e-17	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"6"	-4.89236790606654	1.5176287527686e-17	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"7"	-4.87084148727984	8.13135098290338e-18	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"8"	-4.84931506849315	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"9"	-4.82778864970646	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"10"	-4.80626223091977	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"11"	-4.78473581213307	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"12"	-4.76320939334638	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"13"	-4.74168297455969	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"14"	-4.72015655577299	0	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"15"	-4.6986301369863	9.37661027473409e-19	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"16"	-4.67710371819961	9.73339982461674e-19	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"17"	-4.65557729941292	7.02127151468281e-18	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"18"	-4.63405088062622	1.59107406045379e-17	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"19"	-4.61252446183953	2.55805980804408e-18	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"20"	-4.59099804305284	2.09389790392561e-17	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"21"	-4.56947162426614	7.23676951258679e-17	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"22"	-4.54794520547945	2.44625519534842e-16	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"23"	-4.52641878669276	7.21047960756738e-16	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"24"	-4.50489236790607	2.19276539370877e-15	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"25"	-4.48336594911937	6.50441881195848e-15	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"26"	-4.46183953033268	1.8852157996537e-14	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"27"	-4.44031311154599	5.29476426989453e-14	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"28"	-4.4187866927593	1.4346054725294e-13	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"29"	-4.3972602739726	3.74245545870764e-13	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"30"	-4.37573385518591	9.36852763130812e-13	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"31"	-4.35420743639922	2.51122602267684e-12	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"32"	-4.33268101761252	6.68717064634667e-12	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"33"	-4.31115459882583	1.73332691848255e-11	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"34"	-4.28962818003914	4.37194297987127e-11	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"35"	-4.26810176125245	1.07267996299551e-10	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"36"	-4.24657534246575	2.5591096164682e-10	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"37"	-4.22504892367906	5.93365994111313e-10	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"38"	-4.20352250489237	1.33636831035318e-09	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"39"	-4.18199608610568	2.92150746849554e-09	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"40"	-4.16046966731898	6.19458608782804e-09	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"41"	-4.13894324853229	1.38283954697209e-08	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"42"	-4.1174168297456	3.01111396709927e-08	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"43"	-4.0958904109589	6.39536940938426e-08	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"44"	-4.07436399217221	1.32500912909304e-07	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"45"	-4.05283757338552	2.6781376786891e-07	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"46"	-4.03131115459883	5.28167303165946e-07	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"47"	-4.00978473581213	1.01653082433316e-06	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"48"	-3.98825831702544	1.9098224023671e-06	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"49"	-3.96673189823875	3.50376352023302e-06	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"50"	-3.94520547945205	6.32397884132363e-06	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"51"	-3.92367906066536	1.15805831602975e-05	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"52"	-3.90215264187867	2.07288861526703e-05	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"53"	-3.88062622309198	3.62798445233391e-05	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"54"	-3.85909980430528	6.2109442905233e-05	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"55"	-3.83757338551859	0.000104047886548531	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"56"	-3.8160469667319	0.000170645811264689	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"57"	-3.79452054794521	0.00027413908351437	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"58"	-3.77299412915851	0.000431626023788703	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"59"	-3.75146771037182	0.000666460311052957	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"60"	-3.72994129158513	0.00101634706312322	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"61"	-3.70841487279843	0.00154077493078078	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"62"	-3.68688845401174	0.0022895516118413	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"63"	-3.66536203522505	0.00333651853232877	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"64"	-3.64383561643836	0.00477087428926974	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"65"	-3.62230919765166	0.00669734059929714	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"66"	-3.60078277886497	0.00923531166874621	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"67"	-3.57925636007828	0.0125167854015609	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"68"	-3.55772994129159	0.0166829204958293	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"69"	-3.53620352250489	0.0218791231984523	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"70"	-3.5146771037182	0.0283293424476297	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"71"	-3.49315068493151	0.0361963236609404	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"72"	-3.47162426614481	0.0454985806713755	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"73"	-3.45009784735812	0.0562979096928198	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"74"	-3.42857142857143	0.0686124774970977	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"75"	-3.40704500978474	0.0824107146588001	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"76"	-3.38551859099804	0.0976076813003415	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"77"	-3.36399217221135	0.114064376443444	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"78"	-3.34246575342466	0.131590301638796	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"79"	-3.32093933463796	0.149949404846419	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"80"	-3.29941291585127	0.168884946786903	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"81"	-3.27788649706458	0.188022284842948	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"82"	-3.25636007827789	0.207037602402248	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"83"	-3.23483365949119	0.225648932011842	"WH29C/LTO-24NiC_700_10_H20014.tiff"
"84"	-3.2133072407045	0.243604197506009	"WH29C/LTO-24NiC_700_10_H20014.tiff"
